Class Name,HasTC,#Bugs,#BugsBinary,#Blocker,#Critical,Critique,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,Si,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC
org.apache.tools.ant.AntClassLoader,0,4,1,0,0,4,1,3,0,0,17,9,64,7,2,713,0.77033327,0.331622672,11,1485.439,127,138.004,108.407,94,1482.982,1480.122,1482.857,57.245,106.677,13,
org.apache.tools.ant.BuildEvent,0,0,0,0,0,0,0,0,0,0,11,7,15,5,3,97,0.881918529,4.993814739,6,2100.152,132,144.997,113.208,96,2098.197,2096.077,2098.107,62.642,111.517,0,
org.apache.tools.ant.BuildException,0,0,0,0,0,0,0,0,0,0,14,99,28,98,1,153,0.819040354,10.61602267,138,2040,0.181,57,57.14,4.004,2040.004,2040.098,2040,60.407,57.009,0,
org.apache.tools.ant.BuildListener,0,0,0,0,0,0,0,0,0,0,7,6,7,5,1,7,1,0,0,2190.352,138,152.118,116.211,97,2188.151,2186.091,2188.02,67.052,113.719,0,
org.apache.tools.ant.BuildLogger,0,0,0,0,0,0,0,0,0,0,4,3,4,2,1,4,1,0,1,2193.283,137,152.506,120.37,100,2191.283,2189.091,2191.148,69.921,117.89,0,
org.apache.tools.ant.Constants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2197.338,138,155.193,125.1,103,2195.418,2193.101,2195.233,74.041,121.828,0,
org.apache.tools.ant.DefaultLogger,0,2,1,0,0,2,0,2,0,0,14,8,32,4,4,257,0.776190958,0.336734694,4,1940.632,134,145.619,110.788,95,1938.329,1936.075,1938.329,59.481,110.788,6,
org.apache.tools.ant.DesirableFilter,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,45,0.916666667,0.081632653,0,2152.428,138,154.289,123.976,103,2150.468,2148.103,2150.28,72.125,120.673,0,
org.apache.tools.ant.DirectoryScanner,0,2,1,1,0,3,0,1,0,0,23,22,51,20,2,1407,0.218062635,2.479598646,24,794.224,114.003,123.693,94.154,81.004,790.163,786.23,789.96,51.624,92.439,9,
org.apache.tools.ant.FileScanner,0,0,0,0,0,0,0,0,0,0,13,4,13,4,0,13,1,0,2,2184.238,136,147.851,114.739,99,2182.247,2180.101,2182.069,61.685,111.306,0,
org.apache.tools.ant.IntrospectionHelper,1,2,1,0,0,2,1,1,0,0,14,24,63,20,20,822,0.753316678,2.227392636,4,1377.533,134,145.619,97.417,79,1373.274,1371,1373.274,57.009,97.417,7,330
org.apache.tools.ant.Location,0,0,0,0,0,0,0,0,0,0,5,51,10,51,0,69,0.948672824,0.190306122,5,2128.16,133,148.476,84.024,52,2124.636,2124.104,2124.542,69.26,81.609,0,
org.apache.tools.ant.Main,0,1,1,0,0,1,0,1,0,0,14,7,82,0,7,1253,0.923298003,0.362749236,1,949.931,137,148.385,111.647,96,944.889,940.104,945.199,58.694,114.237,3,
org.apache.tools.ant.NoBannerLogger,0,0,0,0,0,0,0,0,0,0,4,3,16,0,3,59,0.873710659,0.010204082,1,2138.393,137,152.506,120.37,100,2136.342,2134.076,2136.295,69.376,119.541,0,
org.apache.tools.ant.PathTokenizer,0,0,0,0,0,0,0,0,0,0,3,2,15,2,0,100,0.888219763,0.75748055,2,2097.414,136,152.053,121.758,101,2095.436,2093.105,2095.247,71.169,118.461,0,
org.apache.tools.ant.Project,1,3,1,0,0,3,1,2,0,0,71,103,186,99,7,2193,0.248779012,4.02243774,90,48,48.006,48,0,0.751,0,14,0,14,0,10,20
org.apache.tools.ant.ProjectHelper,0,5,1,0,1,6,1,2,1,0,17,19,73,13,7,502,0.490038769,0.224489796,8,1695.99,130.001,140.769,99.86,84.002,1693.085,1691.058,1693.185,55.785,101.548,17,
org.apache.tools.ant.RuntimeConfigurable,0,2,1,0,0,2,1,1,0,0,9,8,25,5,3,114,0.910062775,0.194173929,5,2083.25,133,146.741,113.442,95,2081.169,2079.078,2081.124,64.56,112.606,7,
org.apache.tools.ant.Target,0,0,0,0,0,0,0,0,0,0,19,18,47,16,5,273,0.819221889,0.537850638,10,1924.262,128,138.159,99.644,85,1921.881,1920.067,1921.793,54.406,97.944,0,
org.apache.tools.ant.Task,0,0,0,0,0,0,0,0,0,0,19,78,23,75,5,125,0.802623224,5.258979476,103,2068.296,35.001,62.682,57.697,25.001,2068.151,2068.062,2068.139,54.406,57.271,0,
org.apache.tools.ant.TaskAdapter,0,0,0,0,0,0,0,0,0,0,4,6,15,4,2,82,0.943021749,0.083532917,5,2115.186,133,148.923,117.89,97,2113.227,2111.086,2113.137,69.642,116.25,0,
org.apache.tools.ant.taskdefs.Ant,1,2,1,0,0,2,0,2,0,0,10,9,70,1,8,440,0.706882086,0.297321014,4,1758.114,134,147.231,112.058,94,1755.518,1753.048,1755.737,62.37,115.434,6,26
org.apache.tools.ant.taskdefs.AntStructure,1,2,1,0,1,3,0,1,0,0,8,6,55,0,6,643,0.979275174,0.081845153,2,1555.955,136,149.883,115.663,97,1553.032,1550.073,1553.158,64.761,117.346,8,11
org.apache.tools.ant.taskdefs.Available,1,1,1,0,0,1,0,1,0,0,13,7,35,0,7,273,0.727078196,0.184815605,3,1924.74,135,146.932,112.161,96,1922.399,1920.051,1922.551,59.666,114.739,3,62
org.apache.tools.ant.taskdefs.CallTarget,0,0,0,0,0,0,0,0,0,0,5,7,20,0,7,76,0.6479492,0.010204082,0,2121.493,138,152.971,116.499,96.001,2119.176,2117.046,2119.314,67.469,118.983,0,
org.apache.tools.ant.taskdefs.Chmod,0,1,1,0,0,1,0,1,0,0,14,10,43,0,10,168,0.502548377,0,5,2029.363,133.001,144.7,109.078,93.001,2027.134,2025.03,2027.419,58.052,114.237,3,
org.apache.tools.ant.taskdefs.compilers.CompilerAdapter,0,0,0,0,0,0,0,0,0,0,2,4,2,3,2,2,1,0,1,2195.279,137,153.395,120.673,99,2193.236,2191.082,2193.102,71.568,118.224,0,
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,0,1,1,0,0,1,0,1,0,0,3,8,16,1,7,125,0.957538619,0.010204082,2,2072.467,136,152.053,116.829,95,2070.181,2068.047,2070.321,69.426,119.281,3,
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,0,3,1,0,0,3,0,3,0,0,10,17,81,4,13,743,0.350155474,0.255102041,5,1456.087,133.002,146.322,105.437,86.002,1452.548,1450.022,1453.109,61.522,112.898,9,
org.apache.tools.ant.taskdefs.compilers.Javac12,0,0,0,0,0,0,0,0,0,0,3,8,18,1,7,132,0.583212214,0,0,2065.615,138.001,153.844,116.829,95.001,2063.188,2061.048,2063.329,69.426,119.281,0,
org.apache.tools.ant.taskdefs.compilers.Javac13,0,0,0,0,0,0,0,0,0,0,2,8,17,1,7,97,0.588745661,0,0,2100.538,138.001,154.289,117.414,95.001,2098.152,2096.047,2098.29,70.406,119.854,0,
org.apache.tools.ant.taskdefs.compilers.Jikes,0,0,0,0,0,0,0,0,0,0,2,9,23,1,8,204,0.422305765,0,0,1993.782,138.001,154.289,116.606,94.002,1991.22,1989.042,1991.413,70.214,119.854,0,
org.apache.tools.ant.taskdefs.compilers.Jvc,0,1,1,0,0,1,0,1,0,0,2,9,19,1,8,120,0.504306281,0,0,2077.588,138.001,154.289,116.606,94.001,2075.13,2073.041,2075.315,70.214,119.854,3,
org.apache.tools.ant.taskdefs.CompileTask,0,0,0,0,0,0,0,0,0,0,4,5,21,0,5,87,0.824015927,0.020408163,0,2110.517,138,153.405,118.714,98,2108.279,2106.061,2108.326,68.884,119.541,0,
org.apache.tools.ant.taskdefs.Copy,0,2,1,0,0,2,0,2,0,0,17,12,64,1,11,642,0.623233566,0.13321091,4,1556.778,134.001,144.471,105.816,91.001,1553.667,1551.032,1554.093,54.918,111.893,6,
org.apache.tools.ant.taskdefs.Copydir,1,0,0,0,0,0,0,0,0,0,8,6,35,0,6,265,0.939105174,0.112457398,2,1932.791,136,149.883,115.663,97,1930.439,1928.058,1930.54,64.761,117.346,0,30
org.apache.tools.ant.taskdefs.Copyfile,1,0,0,0,0,0,0,0,0,0,6,4,21,0,4,136,0.896497177,0.030612245,2,2061.491,136,150.735,118.431,99,2059.381,2057.07,2059.381,67.186,118.431,0,29
org.apache.tools.ant.taskdefs.Cvs,0,1,1,0,0,1,0,1,0,0,12,12,37,0,12,310,0.639831097,0.102040816,2,1887.905,136,148.246,108.453,91.001,1885.198,1883.022,1885.601,59.682,115.248,3,
org.apache.tools.ant.taskdefs.Delete,1,0,0,0,0,0,0,0,0,0,18,8,49,0,8,579,0.46107646,0.071428571,6,1619.389,132.001,142.243,108.784,95.002,1616.793,1614.052,1617.033,54.571,112.294,0,17
org.apache.tools.ant.taskdefs.Deltree,1,0,0,0,0,0,0,0,0,0,4,3,17,0,3,152,0.933695906,0.010204082,3,2045.46,135,150.712,120.37,100,2043.448,2041.079,2043.4,69.376,119.541,0,14
org.apache.tools.ant.taskdefs.Echo,1,0,0,0,0,0,0,0,0,0,7,7,22,0,7,147,0.842681717,0.030612245,2,2050.515,136,150.306,115.378,96,2048.251,2046.048,2048.394,65.513,117.886,0,23
org.apache.tools.ant.taskdefs.Exec,0,0,0,0,0,0,0,0,0,0,10,5,41,1,5,360,0.722340281,0.06122449,4,1837.891,134,147.231,115.434,98,1835.618,1833.07,1835.618,63.063,115.434,0,
org.apache.tools.ant.taskdefs.ExecTask,0,2,1,0,0,2,0,2,0,0,19,18,56,5,13,406,0.455946544,0.112669896,8,1791.722,130.001,140.014,99.644,85.002,1789.02,1787.018,1789.471,52.612,107.424,6,
org.apache.tools.ant.taskdefs.Execute,0,3,1,0,0,3,1,1,1,0,21,25,77,10,16,566,0.628597225,1.155974108,18,1631.419,120.001,130,92.65,78.001,1628.869,1627.008,1629.432,50.249,102.083,9,
org.apache.tools.ant.taskdefs.ExecuteJava,0,0,0,0,0,0,0,0,0,0,6,7,26,1,6,185,0.88946784,0.256718809,1,2012.668,137,151.638,115.935,96,2010.294,2008.056,2010.39,66.708,117.597,0,
org.apache.tools.ant.taskdefs.ExecuteOn,0,4,1,0,0,4,0,4,0,0,11,14,42,2,12,395,0.778837814,0.056095373,4,1802.986,134,146.82,107.336,89,1800.201,1798.023,1800.615,60.671,114.057,12,
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,0,0,0,0,0,0,0,0,0,0,5,10,5,10,0,5,1,0,1,2192.285,137,152.069,114.039,93,2189.976,2188.101,2189.809,69.26,110.802,0,
org.apache.tools.ant.taskdefs.ExecuteWatchdog,1,1,1,0,0,1,0,1,0,0,8,6,25,5,1,169,0.838935819,0.286332015,3,2028.497,135,148.977,115.663,97,2026.323,2024.099,2026.182,66.098,113.159,3,98
org.apache.tools.ant.taskdefs.Exit,0,0,0,0,0,0,0,0,0,0,3,2,6,0,2,29,0.979275174,0.010204082,2,2168.269,136,152.053,121.758,101,2166.356,2164.083,2166.263,70.605,120.104,0,
org.apache.tools.ant.taskdefs.Expand,0,3,1,1,0,4,0,2,0,0,5,8,45,0,8,261,0.654055607,0.020408163,3,1936.711,135,150.27,115.676,95.001,1934.334,1932.044,1934.535,67.268,118.983,12,
org.apache.tools.ant.taskdefs.Filter,1,0,0,0,0,0,0,0,0,0,6,4,24,0,4,153,0.939182405,0.046024617,3,2044.462,135,149.833,118.431,99,2042.401,2040.071,2042.401,67.186,118.431,0,63
org.apache.tools.ant.taskdefs.FixCRLF,0,3,1,0,0,3,0,3,0,0,8,7,34,0,7,626,0.410417283,0.040816327,2,1572.891,136.001,149.883,114.826,96.002,1569.938,1567.063,1570.124,64.537,117.346,9,
org.apache.tools.ant.taskdefs.GenerateKey,0,1,1,0,0,1,0,1,0,0,14,6,33,0,6,404,0.619500941,0.081632653,2,1794.162,136.001,147.462,112.508,97.001,1791.628,1789.063,1791.737,58.941,114.237,3,
org.apache.tools.ant.taskdefs.Get,1,3,1,0,0,3,0,3,0,0,8,6,46,0,6,394,0.829848992,0.040816327,3,1804.058,135,148.977,115.663,97,1801.613,1799.063,1801.722,64.761,117.346,9,32
org.apache.tools.ant.taskdefs.GUnzip,1,0,0,0,0,0,0,0,0,0,4,4,32,0,4,215,0.911702441,0,2,1982.67,136,151.608,119.541,99,1980.476,1978.073,1980.476,69.123,119.541,0,25
org.apache.tools.ant.taskdefs.GZip,1,0,0,0,0,0,0,0,0,0,6,4,25,0,4,157,0.897755027,0.030612245,3,2040.471,135,149.833,118.431,99,2038.406,2036.071,2038.406,67.186,118.431,0,27
org.apache.tools.ant.taskdefs.Jar,1,4,1,0,0,4,1,3,0,0,6,6,33,1,5,164,0.748721318,0.020408163,3,2033.486,135,149.833,116.765,97,2031.317,2029.063,2031.365,66.94,117.597,13,30
org.apache.tools.ant.taskdefs.Java,0,1,1,0,0,1,0,1,0,0,22,17,77,0,17,439,0.188753098,0.14900396,11,1758.592,127.003,136.125,98.98,86.004,1756.107,1754.005,1756.792,49.163,110.463,3,
org.apache.tools.ant.taskdefs.Javac,0,1,1,0,1,2,0,0,0,0,42,19,74,7,13,550,0.435520772,0.466897003,5,1648.374,133.001,136.125,88.865,84.002,1645.146,1643.019,1645.574,30.083,96.462,5,
org.apache.tools.ant.taskdefs.JavacOutputStream,0,0,0,0,0,0,0,0,0,0,4,1,11,0,1,68,0.971704003,0.020408163,1,2129.412,137,152.506,122.037,102,2127.447,2125.094,2127.305,69.921,119.541,0,
org.apache.tools.ant.taskdefs.Javadoc,0,5,1,0,0,5,0,5,0,0,65,21,155,6,21,1504,0.219372587,0.102040816,3,702.101,135.002,135.133,82.219,82.004,693.862,689,695.248,6,93.193,15,
org.apache.tools.ant.taskdefs.Jikes,0,0,0,0,0,0,0,0,0,0,2,5,29,0,5,176,0.896809896,0.102040816,0,2021.715,138,154.289,119.854,98,2019.379,2017.063,2019.428,70.831,120.673,0,
org.apache.tools.ant.taskdefs.JikesOutputParser,0,0,0,0,0,0,0,0,0,0,12,3,21,1,2,147,0.825385407,0.326530612,1,2050.582,137,149.164,116.108,100,2048.442,2046.088,2048.346,61.984,114.39,0,
org.apache.tools.ant.taskdefs.KeySubst,0,0,0,0,0,0,0,0,0,0,8,3,40,0,3,271,0.785999463,0.102040816,3,1926.735,135,148.977,118.191,100,1924.6,1922.084,1924.548,65.521,117.346,0,
org.apache.tools.ant.taskdefs.LogOutputStream,0,0,0,0,0,0,0,0,0,0,7,8,15,7,1,92,0.871216601,0.344074574,9,2104.957,129,144.003,114.547,95,2103.147,2101.095,2103.013,67.052,112.071,0,
org.apache.tools.ant.taskdefs.LogStreamHandler,0,0,0,0,0,0,0,0,0,0,1,9,3,6,3,14,0.969074391,0,13,2182.582,125,143.265,117.201,94,2181.027,2179.074,2180.984,72.277,116.4,0,
org.apache.tools.ant.taskdefs.MatchingTask,0,0,0,0,0,0,0,0,0,0,12,18,37,12,6,164,0.336585502,0.020408163,17,2032.605,121.002,134.618,103.47,85.003,2030.78,2029.055,2030.864,60.877,105.119,0,
org.apache.tools.ant.taskdefs.Mkdir,1,2,1,0,0,2,0,2,0,0,3,3,14,0,3,84,0.961687865,0.010204082,2,2113.38,136,152.053,120.93,100,2111.369,2109.077,2111.322,70.342,120.104,6,23
org.apache.tools.ant.taskdefs.Move,0,2,1,0,0,2,0,2,0,0,4,6,32,0,6,325,0.883432073,0.06122449,1,1873.017,137,152.506,117.89,97,1870.517,1868.06,1870.622,68.659,119.541,6,
org.apache.tools.ant.taskdefs.Patch,0,1,1,0,0,1,0,1,0,0,9,9,29,0,9,168,0.696721981,0.010204082,2,2029.562,136,149.466,112.606,94,2027.181,2025.036,2027.419,63.151,116.812,3,
org.apache.tools.ant.taskdefs.Property,1,2,1,0,0,2,0,0,2,0,27,11,83,2,9,658,0.582620931,0.448979592,4,1540.838,134.001,141.039,101.98,92.001,1537.755,1535.047,1538.062,45.607,106.513,4,11
org.apache.tools.ant.taskdefs.PumpStreamHandler,0,2,1,1,0,3,0,1,0,0,11,8,17,6,2,93,0.872439737,0.241051828,7,2104.082,131,144.087,112.361,95,2102.148,2100.086,2102.058,62.936,110.675,9,
org.apache.tools.ant.taskdefs.Rename,1,0,0,0,0,0,0,0,0,0,5,4,18,0,4,107,0.889840236,0,2,2090.429,136,151.169,118.983,99,2088.348,2086.069,2088.348,68.154,118.983,0,20
org.apache.tools.ant.taskdefs.Replace,1,3,1,0,0,3,1,1,1,0,19,8,69,2,8,632,0.550566281,0.204487544,3,1566.827,135.001,144.669,108.301,95.001,1563.888,1561.054,1564.011,53.6,110.059,9,32
org.apache.tools.ant.taskdefs.Rmic,0,5,1,0,0,5,1,4,0,0,22,16,72,1,16,675,0.238567094,0.112244898,3,1523.991,135.002,143.618,99.85,87.003,1520.491,1518.008,1521.16,49.254,109.567,16,
org.apache.tools.ant.taskdefs.SendEmail,0,1,1,0,0,1,0,1,0,0,8,4,41,0,4,236,0.910895845,0.081632653,0,1961.86,138,151.7,117.346,99,1959.502,1957.074,1959.502,65.253,117.346,3,
org.apache.tools.ant.taskdefs.SignJar,0,1,1,0,0,1,1,0,0,0,14,5,35,0,5,307,0.45236518,0.256589533,3,1890.825,135.001,146.54,113.371,98.002,1888.544,1886.068,1888.597,59.203,114.237,4,
org.apache.tools.ant.taskdefs.SQLExec,0,5,1,0,0,5,1,4,0,0,23,10,96,1,10,1034,0.582991973,0.300710165,4,1166.721,134.001,142.338,104.657,93.001,1162.725,1159.052,1163.136,49.244,109.124,16,
org.apache.tools.ant.taskdefs.StreamPumper,0,0,0,0,0,0,0,0,0,0,2,1,6,1,0,39,0.948350694,0.102040816,1,2158.352,137,153.395,123.146,102,2156.414,2154.102,2156.228,72.125,119.854,0,
