@relation 'Ant13-Arrondi5-weka.filters.unsupervised.attribute.Remove-R1-6,8-18,30'

@attribute #Normal numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute Risk1 numeric

@data
3,127.00021,127.60927,158.00316,154.01299,122.63411,122.00022,1480.00002,19.00139,1482.98213,95.90099,13
0,132.00005,132.22983,163.21765,196.10456,171.17747,171.00004,2096,18.00039,2098.19732,97.67292,0
0,0.18096,2.17053,4,158.05062,158.01491,158.0001,2040.00001,20.00082,2040.00392,20.39608,0
0,138,138.59111,168.68017,203.59273,179.45611,179,2186,20,2188.15105,99.0404,0
0,137,137.59541,169.61427,207.66319,182.44861,182,2189,20,2191.28296,101.98039,0
0,138,138.59111,172.20046,212.61467,186.43899,186,2193,21,2195.4175,105.11898,0
2,134.00019,134.57711,164.25894,180.94474,154.50242,154.00016,1936.00001,17.00147,1938.32944,96.50907,6
0,138.00003,138.5836,172.20046,207.38611,180.44782,180.00002,2148,21.00017,2150.46809,105.11898,0
1,114.00268,114.46499,139.84634,157.4357,135.39289,135.00226,786.00039,19.01608,790.16264,83.19856,9
0,136,136.59977,168.21712,199.32386,173.47189,173,2180,21,2182.24678,101.20277,0
1,134.00023,134.41539,155.55385,146.18481,123.4524,123.00025,1371.00002,1.02998,1373.27419,79.00633,7
0,133.00001,133.59516,142.80406,183.52112,176.45018,176.00001,2124,21.00006,2124.63644,56.0803,0
1,137.00002,137.56217,167.28718,141.53445,104.73944,104.00003,940,14.00021,944.88941,97.01546,3
0,137.00006,137.59446,169.61427,197.23083,170.47943,170.00005,2134,18.00044,2136.34173,101.60709,0
0,136.00005,136.53094,169.40189,198.6001,171.42257,171.00004,2093,21.0003,2095.43552,103.16007,0
2,48.00588,48.79354,48,0,8.76412,0.75122,0.75122,14.02014,0,14,10
2,130.001,130.60553,154.77726,140.80128,113.69611,113.00115,1691.00008,14.00928,1693.08505,85.15868,17
1,133.00003,133.59479,163.44418,186.93849,161.4917,161.00003,2079,18.00022,2081.16938,96.69023,7
0,128.00013,128.58472,153.6522,162.92943,139.53864,139.00012,1920.00001,16.00102,1921.88059,86.49277,0
0,35.00056,35.80034,43.01163,164.90603,163.17372,163.00012,2068.00001,16.00122,2068.15111,29.68164,0
0,133.00001,133.60526,164.6147,196.59603,171.47118,171.00001,2111,19.00009,2113.22739,98.84331,0
2,134.00032,134.58076,163.68262,149.30506,116.67039,116.00037,1753.00002,13.0033,1755.51844,94.89468,6
1,136,136.59213,167.0479,163.00307,131.61463,131,1550,15.00001,1553.0322,98.15294,8
1,135.00028,135.58689,165.65325,178.93295,151.52493,151.00025,1920.00002,14.00266,1922.3985,97.01546,3
0,138.00045,138.59017,168.10711,191.76027,166.49095,166.00037,2117.00003,14.00443,2119.17555,97.01546,0
1,133.00093,133.61323,162.28986,170.58136,143.57053,143.00087,2025.00006,11.01124,2027.13443,93.64828,3
0,137,137.59541,169.02663,208.94258,184.44375,184,2191,19,2193.23551,100.80675,0
1,136.00001,136.59881,165.89454,194.74342,170.47943,170.00001,2068,14.00006,2070.18091,96.02604,3
3,133.00159,133.58906,158.38245,135.72398,105.74515,105.00201,1450.00015,8.02635,1452.54811,86.37129,9
0,138.00063,138.59111,167.53806,193,168.48589,168.00052,2061.00004,14.0062,2063.18831,96.02604,0
0,138.00061,138.59111,167.53806,193.87109,169.48303,169.0005,2096.00004,14.00604,2098.15181,96.02604,0
0,138.00121,138.59111,166.97305,188.16216,163.50075,163.00102,1989.00008,13.01283,1991.21998,94.89468,0
1,138.00089,138.59111,166.97305,191.63768,167.48879,167.00074,2073.00006,13.00945,2075.13012,94.89468,3
0,138.00011,138.58923,169.2572,191.90883,165.49313,165.00009,2106.00001,16.00097,2108.27892,99.29753,0
2,134.00053,134.59609,161.97839,152.20053,122.65442,122.00058,1551.00005,10.0071,1553.66727,91.5478,6
0,136.00001,136.58929,167.0479,179.47145,151.53096,151.00001,1928,15.00012,1930.43855,98.15294,0
0,136.00004,136.5969,168.21712,192.42141,165.49234,165.00003,2057,17.00032,2059.38097,100.44899,0
1,136.00048,136.59025,163.63679,174.59095,149.53895,149.00044,1883.00003,9.0072,1885.1976,91.44397,3
0,132.0011,132.61099,162.63149,166.71533,137.58879,137.00106,1614.00009,13.01117,1616.79343,95.88535,0
0,135.00002,135.60323,168.00298,196.36955,169.48226,169.00001,2041,18.00012,2043.44831,101.60709,0
0,136.00009,136.5969,166.46922,190.03158,164.49533,164.00008,2046.00001,14.00088,2048.25096,97.01546,0
0,134.00029,134.60288,166.01205,175.01143,145.55732,145.00027,1833.00002,16.00241,1835.61788,99.29753,0
2,130.00114,130.61634,155.32225,155.32225,130.61634,130.00114,1787.00008,8.01848,1789.0204,85.37564,6
1,120.00057,120.56231,143.12233,134.03358,109.61875,109.00063,1627.00004,5.01378,1628.86863,78.16009,9
0,137.00004,137.57179,167.28718,186.59046,160.48987,160.00004,2008,15.00041,2010.29351,97.16481,0
4,134.00018,134.60336,160.8633,169.28379,144.56163,144.00017,1798.00001,9.00272,1800.20138,89.4539,12
0,137,137.59541,165.58382,203.49447,181.45108,181,2188,21,2189.97557,95.34149,0
1,135.0001,135.57749,166.23477,187.96276,161.48454,161.00008,2024.00001,20.00065,2026.32302,99.0404,3
0,136,136.59881,169.40189,206.4001,180.45286,180,2164,19.00001,2166.3557,102.77159,0
