"Class Name","HasTC","#Bugs","#Blocker","#Critical","#Major","#Normal","#Minor","#Trivial","WMC","CBO","RFC","Ca","Ce","LOC","Qi","Si","FANIN","d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)","Risk1","TLOC"
"org.apache.tools.ant.AntClassLoader","0","4","0","0","1","3","0","0","17","9","64","7","2","713","0.770333270029058","0.331622672070807","11","127.00021","127.60927","158.00316","154.01299","122.63411","122.00022","1480.00002","19.00139","1482.98213","95.90098999999999","13",""
"org.apache.tools.ant.BuildEvent","0","0","0","0","0","0","0","0","11","7","15","5","3","97","0.881918528631835","4.99381473880203","6","132.00005","132.22983","163.21765","196.10456","171.17747","171.00004","2096","18.00039","2098.19732","97.67292","0",""
"org.apache.tools.ant.BuildException","0","0","0","0","0","0","0","0","14","99","28","98","1","153","0.819040353572954","10.6160226712381","138","0.18096","2.17053","4","158.05062","158.01491","158.0001","2040.00001","20.00082","2040.00392","20.39608","0",""
"org.apache.tools.ant.BuildListener","0","0","0","0","0","0","0","0","7","6","7","5","1","7","1","0","0","138","138.59111","168.68017","203.59273","179.45611","179","2186","20","2188.15105","99.04040000000001","0",""
"org.apache.tools.ant.BuildLogger","0","0","0","0","0","0","0","0","4","3","4","2","1","4","1","0","1","137","137.59541","169.61427","207.66319","182.44861","182","2189","20","2191.28296","101.98039","0",""
"org.apache.tools.ant.Constants","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","138","138.59111","172.20046","212.61467","186.43899","186","2193","21","2195.4175","105.11898","0",""
"org.apache.tools.ant.DefaultLogger","0","2","0","0","0","2","0","0","14","8","32","4","4","257","0.776190958461638","0.336734693881226","4","134.00019","134.57711","164.25894","180.94474","154.50242","154.00016","1936.00001","17.00147","1938.32944","96.50906999999999","6",""
"org.apache.tools.ant.DesirableFilter","0","0","0","0","0","0","0","0","2","0","6","0","0","45","0.916666666666666","0.0816326530621154","0","138.00003","138.5836","172.20046","207.38611","180.44782","180.00002","2148","21.00017","2150.46809","105.11898","0",""
"org.apache.tools.ant.DirectoryScanner","0","2","1","0","0","1","0","0","23","22","51","20","2","1407","0.21806263504673","2.47959864574477","24","114.00268","114.46499","139.84634","157.4357","135.39289","135.00226","786.00039","19.01608","790.16264","83.19856","9",""
"org.apache.tools.ant.FileScanner","0","0","0","0","0","0","0","0","13","4","13","4","0","13","1","0","2","136","136.59977","168.21712","199.32386","173.47189","173","2180","21","2182.24678","101.20277","0",""
