@relation 'Ant13-weka.filters.unsupervised.attribute.Remove-R1-2,5-20,31-32-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1-2,4-10'

@attribute 'd(WMC,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.679275,1
0.679275,1
0.679275,1
0.679275,1
0.809748,0
-0.832079,0
0.942626,0
0.949853,0
1,0
0.821369,1
0.821369,1
0.98312,0
0.412273,1
0.412273,1
0.863011,0
0.821369,1
0.821369,1
0.874659,0
0.872962,1
0.949853,0
0.941399,0
-1,1
-1,1
-1,1
0.730877,1
0.730877,1
0.730877,1
0.730877,1
0.730877,1
0.842301,1
0.842301,1
0.68218,0
-0.72607,0
0.883003,0
0.85144,1
0.85144,1
0.900924,1
0.900924,1
0.845859,1
0.958527,0
0.804209,1
0.966444,0
0.941399,1
0.83447,1
0.83447,1
0.83447,1
0.974824,0
0.98312,0
0.98312,0
0.98312,1
0.966626,0
0.799951,1
0.799951,1
0.900924,0
0.916813,0
0.870384,1
0.758368,0
0.91638,0
0.908818,0
0.85144,0
0.71679,1
0.71679,1
0.529945,1
0.529945,1
0.529945,1
0.933658,0
0.843763,1
0.843763,1
0.843763,1
0.843763,1
0.941706,0
0.884006,1
0.941399,0
0.908135,1
0.908135,1
0.908135,1
0.89999,0
0.900924,1
0.900924,1
0.900924,1
0.855745,1
0.884006,1
0.884006,1
0.884006,1
0.933104,0
0.89999,0
0.89999,1
0.89999,1
0.89999,1
0.89999,1
0.644223,1
0.644223,1
0.949853,0
0.62572,1
0.62572,1
0.62572,1
0.62572,1
0.62572,1
0.98312,0
0.88751,0
0.884006,0
0.791219,0
0.77745,0
0.616106,0
0.941399,1
0.941399,1
0.949853,1
0.949853,1
0.893133,1
0.735909,1
0.735909,1
0.792774,1
0.792774,1
0.924909,0
0.803629,1
0.803629,1
0.803629,1
0.784019,1
0.784019,1
0.784019,1
0.784019,1
0.784019,1
0.934827,1
0.838547,1
0.760138,1
0.760138,1
0.760138,1
0.760138,1
0.760138,1
0.966444,0
0.900924,1
0.900924,1
0.884006,0
0.9581,0
0.867109,1
0.867109,1
0.867109,1
0.876167,1
0.941399,0
0.933104,1
0.933104,1
0.933104,1
0.908818,1
0.876167,0
0.9581,1
0.845859,1
0.845859,1
0.845859,1
0.845859,1
0.845859,1
0.845859,1
0.748973,1
0.748973,1
0.748973,1
0.748973,1
0.748973,1
0.748973,1
0.748973,1
0.257203,1
0.257203,1
0.257203,1
0.720585,1
0.825402,0
0.791414,1
0.924724,0
0.652433,0
0.809748,0
0.132301,1
0.132301,1
0.817265,1
0.817265,1
0.857959,0
0.724507,0
0.617977,0
0.89999,1
0.908135,1
0.9581,0
0.966626,0
0.908135,1
0.966626,0
0.91638,0
0.941706,0
0.941706,0
0.949853,0
0.941399,0
0.941706,1
0.82521,0
0.919535,1
0.919535,1
0.919535,1
0.771387,0
0.924909,0
0.941706,0
0.790442,0
1,1
0.71359,1
0.71359,1
0.841538,1
0.841538,1
0.848587,0
0.900924,0
