@relation 'Ant13-weka.filters.unsupervised.attribute.Remove-R1-2,5-20,31-32-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1'

@attribute #BugsBinary numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute #Bugs numeric

@data
1,1485.438992,127.000208,138.003623,108.406642,94.000281,1482.982131,1480.121954,1482.856702,57.245087,106.677083,4
1,1485.438992,127.000208,138.003623,108.406642,94.000281,1482.982131,1480.121954,1482.856702,57.245087,106.677083,4
1,1485.438992,127.000208,138.003623,108.406642,94.000281,1482.982131,1480.121954,1482.856702,57.245087,106.677083,4
1,1485.438992,127.000208,138.003623,108.406642,94.000281,1482.982131,1480.121954,1482.856702,57.245087,106.677083,4
0,2100.152375,132.000053,144.996552,113.207774,96.000073,2098.197322,2096.077289,2098.106766,62.641839,111.516815,0
0,2040,0.18096,57,57.140179,4.004091,2040.003922,2040.098037,2040.000245,60.406953,57.008771,0
0,2190.35157,138,152.118375,116.211015,97,2188.151046,2186.091489,2188.02011,67.052218,113.718952,0
0,2193.282927,137,152.505738,120.370262,100,2191.282958,2189.091364,2191.148101,69.921384,117.889779,0
0,2197.337707,138,155.193428,125.09996,103,2195.4175,2193.100545,2195.233473,74.040529,121.827747,0
1,1940.631856,134.000187,145.619367,110.788086,95.000264,1938.329435,1936.074637,1938.329435,59.481089,110.788086,2
1,1940.631856,134.000187,145.619367,110.788086,95.000264,1938.329435,1936.074637,1938.329435,59.481089,110.788086,2
0,2152.428396,138.000025,154.28869,123.975804,103.000034,2150.468089,2148.102651,2150.280214,72.124892,120.673112,0
1,794.22415,114.002682,123.693169,94.154129,81.003774,790.162641,786.22961,789.960126,51.623638,92.439169,2
1,794.22415,114.002682,123.693169,94.154129,81.003774,790.162641,786.22961,789.960126,51.623638,92.439169,2
0,2184.238082,136,147.851277,114.738834,99,2182.246778,2180.101144,2182.068972,61.684682,111.305885,0
1,1377.53294,134.000227,145.619367,97.416631,79.000385,1373.27419,1371.000365,1373.27419,57.008771,97.416631,2
1,1377.53294,134.000227,145.619367,97.416631,79.000385,1373.27419,1371.000365,1373.27419,57.008771,97.416631,2
0,2128.160003,133.00001,148.475587,84.023806,52.000025,2124.636439,2124.103811,2124.542304,69.260378,81.608823,0
1,949.93105,137.000022,148.384635,111.646764,96.000031,944.889412,940.10425,945.198921,58.694122,114.236597,1
0,2138.393088,137.000058,152.505738,120.370262,100.00008,2136.341733,2134.075912,2136.295158,69.375788,119.540788,0
0,2097.413884,136.000046,152.052623,121.757957,101.000062,2095.435516,2093.105349,2095.246525,71.168813,118.460964,0
1,48,48.005878,48,0,0.751221,0,14,0,14,0,3
1,48,48.005878,48,0,0.751221,0,14,0,14,0,3
1,48,48.005878,48,0,0.751221,0,14,0,14,0,3
1,1695.989682,130.001,140.769315,99.859902,84.001548,1693.085054,1691.057953,1693.185459,55.785303,101.548018,5
1,1695.989682,130.001,140.769315,99.859902,84.001548,1693.085054,1691.057953,1693.185459,55.785303,101.548018,5
1,1695.989682,130.001,140.769315,99.859902,84.001548,1693.085054,1691.057953,1693.185459,55.785303,101.548018,5
1,1695.989682,130.001,140.769315,99.859902,84.001548,1693.085054,1691.057953,1693.185459,55.785303,101.548018,5
1,1695.989682,130.001,140.769315,99.859902,84.001548,1693.085054,1691.057953,1693.185459,55.785303,101.548018,5
1,2083.249865,133.00003,146.741269,113.441615,95.000043,2081.169383,2079.077921,2081.123975,64.56005,112.605506,2
1,2083.249865,133.00003,146.741269,113.441615,95.000043,2081.169383,2079.077921,2081.123975,64.56005,112.605506,2
0,1924.261936,128.000128,138.159328,99.644368,85.000192,1921.880589,1920.066666,1921.793173,54.405882,97.943861,0
0,2068.296159,35.000557,62.681736,57.697487,25.000779,2068.151107,2068.061895,2068.13926,54.405882,57.271284,0
0,2115.185571,133.000012,148.922799,117.889779,97.000017,2113.22739,2111.085503,2113.136531,69.641941,116.249731,0
1,1758.114046,134.000321,147.231111,112.058021,94.000457,1755.518442,1753.048202,1755.737167,62.369865,115.433964,2
1,1758.114046,134.000321,147.231111,112.058021,94.000457,1755.518442,1753.048202,1755.737167,62.369865,115.433964,2
1,1555.955012,136.000002,149.883288,115.663304,97.000002,1553.032195,1550.072579,1553.158395,64.761099,117.345643,2
1,1555.955012,136.000002,149.883288,115.663304,97.000002,1553.032195,1550.072579,1553.158395,64.761099,117.345643,2
1,1924.740242,135.000276,146.931957,112.160599,96.000388,1922.398502,1920.051041,1922.55065,59.665736,114.738834,1
0,2121.493106,138.000449,152.970585,116.498927,96.000646,2119.175547,2117.046291,2119.313568,67.468511,118.983192,0
1,2029.362954,133.00093,144.699689,109.077954,93.00133,2027.134431,2025.029876,2027.418556,58.051701,114.236597,1
0,2195.279026,137,153.394915,120.673112,99,2193.235509,2191.082381,2193.102141,71.568149,118.224363,0
1,2072.467129,136.000007,152.052623,116.828935,95.000009,2070.18091,2068.047388,2070.320748,69.42622,119.28118,1
1,1456.086879,133.001588,146.321564,105.437185,86.002455,1452.548106,1450.022069,1453.108736,61.522354,112.898184,3
1,1456.086879,133.001588,146.321564,105.437185,86.002455,1452.548106,1450.022069,1453.108736,61.522354,112.898184,3
1,1456.086879,133.001588,146.321564,105.437185,86.002455,1452.548106,1450.022069,1453.108736,61.522354,112.898184,3
0,2065.614921,138.000629,153.844077,116.828935,95.000914,2063.188309,2061.047549,2063.328621,69.42622,119.28118,0
0,2100.538026,138.000613,154.28869,117.413798,95.00089,2098.151806,2096.046755,2098.28978,70.405966,119.854078,0
0,1993.781583,138.001209,154.28869,116.606175,94.001775,1991.219978,1989.042483,1991.412815,70.213959,119.854078,0
1,2077.588265,138.00089,154.28869,116.606175,94.001307,2075.130116,2073.040762,2075.315157,70.213959,119.854078,1
0,2110.516524,138.000112,153.404694,118.713942,98.000158,2108.278919,2106.060778,2108.325639,68.88396,119.540788,0
1,1556.777762,134.00053,144.471451,105.815878,91.00078,1553.667275,1551.032237,1554.092983,54.918121,111.892806,2
1,1556.777762,134.00053,144.471451,105.815878,91.00078,1553.667275,1551.032237,1554.092983,54.918121,111.892806,2
0,1932.790728,136.000014,149.883288,115.663304,97.000019,1930.438551,1928.05835,1930.54008,64.761099,117.345643,0
0,2061.490965,136.000039,150.734867,118.431415,99.000054,2059.380975,2057.070247,2059.380975,67.186308,118.431415,0
1,1887.904923,136.000477,148.246417,108.452755,91.000713,1885.197602,1883.021508,1885.6007,59.682493,115.24756,1
0,1619.388774,132.0011,142.24275,108.78419,95.001529,1616.793431,1614.052354,1617.033395,54.571055,112.294256,0
0,2045.45985,135.000016,150.711645,120.370262,100.000022,2043.448311,2041.079371,2043.399618,69.375788,119.540788,0
