Class Name,HasTC,#Bugs,#BugsBinary,#Blocker,#Critical,Critique,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,Si,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC
org.apache.tools.ant.AntClassLoader,0,4,1,0,0,4,1,3,0,0,17,9,64,7,2,713,0.77033327,0.331622672,11,1485.438992,127.0002077,138.0036231,108.4066419,94.00028057,1482.982131,1480.121954,1482.856702,57.24508713,106.6770828,13,
org.apache.tools.ant.BuildEvent,0,0,0,0,0,0,0,0,0,0,11,7,15,5,3,97,0.881918529,4.993814739,6,2100.152375,132.0000528,144.9965517,113.2077736,96.00007262,2098.197322,2096.077289,2098.106766,62.64183905,111.5168149,0,
org.apache.tools.ant.BuildException,0,0,0,0,0,0,0,0,0,0,14,99,28,98,1,153,0.819040354,10.61602267,138,2040,0.180959646,57,57.14017851,4.004091207,2040.003922,2040.098037,2040.000245,60.40695324,57.00877125,0,
org.apache.tools.ant.BuildListener,0,0,0,0,0,0,0,0,0,0,7,6,7,5,1,7,1,0,0,2190.35157,138,152.118375,116.211015,97,2188.151046,2186.091489,2188.02011,67.05221846,113.7189518,0,
org.apache.tools.ant.BuildLogger,0,0,0,0,0,0,0,0,0,0,4,3,4,2,1,4,1,0,1,2193.282927,137,152.5057376,120.3702621,100,2191.282958,2189.091364,2191.148101,69.92138443,117.889779,0,
org.apache.tools.ant.Constants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2197.337707,138,155.1934277,125.09996,103,2195.4175,2193.100545,2195.233473,74.04052944,121.8277472,0,
org.apache.tools.ant.DefaultLogger,0,2,1,0,0,2,0,2,0,0,14,8,32,4,4,257,0.776190958,0.336734694,4,1940.631856,134.0001869,145.6193668,110.788086,95.00026363,1938.329435,1936.074637,1938.329435,59.48108943,110.788086,6,
org.apache.tools.ant.DesirableFilter,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,45,0.916666667,0.081632653,0,2152.428396,138.0000252,154.2886904,123.9758041,103.0000337,2150.468089,2148.102651,2150.280214,72.12489168,120.6731122,0,
org.apache.tools.ant.DirectoryScanner,0,2,1,1,0,3,0,1,0,0,23,22,51,20,2,1407,0.218062635,2.479598646,24,794.2241497,114.0026817,123.6931688,94.15412896,81.00377415,790.1626415,786.2296102,789.9601256,51.623638,92.43916919,9,
org.apache.tools.ant.FileScanner,0,0,0,0,0,0,0,0,0,0,13,4,13,4,0,13,1,0,2,2184.238082,136,147.8512766,114.7388339,99,2182.246778,2180.101144,2182.068972,61.68468205,111.3058848,0,
org.apache.tools.ant.IntrospectionHelper,1,2,1,0,0,2,1,1,0,0,14,24,63,20,20,822,0.753316678,2.227392636,4,1377.53294,134.0002271,145.6193668,97.41663102,79.00038514,1373.27419,1371.000365,1373.27419,57.00877125,97.41663102,7,330
