Class Name,HasTC,#Bugs,#BugsBinary,#Blocker,#Critical,Critique,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,Si,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC,"d(RFC,d(LOC, Ca))","d(RFC, Ca)","d(LOC,d(RFC, Ca))","d(LOC, RFC, Ca)","d(d(LOC,Ce),d(RFC, Ca))","d(LOC, WMC)","d(d(LOC,WMC),d(RFC, Ca))","D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))","d(LOC, RFC)","d(WMC, RFC)",#Hbugs,#Mbugs,#Lbugs,#Nbugs,#Severity,#Score,#Risk
org.apache.tools.ant.AntClassLoader,0,4,1,0,0,4,1,3,0,0,17,9,64,7,2,713,0.77033327,0.331622672,11,1485.438992,127.0002077,138.0036231,108.4066419,94.00028057,1482.982131,1480.121954,1482.856702,57.24508713,106.6770828,13,,722.747994,152.8005236,1481.13235,1487.86693,715.3261561,1480.984807,715.5111869,2618913.098,2190522,3038,4,3,3,6,2,26,25
org.apache.tools.ant.BuildEvent,0,0,0,0,0,0,0,0,0,0,11,7,15,5,3,97,0.881918529,4.993814739,6,2100.152375,132.0000528,144.9965517,113.2077736,96.00007262,2098.197322,2096.077289,2098.106766,62.64183905,111.5168149,0,,196.6585804,195.1332878,2096.057849,2105.063657,98.26505103,2096.858603,98.52886252,416048.0116,4393387,3771,0,0,0,0,0,0,0
org.apache.tools.ant.BuildException,0,0,0,0,0,0,0,0,0,0,14,99,28,98,1,153,0.819040354,10.61602267,138,2040,0.180959646,57,57.14017851,4.004091207,2040.003922,2040.098037,2040.000245,60.40695324,57.00877125,0,,221.4979796,158.0031645,2040.680667,2046.109723,161.8250652,2040.796168,162.1563655,647677.0207,4161758,3407,0,0,0,0,0,0,0
org.apache.tools.ant.BuildListener,0,0,0,0,0,0,0,0,0,0,7,6,7,5,1,7,1,0,0,2190.35157,138,152.118375,116.211015,97,2188.151046,2186.091489,2188.02011,67.05221846,113.7189518,0,,179.1452835,202.1806123,2186.016624,2195.329816,11.03668193,2186.93667,11.16690349,30660.00203,4778775,4275,0,0,0,0,0,0,0
org.apache.tools.ant.BuildLogger,0,0,0,0,0,0,0,0,0,0,4,3,4,2,1,4,1,0,1,2193.282927,137,152.5057376,120.3702621,100,2191.282958,2189.091364,2191.148101,69.92138443,117.889779,0,,182.0458466,206.2353025,2189.004565,2198.693703,6.005020917,2190.025114,6.082227567,17532.00105,4791903,4671,0,0,0,0,0,0,0
org.apache.tools.ant.Constants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2197.337707,138,155.1934277,125.09996,103,2195.4175,2193.100545,2195.233473,74.04052944,121.8277472,0,,186,210.7059563,2193,2203.099181,0,2194.149038,0,0,4809435,5227,0,0,0,0,0,0,0
org.apache.tools.ant.DefaultLogger,0,2,1,0,0,2,0,2,0,0,14,8,32,4,4,257,0.776190958,0.336734694,4,1940.631856,134.0001869,145.6193668,110.788086,95.00026363,1938.329435,1936.074637,1938.329435,59.48108943,110.788086,6,,299.5257659,180.9447429,1936.228739,1944.437451,258.743207,1936.838919,259.0255331,1061185.032,3748250,3403,2,2,2,4,2,14,12
org.apache.tools.ant.DesirableFilter,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,45,0.916666667,0.081632653,0,2152.428396,138.0000252,154.2886904,123.9758041,103.0000337,2150.468089,2148.102651,2150.280214,72.12489168,120.6731122,0,,185.5284222,205.4288198,2148.006482,2157.800964,45.30627559,2149.107954,45.34917149,195351.0052,4614084,4941,0,0,0,0,0,0,0
org.apache.tools.ant.DirectoryScanner,0,2,1,1,0,3,0,1,0,0,23,22,51,20,2,1407,0.218062635,2.479598646,24,794.2241497,114.0026817,123.6931688,94.15412896,81.00377415,790.1626415,786.2296102,789.9601256,51.623638,92.43916919,9,,1411.742958,156.4161117,787.8726973,801.412503,1407.918042,787.4642849,1407.731999,4191504.236,617931,2439,4,1,1,2,2,22,20
org.apache.tools.ant.FileScanner,0,0,0,0,0,0,0,0,0,0,13,4,13,4,0,13,1,0,2,2184.238082,136,147.8512766,114.7388339,99,2182.246778,2180.101144,2182.068972,61.68468205,111.3058848,0,,173.5001558,197.3676772,2180.040805,2188.91617,18.6250933,2180.771423,18.89101008,56862.00309,4752573,3537,0,0,0,0,0,0,0
