@relation 'Ant13-weka.filters.unsupervised.attribute.Remove-R1-3,5-20,31-32-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-4,6-10'

@attribute 'd(Qi,CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.86308,0
-0.936373,0
0.882639,0
0.941319,0
0.999999,0
1,0
0.921759,0
0.002433,0
0.941321,0
0.96088,0
0.647921,0
-0.525676,0
0.882639,0
0.863091,0
0.921759,0
0.843536,0
0.843536,0
0.823993,0
0.902202,0
0.882639,0
0.92176,0
0.843548,0
0.941319,0
0.863081,0
0.902206,0
0.86308,0
0.804398,0
0.960879,0
0.921759,0
0.92176,0
0.92176,0
0.980439,0
0.9022,0
0.941322,0
0.941323,0
0.84352,0
0.823958,0
0.647968,0
0.92176,0
0.980439,0
0.84352,0
0.980439,0
0.902199,0
0.863088,0
0.843519,0
0.902199,0
0.530622,0
0.784848,0
0.687038,0
0.804434,0
0.94132,0
0.706597,0
0.960879,0
0.960879,0
0.921759,0
0.863079,0
0.921759,0
0.902199,0
0.941319,0
0.823965,0
0.941408,0
0.98044,0
0.98044,0
0.960886,0
0.94136,0
0.980447,0
0.823964,1
0.843523,1
0.56975,1
0.530564,1
0.863079,1
-1,1
0.628387,1
0.843519,1
0.823967,1
0.882639,1
0.863086,1
0.804424,1
0.843518,1
0.667525,1
0.823984,1
0.765293,1
0.765292,1
0.647951,1
0.511013,1
0.726163,1
0.882641,1
0.843531,1
0.863114,1
0.882653,1
0.882641,1
0.882645,1
0.667552,1
0.628394,1
0.589309,1
0.941319,1
0.88264,1
0.823968,1
0.784856,1
0.84352,1
0.843539,1
0.687102,1
0.92176,1
0.902229,1
0.804416,1
0.765289,1
0.863082,1
0.765317,1
0.84352,1
0.784844,1
0.980439,1
0.86312,1
0.706641,1
0.550134,1
0.824011,1
0.765278,1
0.471896,1
0.804424,1
0.804438,1
0.980447,1
0.941319,1
0.921759,1
0.823966,1
0.980439,1
0.882725,1
0.941369,1
