@relation 'Ant13-weka.filters.unsupervised.attribute.Remove-R1-3,5-20,31-32-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-9'

@attribute 'd(WMC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.830729,0
-0.064109,0
0.866881,0
0.935352,0
1,0
0.981045,0
0.827267,0
0.339741,0
0.962456,0
0.944729,0
0.607907,0
-0.059799,0
0.908428,0
0.953302,0
0.940845,0
0.958194,0
0.967599,0
0.967599,0
0.962456,0
0.926419,0
0.944244,0
0.843492,0
0.962456,0
0.935282,0
0.895036,0
0.930542,0
0.818988,0
0.971704,0
0.944244,0
0.962456,0
0.944244,0
0.962456,0
0.981045,0
0.877892,0
0.926419,0
0.839834,0
0.910898,0
0.725698,0
0.953302,0
0.967599,0
0.912589,0
0.971704,0
0.958194,0
0.917655,0
0.848602,0
0.931309,0
0.634588,0
0.858489,0
0.766676,0
0.876097,0
0.916882,0
0.774211,0
0.948882,0
0.948882,0
0.921867,0
0.953302,0
0.953302,0
0.908428,0
0.958194,0
0.878107,0
0.763546,0
0.939664,0
0.939664,0
0.791519,0
0.85297,0
0.912589,0
0.751277,1
0.818766,1
0.517539,1
0.599252,1
0.875379,1
-1,1
0.667075,1
0.848602,1
0.895036,1
0.926419,1
0.883624,1
0.875379,1
0.958194,1
0.853407,1
0.967599,1
0.836902,1
0.891976,1
0.763546,1
0.675863,1
0.872431,1
0.857691,1
0.953302,1
0.926419,1
0.875379,1
0.926419,1
0.930542,1
0.813424,1
0.583587,1
0.52992,1
0.971704,1
0.962456,1
0.917655,1
0.748582,1
0.816913,1
0.806798,1
0.798725,1
0.926419,1
0.875379,1
0.791444,1
0.926419,1
0.885054,1
0.917655,1
0.962456,1
0.935282,1
0.958194,1
0.869478,1
0.784057,1
0.525333,1
0.806127,1
0.805828,1
0.50908,1
0.779671,1
0.903266,1
0.939664,1
0.926069,1
0.953302,1
0.908993,1
0.986683,1
0.692187,1
0.844881,1
