@relation 'Ant13-weka.filters.unsupervised.attribute.Remove-R1-3,5-20,31-32-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-7,9-10'

@attribute 'd(LOC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.911511,0
0.858572,0
0.993428,0
0.996278,0
1,0
0.959045,0
0.988006,0
0.935596,0
0.946303,0
0.908905,0
0.750878,0
0.884209,0
0.925204,0
0.930832,0
0.998058,0
0.879826,0
0.911678,0
0.814306,0
0.920821,0
0.758847,0
0.87623,0
0.473222,0
0.86167,0
0.86622,0
0.672367,0
0.831596,0
0.995058,0
0.973606,0
0.86076,0
0.804342,0
0.85712,0
0.938113,0
0.83983,0
0.866176,0
0.753388,0
0.915981,0
0.987018,0
0.850249,0
0.90262,0
0.964464,0
0.857076,0
0.947213,0
0.917138,0
0.85166,0
0.910601,0
0.9571,0
0.678064,0
0.740511,0
0.949395,0
0.899762,0
0.938029,0
0.996699,0
0.981756,0
0.985397,0
0.978034,0
0.931742,0
0.940843,0
0.996198,0
0.960823,0
0.747611,0
0.520458,0
0.926239,0
0.912588,0
0.438555,0
0.602319,0
0.750612,0
0.350979,1
0.765944,1
-0.280295,1
0.251142,1
-0.138863,1
-1,1
0.542602,1
0.896039,1
0.59959,1
0.415028,1
0.751568,1
0.84711,1
0.886196,1
0.323876,1
0.890747,1
0.415879,1
0.717904,1
0.630324,1
0.484519,1
0.640477,1
0.845983,1
0.762487,1
0.430485,1
0.632389,1
0.641485,1
0.850705,1
0.600551,1
0.499224,1
-0.366584,1
0.923552,1
0.704257,1
0.84711,1
0.401274,1
0.915111,1
0.424915,1
0.385875,1
0.785234,1
0.720634,1
0.059692,1
0.469585,1
0.726862,1
0.65877,1
0.779774,1
0.828,1
0.997229,1
0.463164,1
-0.07287,1
0.591355,1
0.747882,1
0.945865,1
0.368491,1
0.580287,1
0.819677,1
0.677826,1
0.875233,1
0.86895,1
0.652402,1
0.978116,1
0.32024,1
0.450433,1
