@relation 'Ant13-weka.filters.unsupervised.attribute.Remove-R1-3,5-20,31-32-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P10.0-S1-weka.filters.unsupervised.instance.Randomize-S42'

@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.634046,0.956449,0.884006,0.849134,0.882641,0.641249,0.638348,0.641485,0.727238,0.926419,1
0.909567,0.912913,0.809748,0.809877,0.86308,0.911434,0.910951,0.911511,0.664944,0.830729,0
0.591738,0.840392,0.644223,0.582411,0.667552,0.599793,0.596993,0.600551,0.268744,0.813424,1
0.824385,0.970962,0.908818,0.79171,0.784844,0.827544,0.826465,0.828,0.727692,0.935282,1
0.510737,0.971008,0.771387,0.746635,0.941408,0.520438,0.516321,0.520458,0.232413,0.763546,0
0.828161,0.985471,0.933658,0.853483,0.86308,0.831354,0.830164,0.831596,0.784475,0.930542,0
0.924662,0.970959,0.924909,0.942299,0.98044,0.92625,0.925661,0.926239,0.859491,0.939664,0
0.997156,0.985471,0.9581,0.777962,0.706597,0.996675,0.997247,0.996699,0.915588,0.774211,0
0.883806,0.970959,0.941399,0.867769,0.843518,0.885911,0.885225,0.886196,0.864366,0.958194,1
0.473402,0.738781,0.529945,0.481214,0.511013,0.483881,0.480434,0.484519,0.300677,0.675863,1
0.712067,0.970966,0.870384,0.733858,0.765292,0.717393,0.715406,0.717904,0.577956,0.891976,1
0.683442,0.971118,0.949211,0.905396,0.906356,0.68308,0.698757,0.690545,0.851119,0.95425,1
0.237156,0.941939,0.821369,0.557421,0.530564,0.251037,0.245468,0.251142,0.499364,0.599252,1
0.843696,0.927438,0.804209,0.743853,0.804424,0.846696,0.845743,0.84711,0.53002,0.875379,1
0.745898,0.854868,0.68218,0.593036,0.647921,0.750811,0.749407,0.750878,0.422854,0.607907,0
0.907019,0.97096,0.941399,0.946571,0.96088,0.908918,0.908223,0.908905,0.915588,0.944729,0
0.863441,0.985472,0.88751,0.856239,0.941322,0.866107,0.865071,0.866176,0.645604,0.877892,0
0.334798,0.911064,0.685855,0.701234,0.879486,0.32454,0.333033,0.349358,0.319385,0.730851,1
0.945151,0.985472,0.949853,0.924385,0.941321,0.946183,0.945827,0.946303,0.862883,0.962456,0
0.810587,1,0.98312,0.864208,0.823993,0.813978,0.812713,0.814306,0.887521,0.967599,0
0.935629,0.927424,0.874659,0.343307,0.002433,0.935519,0.936674,0.935596,0.859491,0.339741,0
0.944632,0.854866,0.791414,0.797193,0.765278,0.945816,0.945843,0.945865,0.850772,0.805828,1
0.935735,0.70975,0.617977,0.906773,0.94132,0.937993,0.937583,0.938029,0.822659,0.916882,0
0.846713,0.753311,0.616106,0.654194,0.647968,0.850017,0.849438,0.850249,0.613066,0.725698,0
0.746343,0.956451,0.845859,0.793136,0.863086,0.751283,0.749392,0.751568,0.577464,0.883624,1
0.74548,0.970963,0.900924,0.916666,0.980447,0.750655,0.748533,0.750612,0.775643,0.912589,0
0.631601,0.954831,0.904212,0.791496,0.823967,0.607894,0.64066,0.618734,0.651101,0.900183,1
0.879924,-0.49471,-0.72607,-0.077578,-0.525676,0.884062,0.885238,0.884209,0.422854,-0.059799,0
0.908639,0.912913,0.825402,0.813616,0.843519,0.910482,0.910033,0.910601,0.721328,0.848602,0
0.780883,0.999983,0.934827,0.87603,0.92176,0.785084,0.783372,0.785234,0.741708,0.926419,1
0.95995,0.970959,0.941399,0.93333,0.941319,0.960743,0.960519,0.960823,0.899001,0.958194,0
0.843881,0.970964,0.893133,0.800248,0.823968,0.846738,0.845748,0.84711,0.679899,0.917655,1
0.591294,0.94194,0.85144,0.791496,0.823967,0.599257,0.596116,0.59959,0.65695,0.895036,1
0.909926,0.999991,0.98312,0.87712,0.843536,0.911392,0.910923,0.911678,0.893165,0.967599,0
-1,-0.305981,-1,-1,-1,-1,-1,-1,-0.764846,-1,1
0.888571,0.999995,0.98312,0.864208,0.823984,0.89042,0.889808,0.890747,0.887521,0.967599,1
0.571883,0.956461,0.817265,0.719276,0.804424,0.580105,0.576857,0.580287,0.471024,0.779671,1
0.533486,0.883904,0.730877,0.596482,0.628387,0.542381,0.53922,0.542602,0.463401,0.667075,1
0.842891,0.956449,0.884006,0.849134,0.882641,0.845957,0.844889,0.845983,0.766547,0.857691,1
0.403181,0.970959,0.900924,0.849134,0.882639,0.414794,0.409823,0.415028,0.727238,0.926419,1
0.624837,0.970967,0.855745,0.798686,0.882653,0.632152,0.62917,0.632389,0.55615,0.875379,1
0.462207,0.912928,0.758368,0.739156,0.843548,0.47288,0.468544,0.473222,0.42771,0.843492,0
0.306631,0.941982,0.71359,0.677439,0.882725,0.32025,0.314418,0.32024,0.125305,0.692187,1
0.987811,0.970959,0.863011,0.834354,0.921759,0.988002,0.988069,0.988006,0.636809,0.827267,0
0.337565,0.840357,0.679275,0.73312,0.823964,0.35098,0.345621,0.350979,0.506311,0.751277,1
0.633049,0.941938,0.843763,0.716002,0.726163,0.639963,0.637393,0.640477,0.60702,0.872431,1
0.373438,0.956479,0.784019,0.596322,0.687102,0.38515,0.380394,0.385875,0.271432,0.798725,1
0.936794,0.985471,0.949853,0.95103,0.980439,0.938079,0.937583,0.938113,0.878921,0.962456,0
0.915376,0.970959,0.941399,0.906974,0.902199,0.916978,0.916443,0.917138,0.877028,0.958194,0
0.996227,0.985471,0.949853,0.924385,0.941319,0.996233,0.99632,0.996278,0.878921,0.935352,0
0.858675,0.956448,0.91638,0.924385,0.941319,0.861558,0.860473,0.86167,0.862883,0.962456,0
0.427204,0.956452,0.790442,0.801739,0.960886,0.438663,0.433747,0.438555,0.417713,0.791519,0
0.040991,0.941945,0.760138,0.673167,0.804416,0.059229,0.05094,0.059692,0.271133,0.791444,1
0.413297,0.956458,0.803629,0.731424,0.843539,0.424684,0.419902,0.424915,0.399177,0.806798,1
0.913224,0.898402,0.792774,0.79634,0.84352,0.915032,0.91463,0.915111,0.673605,0.816913,1
0.995298,0.985471,0.941706,0.823174,0.804398,0.995042,0.995411,0.995058,0.859491,0.818988,0
0.5367,0.898401,0.644223,0.502227,0.667512,0.562433,0.587783,0.550664,-0.016468,0.682137,1
0.439336,0.970986,0.841538,0.824575,0.941369,0.450424,0.445655,0.450433,0.534066,0.844881,1
0.671437,0.811362,0.652433,0.53893,0.530622,0.677763,0.675963,0.678064,0.484865,0.634588,0
0.622567,0.883906,0.71679,0.593036,0.647951,0.629777,0.627293,0.630324,0.370118,0.763546,1
0.939579,0.985471,0.941706,0.90221,0.921759,0.94068,0.940312,0.940843,0.826977,0.953302,0
0.981427,0.999982,0.966626,0.937687,0.960879,0.981715,0.981636,0.981756,0.878921,0.948882,0
-0.093959,0.927446,0.748973,0.610271,0.706641,-0.073693,-0.083079,-0.07287,0.283023,0.784057,1
0.41894,0.970978,0.900924,0.835747,0.863114,0.430195,0.425416,0.430485,0.720645,0.926419,1
0.977537,0.956448,0.91638,0.911124,0.921759,0.977991,0.977965,0.978034,0.878921,0.921867,0
0.76113,0.941939,0.821369,0.771193,0.843523,0.765796,0.764099,0.765944,0.572036,0.818766,1
0.722476,0.948892,0.854088,0.804697,0.863086,0.745662,0.724836,0.737084,0.735502,0.884003,1
0.310252,0.927447,0.83447,0.685647,0.667525,0.323255,0.317995,0.323876,0.632038,0.853407,1
0.775183,0.97096,0.933104,0.858509,0.84352,0.779444,0.777837,0.779774,0.829778,0.962456,1
0.83658,0.999983,0.98312,0.916133,0.9022,0.839631,0.838431,0.83983,0.905652,0.981045,0
0.919211,0.999984,0.966626,0.897905,0.902202,0.920618,0.920114,0.920821,0.848427,0.962456,0
0.853594,-1,-0.832079,-0.086488,-0.936373,0.85842,0.859573,0.858572,0.599251,-0.064109,0
0.714784,0.956464,0.838547,0.812488,0.902229,0.720442,0.718202,0.720634,0.563863,0.875379,1
0.698213,0.985472,0.949853,0.884729,0.88264,0.704019,0.701675,0.704257,0.841802,0.962456,1
0.458806,0.970965,0.900924,0.76946,0.765289,0.469032,0.464848,0.469585,0.694273,0.926419,1
0.721216,0.941937,0.867109,0.835747,0.863082,0.726717,0.724635,0.726862,0.741708,0.885054,1
0.914038,0.869378,0.791219,0.831287,0.84352,0.915942,0.915557,0.915981,0.794584,0.839834,0
0.815966,0.956468,0.89999,0.813968,0.804438,0.819396,0.81822,0.819677,0.772098,0.903266,1
-0.391346,0.95648,0.62572,0.314456,0.589309,-0.367899,-0.380478,-0.366584,-1,0.52992,1
0.866226,0.985471,0.941706,0.90221,0.921759,0.868793,0.867808,0.86895,0.826977,0.953302,1
0.94608,0.985471,0.9581,0.959853,0.980439,0.947179,0.946761,0.947213,0.907104,0.971704,0
0.800248,0.97096,0.933104,0.911124,0.92176,0.804191,0.802646,0.804342,0.855455,0.962456,0
0.651677,0.956467,0.876167,0.760409,0.765317,0.65825,0.655749,0.65877,0.665179,0.917655,1
0.929425,0.999989,0.958527,0.862493,0.863091,0.930544,0.930197,0.930832,0.80682,0.953302,0
-0.160736,0.985471,0.872962,0.784921,0.863079,-0.139217,-0.150012,-0.138863,0.548904,0.875379,1
0.972951,0.970959,0.941399,0.946571,0.960879,0.973525,0.973368,0.973606,0.899001,0.971704,0
0.742372,0.898429,0.720585,0.702169,0.824011,0.747553,0.745715,0.747882,0.342211,0.806127,1
0.757482,0.956454,0.908135,0.849341,0.843531,0.762156,0.760399,0.762487,0.80093,0.953302,1
0.389114,0.941945,0.735909,0.630382,0.784856,0.400877,0.396032,0.401274,0.164218,0.748582,1
0.985141,0.999982,0.966626,0.937687,0.960879,0.985355,0.985307,0.985397,0.878921,0.948882,0
0.645391,0.999986,0.919535,0.791496,0.823966,0.652021,0.649341,0.652402,0.651049,0.908993,1
0.930293,0.985471,0.941706,0.862493,0.863079,0.931455,0.931114,0.931742,0.80682,0.953302,0
0.665528,0.94194,0.85144,0.845468,0.902206,0.672227,0.66956,0.672367,0.677337,0.895036,0
0.847533,0.956451,0.89999,0.866743,0.882645,0.850507,0.849445,0.850705,0.791293,0.930542,1
0.489179,0.927442,0.644223,0.420705,0.628394,0.498709,0.49513,0.499224,-0.292092,0.583587,1
0.923556,0.927424,0.883003,0.884729,0.882639,0.925126,0.924726,0.925204,0.870707,0.908428,0
0.956177,0.956448,0.924724,0.906974,0.902199,0.957019,0.956848,0.9571,0.899001,0.931309,0
0.742246,0.869381,0.82521,0.854793,0.823965,0.747553,0.745761,0.747611,0.899001,0.878107,0
