@relation 'Ant13-weka.filters.unsupervised.attribute.Remove-R1-3,5-20,31-32-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P10.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-5,7-10'

@attribute 'd(LOC, CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.641249,1
0.911434,0
0.599793,1
0.827544,1
0.520438,0
0.831354,0
0.92625,0
0.996675,0
0.885911,1
0.483881,1
0.717393,1
0.68308,1
0.251037,1
0.846696,1
0.750811,0
0.908918,0
0.866107,0
0.32454,1
0.946183,0
0.813978,0
0.935519,0
0.945816,1
0.937993,0
0.850017,0
0.751283,1
0.750655,0
0.607894,1
0.884062,0
0.910482,0
0.785084,1
0.960743,0
0.846738,1
0.599257,1
0.911392,0
-1,1
0.89042,1
0.580105,1
0.542381,1
0.845957,1
0.414794,1
0.632152,1
0.47288,0
0.32025,1
0.988002,0
0.35098,1
0.639963,1
0.38515,1
0.938079,0
0.916978,0
0.996233,0
0.861558,0
0.438663,0
0.059229,1
0.424684,1
0.915032,1
0.995042,0
0.562433,1
0.450424,1
0.677763,0
0.629777,1
0.94068,0
0.981715,0
-0.073693,1
0.430195,1
0.977991,0
0.765796,1
0.745662,1
0.323255,1
0.779444,1
0.839631,0
0.920618,0
0.85842,0
0.720442,1
0.704019,1
0.469032,1
0.726717,1
0.915942,0
0.819396,1
-0.367899,1
0.868793,1
0.947179,0
0.804191,0
0.65825,1
0.930544,0
-0.139217,1
0.973525,0
0.747553,1
0.762156,1
0.400877,1
0.985355,0
0.652021,1
0.931455,0
0.672227,0
0.850507,1
0.498709,1
0.925126,0
0.957019,0
0.747553,0
-0.280171,1
0.856964,0
0.415373,1
0.860604,0
0.368236,1
0.758607,0
0.997227,1
0.753288,0
0.996151,0
0.978118,1
0.462931,1
0.677883,1
0.895921,1
0.875206,1
0.602288,0
0.899479,0
0.879541,0
0.876072,0
0.923433,1
0.99338,0
0.998012,0
0.98689,0
0.85679,0
0.902461,0
0.959052,0
0.865933,0
0.851373,0
0.591345,1
1,0
0.964468,0
0.740185,0
0.949305,0
0.621254,1
0.912601,0
