@relation 'Ant13-weka.filters.unsupervised.attribute.Remove-R1-3,5-20,31-32-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P10.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R2,4-5,8,10'

@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.634046,0.884006,0.641249,0.638348,0.727238,1
0.909567,0.809748,0.911434,0.910951,0.664944,0
0.591738,0.644223,0.599793,0.596993,0.268744,1
0.824385,0.908818,0.827544,0.826465,0.727692,1
0.510737,0.771387,0.520438,0.516321,0.232413,0
0.828161,0.933658,0.831354,0.830164,0.784475,0
0.924662,0.924909,0.92625,0.925661,0.859491,0
0.997156,0.9581,0.996675,0.997247,0.915588,0
0.883806,0.941399,0.885911,0.885225,0.864366,1
0.473402,0.529945,0.483881,0.480434,0.300677,1
0.712067,0.870384,0.717393,0.715406,0.577956,1
0.683442,0.949211,0.68308,0.698757,0.851119,1
0.237156,0.821369,0.251037,0.245468,0.499364,1
0.843696,0.804209,0.846696,0.845743,0.53002,1
0.745898,0.68218,0.750811,0.749407,0.422854,0
0.907019,0.941399,0.908918,0.908223,0.915588,0
0.863441,0.88751,0.866107,0.865071,0.645604,0
0.334798,0.685855,0.32454,0.333033,0.319385,1
0.945151,0.949853,0.946183,0.945827,0.862883,0
0.810587,0.98312,0.813978,0.812713,0.887521,0
0.935629,0.874659,0.935519,0.936674,0.859491,0
0.944632,0.791414,0.945816,0.945843,0.850772,1
0.935735,0.617977,0.937993,0.937583,0.822659,0
0.846713,0.616106,0.850017,0.849438,0.613066,0
0.746343,0.845859,0.751283,0.749392,0.577464,1
0.74548,0.900924,0.750655,0.748533,0.775643,0
0.631601,0.904212,0.607894,0.64066,0.651101,1
0.879924,-0.72607,0.884062,0.885238,0.422854,0
0.908639,0.825402,0.910482,0.910033,0.721328,0
0.780883,0.934827,0.785084,0.783372,0.741708,1
0.95995,0.941399,0.960743,0.960519,0.899001,0
0.843881,0.893133,0.846738,0.845748,0.679899,1
0.591294,0.85144,0.599257,0.596116,0.65695,1
0.909926,0.98312,0.911392,0.910923,0.893165,0
-1,-1,-1,-1,-0.764846,1
0.888571,0.98312,0.89042,0.889808,0.887521,1
0.571883,0.817265,0.580105,0.576857,0.471024,1
0.533486,0.730877,0.542381,0.53922,0.463401,1
0.842891,0.884006,0.845957,0.844889,0.766547,1
0.403181,0.900924,0.414794,0.409823,0.727238,1
0.624837,0.855745,0.632152,0.62917,0.55615,1
0.462207,0.758368,0.47288,0.468544,0.42771,0
0.306631,0.71359,0.32025,0.314418,0.125305,1
0.987811,0.863011,0.988002,0.988069,0.636809,0
0.337565,0.679275,0.35098,0.345621,0.506311,1
