@relation 'Ant13-weka.filters.unsupervised.attribute.Remove-R1-3,5-20,31-32-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P10.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-8,10'

@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.727238,1
0.664944,0
0.268744,1
0.727692,1
0.232413,0
0.784475,0
0.859491,0
0.915588,0
0.864366,1
0.300677,1
0.577956,1
0.851119,1
0.499364,1
0.53002,1
0.422854,0
0.915588,0
0.645604,0
0.319385,1
0.862883,0
0.887521,0
0.859491,0
0.850772,1
0.822659,0
0.613066,0
0.577464,1
0.775643,0
0.651101,1
0.422854,0
0.721328,0
0.741708,1
0.899001,0
0.679899,1
0.65695,1
0.893165,0
-0.764846,1
0.887521,1
0.471024,1
0.463401,1
0.766547,1
0.727238,1
0.55615,1
0.42771,0
0.125305,1
0.636809,0
0.506311,1
0.60702,1
0.271432,1
0.878921,0
0.877028,0
0.878921,0
0.862883,0
0.417713,0
0.271133,1
0.399177,1
0.673605,1
0.859491,0
-0.016468,1
0.534066,1
0.484865,0
0.370118,1
0.826977,0
0.878921,0
0.283023,1
0.720645,1
0.878921,0
0.572036,1
0.735502,1
0.632038,1
0.829778,1
0.905652,0
0.848427,0
0.599251,0
0.563863,1
0.841802,1
0.694273,1
0.741708,1
0.794584,0
0.772098,1
-1,1
0.826977,1
0.907104,0
0.855455,0
0.665179,1
0.80682,0
0.548904,1
0.899001,0
0.342211,1
0.80093,1
0.164218,1
0.878921,0
0.651049,1
0.80682,0
0.677337,0
0.791293,1
-0.292092,1
0.870707,0
0.899001,0
0.899001,0
0.341072,1
0.798525,0
0.437911,1
0.798525,0
0.257037,1
0.727238,0
0.915588,1
0.749575,0
0.878921,0
1,1
0.577464,1
0.859491,1
0.721328,1
0.850772,1
0.561876,0
0.691962,0
0.864366,0
0.798525,0
0.891285,1
0.794584,0
0.927326,0
0.94817,0
0.720645,0
0.826977,0
0.943691,0
0.74935,0
0.691962,0
0.441119,1
1,0
0.943691,0
0.628211,0
0.842444,0
0.637252,1
0.859491,0
