"Class Name","HasTC","#Bugs","#Blocker","#Critical","#Major","#Normal","#Minor","#Trivial","WMC","CBO","RFC","Ca","Ce","LOC","Qi","Si","FANIN","d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)","Risk1","TLOC"
"org.apache.tools.ant.AntClassLoader","0","4","0","0","1","3","0","0","17","9","64","7","2","713","0.770333270029058","0.331622672070807","11","127","127.609","158003.1645252715","154012.9864654276","122634.1118546796","122000.2161752464","1480000.017819867","19001.3880231644","1482982.130708256","95900.99061010788","13",""
"org.apache.tools.ant.BuildEvent","0","0","0","0","0","0","0","0","11","7","15","5","3","97","0.881918528631835","4.99381473880203","6","132","132.23","163217.6461048253","196104.5639448506","171177.471744228","171000.0407696849","2096000.003326153","18000.38730788536","2098197.321511969","97672.92357659823","0",""
"org.apache.tools.ant.BuildException","0","0","0","0","0","0","0","0","14","99","28","98","1","153","0.819040353572954","10.6160226712381","138","0.181","2.171","4000","158050.6248010428","158014.9082191114","158000.103627794","2040000.008026077","20000.81864308647","2040003.921564858","20396.07805437114","0",""
"org.apache.tools.ant.BuildListener","0","0","0","0","0","0","0","0","7","6","7","5","1","7","1","0","0","138","138.591","168680.1707374047","203592.7307150233","179456.1117410638","179000","2186000","20000","2188151.045974661","99040.39579888602","0",""
"org.apache.tools.ant.BuildLogger","0","0","0","0","0","0","0","0","4","3","4","2","1","4","1","0","1","137","137.595","169614.2682677374","207663.1888419322","182448.6120561655","182000","2189000","20000","2191282.957538802","101980.3902718557","0",""
"org.apache.tools.ant.Constants","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","138","138.591","172200.4645754477","212614.6749403719","186438.9874495707","186000","2193000","21000","2195417.500158","105118.9802081432","0",""
"org.apache.tools.ant.DefaultLogger","0","2","0","0","0","2","0","0","14","8","32","4","4","257","0.776190958461638","0.336734693881226","4","134","134.577","164258.9419179364","180944.7429465692","154502.4209413123","154000.1626313657","1936000.012936593","17001.47318578817","1938329.435364381","96509.06693155829","6",""
"org.apache.tools.ant.DesirableFilter","0","0","0","0","0","0","0","0","2","0","6","0","0","45","0.916666666666666","0.0816326530621154","0","138","138.584","172200.4645754477","207386.1133248801","180447.8182299803","180000.0192901224","2148000.001616491","21000.16534326443","2150468.088579786","105118.9802081432","0",""
"org.apache.tools.ant.DirectoryScanner","0","2","1","0","0","1","0","0","23","22","51","20","2","1407","0.21806263504673","2.47959864574477","24","114.003","114.465","139846.34424968","157435.7011608231","135392.8853063182","135002.2645219061","786000.3889477681","19016.08335180276","790162.6414859159","83198.55767980596","9",""
"org.apache.tools.ant.FileScanner","0","0","0","0","0","0","0","0","13","4","13","4","0","13","1","0","2","136","136.6","168217.1216018156","199323.8570768688","173471.8883312832","173000","2180000","21000","2182246.777979063","101202.766760598","0",""
