@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,32-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute Si numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute 'd(WMC, RFC)' numeric
@attribute #Hbugs numeric

@data
11,7,15,5,3,97,0.881919,4.993815,6,2100.152375,132.000053,144.996552,113.207774,96.000073,2098.197322,2096.077289,2098.106766,62.641839,111.516815,196.65858,195.133288,2096.057849,2105.063657,98.265051,2096.858603,98.528863,416048.0116,4393387,3771,0
14,99,28,98,1,153,0.81904,10.616023,138,2040,0.18096,57,57.140179,4.004091,2040.003922,2040.098037,2040.000245,60.406953,57.008771,221.49798,158.003164,2040.680667,2046.109723,161.825065,2040.796168,162.156365,647677.0207,4161758,3407,0
7,6,7,5,1,7,1,0,0,2190.35157,138,152.118375,116.211015,97,2188.151046,2186.091489,2188.02011,67.052218,113.718952,179.145284,202.180612,2186.016624,2195.329816,11.036682,2186.93667,11.166903,30660.00203,4778775,4275,0
4,3,4,2,1,4,1,0,1,2193.282927,137,152.505738,120.370262,100,2191.282958,2189.091364,2191.148101,69.921384,117.889779,182.045847,206.235302,2189.004565,2198.693703,6.005021,2190.025114,6.082228,17532.00105,4791903,4671,0
0,0,0,0,0,0,1,0,0,2197.337707,138,155.193428,125.09996,103,2195.4175,2193.100545,2195.233473,74.040529,121.827747,186,210.705956,2193,2203.099181,0,2194.149038,0,0,4809435,5227,0
2,0,6,0,0,45,0.916667,0.081633,0,2152.428396,138.000025,154.28869,123.975804,103.000034,2150.468089,2148.102651,2150.280214,72.124892,120.673112,185.528422,205.42882,2148.006482,2157.800964,45.306276,2149.107954,45.349171,195351.0052,4614084,4941,0
13,4,13,4,0,13,1,0,2,2184.238082,136,147.851277,114.738834,99,2182.246778,2180.101144,2182.068972,61.684682,111.305885,173.500156,197.367677,2180.040805,2188.91617,18.625093,2180.771423,18.89101,56862.00309,4752573,3537,0
5,51,10,51,0,69,0.948673,0.190306,5,2128.160003,133.00001,148.475587,84.023806,52.000025,2124.636439,2124.103811,2124.542304,69.260378,81.608823,189.666131,182.428068,2124.188231,2131.81988,74.56667,2125.025176,74.684317,297883.0097,4511552,4532,0
4,3,16,0,3,59,0.873711,0.010204,1,2138.393088,137.000058,152.505738,120.370262,100.00008,2136.341733,2134.075912,2136.295158,69.375788,119.540788,179.926999,196.725697,2134.045793,2143.04853,60.657686,2135.051522,60.72861,255309.0072,4554126,4659,0
3,2,15,2,0,100,0.88822,0.757481,2,2097.413884,136.000046,152.052623,121.757957,101.000062,2095.435516,2093.105349,2095.246525,71.168813,118.460964,198.086824,196.596033,2093.04756,2102.212882,100.985787,2094.104343,101.0348,428615.0119,4380820,4795,0
19,18,47,16,5,273,0.819222,0.537851,10,1924.261936,128.000128,138.159328,99.644368,85.000192,1921.880589,1920.066666,1921.793173,54.405882,97.943861,306.741907,161.895028,1920.620344,1926.813432,277.36259,1920.704038,277.767304,1122896.034,3686539,2843,0
