@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,32-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute Si numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute 'd(WMC, RFC)' numeric
@attribute #Hbugs_binarized {0,1}

@data
-0.690141,-0.864078,-0.83871,-0.89899,-0.714286,-0.911537,0.752526,-0.218896,-0.913043,0.909567,0.912913,0.809748,0.809877,0.86308,0.911434,0.910951,0.911511,0.664944,0.830729,-0.977091,0.852186,0.902192,0.911002,-0.91023,0.911318,-0.910601,-0.826987,0.826987,0.442893,0
-0.605634,0.92233,-0.698925,0.979798,-0.904762,-0.860465,0.620745,0.660498,1,0.853594,-1,-0.832079,-0.086488,-0.936373,0.85842,0.859573,0.858572,0.599251,-0.064109,-0.952518,0.49975,0.84632,0.857483,-0.852165,0.860217,-0.852869,-0.730664,0.730664,0.303616,0
-0.802817,-0.883495,-0.924731,-0.89899,-0.904762,-0.993616,1,-1,-1,0.993499,0.999982,0.942626,0.857891,0.882639,0.99338,0.993567,0.993428,0.794584,0.866881,-0.994416,0.919078,0.992954,0.992947,-0.989917,0.993426,-0.989868,-0.98725,0.98725,0.635738,0
-0.887324,-0.941748,-0.956989,-0.959596,-0.904762,-0.996352,1,-1,-0.985507,0.996227,0.985471,0.949853,0.924385,0.941319,0.996233,0.99632,0.996278,0.878921,0.935352,-0.991546,0.957565,0.995969,0.996001,-0.994514,0.996241,-0.994481,-0.992709,0.992709,0.787258,0
-1,-1,-1,-1,-1,-1,1,-1,-1,1,0.999982,1,1,0.999999,1,1,1,1,1,-0.987635,1,1,1,-1,1,-1,-1,1,1,0
-0.943662,-1,-0.935484,-1,-1,-0.95896,0.825351,-0.987231,-1,0.958211,0.999983,0.98312,0.982028,1,0.959052,0.9587,0.959045,0.943691,0.981045,-0.988101,0.94991,0.954605,0.958878,-0.95861,0.958944,-0.958853,-0.918763,0.918763,0.890568,0
-0.633803,-0.92233,-0.860215,-0.919192,-1,-0.988144,1,-1,-0.971014,0.987811,0.970959,0.863011,0.834354,0.921759,0.988002,0.988069,0.988006,0.636809,0.827267,-1,0.873394,0.986925,0.987124,-0.982985,0.987806,-0.982859,-0.976354,0.976354,0.353358,0
-0.859155,-0.009709,-0.892473,0.030303,-1,-0.937073,0.892429,-0.970233,-0.927536,0.935629,0.927424,0.874659,0.343307,0.002433,0.935519,0.936674,0.935596,0.859491,0.339741,-0.984008,0.731589,0.930574,0.935292,-0.93188,0.936993,-0.932236,-0.876126,0.876126,0.734073,0
-0.887324,-0.941748,-0.827957,-1,-0.714286,-0.946192,0.735324,-0.998404,-0.985507,0.945151,0.985472,0.949853,0.924385,0.941321,0.946183,0.945827,0.946303,0.862883,0.962456,-0.993642,0.867301,0.940519,0.945485,-0.944586,0.946132,-0.944898,-0.89383,0.89383,0.782667,0
-0.915493,-0.961165,-0.83871,-0.959596,-1,-0.908801,0.765732,-0.881519,-0.971014,0.907019,0.97096,0.941399,0.946571,0.96088,0.908918,0.908223,0.908905,0.915588,0.944729,-0.975678,0.86607,0.899155,0.908414,-0.907745,0.908808,-0.908327,-0.821761,0.821761,0.834704,0
