@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,32-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-15,17-29'

@attribute 'd(LOC, Ce)' numeric
@attribute #Hbugs_binarized {0,1}

@data
0.910951,0
0.859573,0
0.993567,0
0.99632,0
1,0
0.9587,0
0.988069,0
0.936674,0
0.945827,0
0.908223,0
0.749407,0
0.885238,0
0.924726,0
0.930197,0
0.998148,0
0.8788,0
0.910923,0
0.812713,0
0.920114,0
0.756742,0
0.87515,0
0.468544,0
0.860473,0
0.865034,0
0.66956,0
0.830164,0
0.995411,0
0.973368,0
0.859548,0
0.802646,0
0.855877,0
0.937583,0
0.838431,0
0.865071,0
0.751259,0
0.915557,0
0.987127,0
0.849438,0
0.901766,0
0.964207,0
0.855856,0
0.946761,0
0.916443,0
0.850349,0
0.910033,0
0.956848,0
0.675963,0
0.738373,0
0.949506,0
0.898992,0
0.937583,0
0.997247,0
0.981636,0
0.985307,0
0.977965,0
0.931114,0
0.940312,0
0.99632,0
0.960519,0
0.745761,0
0.516321,0
0.925661,0
0.911894,0
0.433747,0
0.598919,0
0.748533,0
-0.150012,1
0.749392,1
0.845743,1
0.885225,1
0.889808,1
0.715406,1
0.844889,1
0.62917,1
0.596993,1
0.845748,1
0.783372,1
0.718202,1
0.655749,1
0.826465,1
0.997247,1
0.745715,1
0.945843,1
0.81822,1
0.675113,1
0.874257,1
0.867808,1
0.977974,1
0.764099,1
0.245468,1
0.895349,1
0.596116,1
0.410703,1
0.627293,1
0.922882,1
0.701675,1
0.396032,1
0.464848,1
0.363917,1
0.576857,1
0.314418,1
0.445655,1
0.49513,1
-1,1
0.317995,1
0.480434,1
0.425416,1
0.638348,1
0.419902,1
0.724635,1
0.777837,1
0.588814,1
0.649341,1
-0.29124,1
0.409823,1
0.91463,1
0.345621,1
0.637393,1
0.849445,1
0.760399,1
-0.380478,1
0.380394,1
0.05094,1
0.458456,1
0.53922,1
-0.083079,1
