@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,32-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-9,11-29'

@attribute 'd(LOC,FANIN)' numeric
@attribute #Hbugs_binarized {0,1}

@data
0.909567,0
0.853594,0
0.993499,0
0.996227,0
1,0
0.958211,0
0.987811,0
0.935629,0
0.945151,0
0.907019,0
0.745898,0
0.879924,0
0.923556,0
0.929425,0
0.998084,0
0.877429,0
0.909926,0
0.810587,0
0.919211,0
0.753834,0
0.873592,0
0.462207,0
0.858675,0
0.863379,0
0.665528,0
0.828161,0
0.995298,0
0.972951,0
0.857746,0
0.800248,0
0.854032,0
0.936794,0
0.83658,0
0.863441,0
0.748199,0
0.914038,0
0.98627,0
0.846713,0
0.900519,0
0.963723,0
0.854032,0
0.94608,0
0.915376,0
0.848461,0
0.908639,0
0.956177,0
0.671437,0
0.735009,0
0.948573,0
0.897149,0
0.935735,0
0.997156,0
0.981427,0
0.985141,0
0.977537,0
0.930293,0
0.939579,0
0.996227,0
0.95995,0
0.742246,0
0.510737,0
0.924662,0
0.910794,0
0.427204,0
0.59422,0
0.74548,0
-0.160736,1
0.746343,1
0.843696,1
0.883806,1
0.888571,1
0.712067,1
0.842891,1
0.624837,1
0.591738,1
0.843881,1
0.780883,1
0.714784,1
0.651677,1
0.824385,1
0.997156,1
0.742372,1
0.944632,1
0.815966,1
0.671165,1
0.872602,1
0.866226,1
0.977712,1
0.76113,1
0.76113,1
0.237156,1
0.237156,1
0.893839,1
0.893839,1
0.591294,1
0.591294,1
0.403947,1
0.403947,1
0.622567,1
0.622567,1
0.921876,1
0.921876,1
0.698213,1
0.698213,1
0.389114,1
0.389114,1
0.458806,1
0.458806,1
0.35409,1
0.35409,1
0.571883,1
0.571883,1
0.306631,1
0.306631,1
0.439336,1
0.439336,1
0.489179,1
0.489179,1
0.489179,1
-1,1
-1,1
-1,1
0.310252,1
0.310252,1
0.310252,1
0.473402,1
0.473402,1
0.473402,1
0.41894,1
0.41894,1
0.41894,1
0.634046,1
0.634046,1
0.634046,1
0.413297,1
0.413297,1
0.413297,1
0.721216,1
0.721216,1
0.721216,1
0.775183,1
0.775183,1
0.775183,1
0.581917,1
0.581917,1
0.581917,1
0.645391,1
0.645391,1
0.645391,1
-0.305624,1
-0.305624,1
-0.305624,1
-0.305624,1
0.403181,1
0.403181,1
0.403181,1
0.403181,1
0.913224,1
0.913224,1
0.913224,1
0.913224,1
0.337565,1
0.337565,1
0.337565,1
0.337565,1
0.633049,1
0.633049,1
0.633049,1
0.633049,1
0.847533,1
0.847533,1
0.847533,1
0.847533,1
0.757482,1
0.757482,1
0.757482,1
0.757482,1
0.757482,1
-0.391346,1
-0.391346,1
-0.391346,1
-0.391346,1
-0.391346,1
0.373438,1
0.373438,1
0.373438,1
0.373438,1
0.373438,1
0.040991,1
0.040991,1
0.040991,1
0.040991,1
0.040991,1
0.452238,1
0.452238,1
0.452238,1
0.452238,1
0.452238,1
0.452238,1
0.533486,1
0.533486,1
0.533486,1
0.533486,1
0.533486,1
0.533486,1
0.533486,1
-0.093959,1
-0.093959,1
-0.093959,1
-0.093959,1
-0.093959,1
-0.093959,1
-0.093959,1
