@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,31,33-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-20,22-29'

@attribute 'd(RFC, Ca)' numeric
@attribute #Nbugs_binarized {0,1}

@data
0.852186,0
0.49975,0
0.919078,0
0.957565,0
1,0
0.94991,0
0.873394,0
0.731589,0
0.867301,0
0.86607,0
0.536692,0
0.563861,0
0.856777,0
0.834591,0
0.96993,0
0.84612,0
0.854325,0
0.805284,0
0.826445,0
0.71386,0
0.826445,0
0.604384,0
0.859105,0
0.818312,0
0.661191,0
0.78094,0
0.914495,0
0.94991,0
0.802087,0
0.737744,0
0.793994,0
0.908462,0
0.761764,0
0.82158,0
0.674372,0
0.843116,0
0.948454,0
0.637731,0
0.850921,0
0.945353,0
0.789041,0
0.925008,0
0.854325,0
0.729767,0
0.852186,0
0.911269,0
0.464001,0
0.682424,0
0.838123,0
0.820169,0
0.899187,0
0.911269,0
0.937022,0
0.953695,0
0.944728,0
0.859105,0
0.891962,0
0.948708,0
0.920392,0
0.760101,0
0.492765,0
0.920392,0
0.84612,0
0.703525,0
0.692781,0
0.879013,0
0.375769,0
0.71386,0
0.97041,0
0.86607,0
0.834591,0
0.362906,1
0.71386,1
0.650881,1
0.862542,1
0.837927,1
0.698016,1
0.769597,1
0.729767,1
0.397664,1
0.761764,1
0.666525,1
0.70593,1
0.737744,1
0.614321,1
0.859274,1
0.714464,1
0.708674,1
0.995558,1
0.484686,1
0.387572,1
0.769597,1
0.55858,1
0.342961,1
0.830978,1
0.254835,1
0.335696,1
0.442582,1
0.604384,1
0.71751,1
0.441394,1
0.485354,1
0.522733,1
0.88373,1
0.737744,1
0.483958,1
0.530435,1
0.460211,1
0.669064,1
-1,1
0.635309,1
0.722512,1
0.347883,1
0.344034,1
0.721806,1
0.62755,1
0.658694,1
0.516597,1
0.450367,1
0.724629,1
0.648014,1
0.426946,1
0.262958,1
-0.069503,1
0.552876,1
0.205621,1
