@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,31,33-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-10,12-29'

@attribute 'd(Qi,FANIN)' numeric
@attribute #Nbugs_binarized {0,1}

@data
0.912913,0
-1,0
0.999982,0
0.985471,0
0.999982,0
0.999983,0
0.970959,0
0.927424,0
0.985472,0
0.97096,0
0.854868,0
-0.49471,0
0.927424,0
0.999989,0
0.985471,0
0.999992,0
0.999991,0
1,0
0.999984,0
0.970959,0
0.97096,0
0.912928,0
0.956448,0
0.97096,0
0.94194,0
0.985471,0
0.985471,0
0.970959,0
0.956448,0
0.97096,0
0.956448,0
0.985471,0
0.999983,0
0.985472,0
0.95645,0
0.869378,0
0.811331,0
0.753311,0
0.97096,0
0.985471,0
0.956448,0
0.985471,0
0.970959,0
0.956453,0
0.912913,0
0.956448,0
0.811362,0
0.912918,0
0.912913,0
0.825862,0
0.70975,0
0.985471,0
0.999982,0
0.999982,0
0.956448,0
0.985471,0
0.985471,0
0.985471,0
0.970959,0
0.869381,0
0.971008,0
0.970959,0
0.985471,0
0.956452,0
0.970981,0
0.970963,0
0.927442,0
0.956464,0
0.985471,0
0.956448,0
0.985471,0
0.985471,1
0.956451,1
0.927438,1
0.970959,1
0.999995,1
0.970966,1
0.956449,1
0.970967,1
0.840392,1
0.970964,1
0.999983,1
0.956467,1
0.970962,1
0.898429,1
0.854866,1
0.956468,1
0.956452,1
0.999982,1
0.651742,1
0.941939,1
0.927425,1
0.970959,1
0.941945,1
0.898402,1
0.419528,1
0.738781,1
0.956458,1
0.999986,1
0.941939,1
0.94194,1
0.941944,1
0.883906,1
0.970959,1
0.985472,1
0.970965,1
0.956461,1
0.941982,1
0.970986,1
-0.305981,1
0.956454,1
0.941937,1
0.883904,1
0.927447,1
0.970978,1
0.956449,1
0.97096,1
0.492085,1
0.840357,1
0.956451,1
0.941938,1
0.956479,1
0.941945,1
0.95648,1
0.95647,1
0.927446,1
