@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,31,33-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-27,29'

@attribute 'd(LOC, RFC)' numeric
@attribute #Nbugs_binarized {0,1}

@data
0.826987,0
0.730664,0
0.98725,0
0.992709,0
1,0
0.918763,0
0.976354,0
0.876126,0
0.89383,0
0.821761,0
0.533045,0
0.778499,0
0.853229,0
0.863776,0
0.996353,0
0.766482,0
0.826986,0
0.645218,0
0.844458,0
0.545851,0
0.75963,0
0.083343,0
0.732366,0
0.740861,0
0.397268,0
0.676797,0
0.990889,0
0.947454,0
0.730666,0
0.627068,0
0.723885,0
0.877892,0
0.69186,0
0.740862,0
0.536243,0
0.835713,0
0.974545,0
0.712047,0
0.809595,0
0.929497,0
0.723885,0
0.895608,0
0.83746,0
0.713737,0
0.825244,0
0.915191,0
0.407953,0
0.513946,0
0.900938,0
0.804393,0
0.877892,0
0.994531,0
0.963685,0
0.970922,0
0.956463,0
0.865538,0
0.883197,0
0.992709,0
0.922337,0
0.526673,0
0.154264,0
0.854988,0
0.828729,0
0.032939,0
0.282348,0
0.531462,0
0.12261,0
0.479237,0
0.994531,0
0.757923,0
0.745971,0
-0.632512,1
-0.632512,1
0.53305,1
0.53305,1
0.705301,1
0.705301,1
0.778502,1
0.778502,1
0.787111,1
0.787111,1
0.474534,1
0.474534,1
0.703625,1
0.703625,1
0.330998,1
0.330998,1
0.279412,1
0.279412,1
0.705307,1
0.705307,1
0.5927,1
0.5927,1
0.374496,1
0.374496,1
0.670121,1
0.670121,1
0.526664,1
0.526664,1
0.893832,1
0.893832,1
0.655154,1
0.655154,1
0.406432,1
0.406432,1
0.956466,1
0.956466,1
-0.743034,1
-0.743034,1
-0.218302,1
-0.218302,1
0.797468,1
0.797468,1
-0.000868,1
-0.000868,1
-0.020123,1
-0.020123,1
0.833966,1
0.833966,1
-0.064295,1
-0.064295,1
0.100852,1
0.100852,1
0.100852,1
0.013357,1
0.013357,1
0.013357,1
0.363927,1
0.363927,1
0.363927,1
0.558707,1
0.558707,1
0.558707,1
0.558707,1
0.277957,1
0.277957,1
0.277957,1
0.277957,1
0.000418,1
0.000418,1
0.000418,1
0.000418,1
0.328014,1
0.328014,1
0.328014,1
0.328014,1
0.84972,1
0.84972,1
0.84972,1
0.84972,1
0.451138,1
0.451138,1
0.451138,1
0.451138,1
0.077973,1
0.077973,1
0.077973,1
0.077973,1
0.247529,1
0.247529,1
0.247529,1
0.247529,1
-0.130444,1
-0.130444,1
-0.130444,1
-0.130444,1
0.050047,1
0.050047,1
0.050047,1
0.050047,1
-1,1
-1,1
-1,1
-1,1
0.552268,1
0.552268,1
0.552268,1
0.552268,1
0.490239,1
0.490239,1
0.490239,1
0.490239,1
0.490239,1
0.18916,1
0.18916,1
0.18916,1
0.18916,1
0.18916,1
-0.125633,1
-0.125633,1
-0.125633,1
-0.125633,1
-0.125633,1
-0.125633,1
0.021176,1
0.021176,1
0.021176,1
0.021176,1
0.021176,1
0.021176,1
0.345913,1
0.345913,1
0.345913,1
0.345913,1
0.345913,1
0.345913,1
0.582949,1
0.582949,1
0.582949,1
0.582949,1
0.582949,1
0.582949,1
0.26633,1
0.26633,1
0.26633,1
0.26633,1
0.26633,1
0.26633,1
-0.089073,1
-0.089073,1
-0.089073,1
-0.089073,1
-0.089073,1
-0.089073,1
0.712049,1
0.712049,1
0.712049,1
0.712049,1
0.712049,1
0.712049,1
0.344419,1
0.344419,1
0.344419,1
0.344419,1
0.344419,1
0.344419,1
0.344419,1
0.344419,1
-0.041701,1
-0.041701,1
-0.041701,1
-0.041701,1
-0.041701,1
-0.041701,1
-0.041701,1
-0.041701,1
-0.44136,1
-0.44136,1
-0.44136,1
-0.44136,1
-0.44136,1
-0.44136,1
-0.44136,1
-0.44136,1
-0.802575,1
-0.802575,1
-0.802575,1
-0.802575,1
-0.802575,1
-0.802575,1
-0.802575,1
-0.802575,1
-0.802575,1
-0.802575,1
0.068624,1
0.068624,1
0.068624,1
0.068624,1
0.068624,1
0.068624,1
0.068624,1
0.068624,1
0.068624,1
0.068624,1
-0.573234,1
-0.573234,1
-0.573234,1
-0.573234,1
-0.573234,1
-0.573234,1
-0.573234,1
-0.573234,1
-0.573234,1
-0.573234,1
-0.573234,1
