@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,31,33-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-12,14-29'

@attribute 'd( WMC,CBO)' numeric
@attribute #Nbugs_binarized {0,1}

@data
0.809877,0
-0.086488,0
0.857891,0
0.924385,0
1,0
0.982028,0
0.834354,0
0.343307,0
0.924385,0
0.946571,0
0.593036,0
-0.077578,0
0.884729,0
0.862493,0
0.929227,0
0.867769,0
0.87712,0
0.864208,0
0.897905,0
0.849134,0
0.893389,0
0.739156,0
0.924385,0
0.844567,0
0.845468,0
0.853483,0
0.823174,0
0.946571,0
0.893389,0
0.911124,0
0.893389,0
0.95103,0
0.916133,0
0.856239,0
0.889537,0
0.831287,0
0.873713,0
0.654194,0
0.90221,0
0.968766,0
0.822402,0
0.959853,0
0.906974,0
0.827025,0
0.813616,0
0.906974,0
0.53893,0
0.755976,0
0.74583,0
0.786924,0
0.906773,0
0.777962,0
0.937687,0
0.937687,0
0.911124,0
0.862493,0
0.90221,0
0.897905,0
0.93333,0
0.854793,0
0.746635,0
0.942299,0
0.942299,0
0.801739,0
0.832333,0
0.916666,0
0.420705,0
0.812488,0
0.959853,0
0.915533,0
0.90221,0
0.784921,1
0.784921,1
0.793136,1
0.793136,1
0.743853,1
0.743853,1
0.867769,1
0.867769,1
0.864208,1
0.864208,1
0.733858,1
0.733858,1
0.849134,1
0.849134,1
0.798686,1
0.798686,1
0.582411,1
0.582411,1
0.800248,1
0.800248,1
0.87603,1
0.87603,1
0.760409,1
0.760409,1
0.79171,1
0.79171,1
0.702169,1
0.702169,1
0.797193,1
0.797193,1
0.813968,1
0.813968,1
0.942299,1
0.942299,1
0.986858,1
0.986858,1
0.505262,1
0.505262,1
0.557421,1
0.557421,1
0.813616,1
0.813616,1
0.849134,1
0.849134,1
0.630382,1
0.630382,1
0.79634,1
0.79634,1
0.428599,1
0.428599,1
0.481214,1
0.481214,1
0.481214,1
0.731424,1
0.731424,1
0.731424,1
0.791496,1
0.791496,1
0.791496,1
0.771193,1
0.771193,1
0.771193,1
0.771193,1
0.791496,1
0.791496,1
0.791496,1
0.791496,1
0.691701,1
0.691701,1
0.691701,1
0.691701,1
0.593036,1
0.593036,1
0.593036,1
0.593036,1
0.93333,1
0.93333,1
0.93333,1
0.93333,1
0.884729,1
0.884729,1
0.884729,1
0.884729,1
0.76946,1
0.76946,1
0.76946,1
0.76946,1
0.719276,1
0.719276,1
0.719276,1
0.719276,1
0.677439,1
0.677439,1
0.677439,1
0.677439,1
0.824575,1
0.824575,1
0.824575,1
0.824575,1
-1,1
-1,1
-1,1
-1,1
0.849341,1
0.849341,1
0.849341,1
0.849341,1
0.835747,1
0.835747,1
0.835747,1
0.835747,1
0.835747,1
0.596482,1
0.596482,1
0.596482,1
0.596482,1
0.596482,1
0.685647,1
0.685647,1
0.685647,1
0.685647,1
0.685647,1
0.685647,1
0.835747,1
0.835747,1
0.835747,1
0.835747,1
0.835747,1
0.835747,1
0.849134,1
0.849134,1
0.849134,1
0.849134,1
0.849134,1
0.849134,1
0.858509,1
0.858509,1
0.858509,1
0.858509,1
0.858509,1
0.858509,1
0.525418,1
0.525418,1
0.525418,1
0.525418,1
0.525418,1
0.525418,1
0.73312,1
0.73312,1
0.73312,1
0.73312,1
0.73312,1
0.73312,1
0.866743,1
0.866743,1
0.866743,1
0.866743,1
0.866743,1
0.866743,1
0.716002,1
0.716002,1
0.716002,1
0.716002,1
0.716002,1
0.716002,1
0.716002,1
0.716002,1
0.596322,1
0.596322,1
0.596322,1
0.596322,1
0.596322,1
0.596322,1
0.596322,1
0.596322,1
0.673167,1
0.673167,1
0.673167,1
0.673167,1
0.673167,1
0.673167,1
0.673167,1
0.673167,1
0.314456,1
0.314456,1
0.314456,1
0.314456,1
0.314456,1
0.314456,1
0.314456,1
0.314456,1
0.314456,1
0.314456,1
0.793136,1
0.793136,1
0.793136,1
0.793136,1
0.793136,1
0.793136,1
0.793136,1
0.793136,1
0.793136,1
0.793136,1
0.610271,1
0.610271,1
0.610271,1
0.610271,1
0.610271,1
0.610271,1
0.610271,1
0.610271,1
0.610271,1
0.610271,1
0.610271,1
