@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1-16,18-34,36-weka.filters.unsupervised.attribute.Reorder-R1,2'

@attribute 'd(LOC, Ce)' numeric
@attribute #Risk numeric

@data
2096.077289,0
2040.098037,0
2186.091489,0
2189.091364,0
2193.100545,0
2148.102651,0
2180.101144,0
2124.103811,0
2134.075912,0
2093.105349,0
1920.066666,0
2068.061895,0
2111.085503,0
2117.046291,0
2191.082381,0
2061.047549,0
2096.046755,0
1989.042483,0
2106.060778,0
1928.05835,0
2057.070247,0
1614.052354,0
2041.079371,0
2046.047898,0
1833.06983,0
2008.056025,0
2188.100775,0
2164.083409,0
2040.070832,0
1978.073052,0
2036.070971,0
2125.094116,0
2017.06346,0
2046.088219,0
1922.084285,0
2101.095191,0
2179.074345,0
2029.055445,0
2086.06927,0
2154.102365,0
2036.048133,0
2135.093675,0
2102.060894,0
2030.048275,0
2095.077326,0
2146.084108,0
1840.045923,0
1908.044287,0
2138.084423,0
2083.047047,0
2125.094116,0
2190.100683,0
2173.092037,0
2177.091868,0
2169.092206,0
2118.04627,0
2128.067903,0
2189.091364,0
2150.083952,0
1916.094204,0
1666.10834,0
2112.104401,0
2097.105148,0
1576.139905,0
1756.102787,0
1919.1149,0
940.10425,6
1920.051041,6
2025.029876,6
2068.047388,6
2073.040762,6
1883.021508,6
2024.098812,6
1789.062883,6
1754.004561,6
1643.019476,13
2025.035555,6
1957.073836,6
1886.067867,7
1818.022277,6
2004.02495,6
2190.100683,7
1916.044102,6
2134.093719,6
1995.042355,6
1839.119898,6
2056.097274,7
2049.070521,7
2169.101657,6
1936.074637,12
786.22961,20
1371.000365,13
2079.077921,13
1753.048202,12
1550.072579,19
1551.032237,12
1787.017907,12
2109.076812,12
1868.060224,12
1535.046905,10
2100.085951,20
1610.025155,12
1500.056332,13
1732.064953,12
1446.124822,12
1589.113589,12
14,19
1450.022069,18
1627.007683,18
1932.043737,26
1567.062539,18
1799.062534,18
1561.054131,18
1893.076332,17
1951.043311,18
1745.092834,18
1811.039757,18
1480.121954,25
1798.022525,24
2029.063084,25
1691.057953,37
689,30
1518.008234,31
1159.052199,31
1603.061134,37
1013.031589,42
