@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1-10,12-34,36'

@attribute 'd(LOC,FANIN)' numeric
@attribute #Risk numeric

@data
2100.152375,0
2040,0
2190.35157,0
2193.282927,0
2197.337707,0
2152.428396,0
2184.238082,0
2128.160003,0
2138.393088,0
2097.413884,0
1924.261936,0
2068.296159,0
2115.185571,0
2121.493106,0
2195.279026,0
2065.614921,0
2100.538026,0
1993.781583,0
2110.516524,0
1932.790728,0
2061.490965,0
1619.388774,0
2045.45985,0
2050.515057,0
1837.891455,0
2012.66813,0
2192.284881,0
2168.269356,0
2044.462032,0
1982.669917,0
2040.470779,0
2129.411656,0
2021.715361,0
2050.581625,0
1926.735322,0
2104.956532,0
2182.582415,0
2032.604733,0
2090.428664,0
2158.352381,0
2040.470779,0
2139.391035,0
2106.395025,0
2034.483964,0
2099.154354,0
2150.242079,0
1844.241036,0
1912.560587,0
2142.070961,0
2086.80737,0
2128.273714,0
2194.280976,0
2177.377551,0
2181.369524,0
2173.197184,0
2122.426206,0
2132.405449,0
2193.282927,0
2154.297101,0
1920.337731,0
1671.541803,0
2116.374258,0
2101.470438,0
1581.771475,0
1761.258641,0
1923.813141,0
949.93105,6
1924.740242,6
2029.362954,6
2072.467129,6
2077.588265,6
1887.904923,6
2028.497227,6
1794.161921,6
1758.591766,6
1648.374351,13
2029.561775,6
1961.859577,6
1890.825481,7
1823.005485,6
2008.609469,6
2194.280976,7
1920.473119,6
2137.835354,6
1999.562452,6
1843.948481,6
2060.427383,7
2053.574932,7
2173.385608,6
1940.631856,12
794.22415,20
1377.53294,13
2083.249865,13
1758.114046,12
1555.955012,19
1556.777762,12
1791.722356,12
2113.380467,12
1873.017085,12
1540.837759,10
2104.081985,20
1615.733889,12
1503.197924,13
1737.253292,12
1452.195579,12
1594.809393,12
48,19
1456.086879,18
1631.419321,18
1936.710872,26
1572.890651,18
1804.058203,18
1566.826729,18
1897.73681,17
1955.734389,18
1748.037185,18
1816.250258,18
1485.438992,25
1802.986411,24
2033.486169,25
1695.989682,37
702.101132,30
1523.991142,31
1166.720618,31
1608.67461,37
1021.693692,42
