@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1-28,30-34,36'

@attribute 'd(LOC, RFC)' numeric
@attribute #Risk numeric

@data
4393387,0
4161758,0
4778775,0
4791903,0
4809435,0
4614084,0
4752573,0
4511552,0
4554126,0
4380820,0
3686539,0
4276787,0
4456492,0
4481855,0
4800665,0
4247889,0
4393385,0
3956284,0
4435401,0
3717335,0
4231414,0
2605133,0
4165850,0
4186280,0
3360034,0
4032224,0
4787525,0
4683076,0
4161762,0
3912638,0
4145457,0
4515800,0
4068446,0
4186281,0
3694230,0
4414372,0
4748224,0
4116990,0
4351564,0
4639896,0
4145457,0
4558402,0
4418573,0
4121053,0
4389196,0
4605493,0
3385730,0
3640613,0
4571218,0
4339055,0
4515800,0
4796283,0
4722108,0
4739510,0
4704742,0
4486093,0
4528557,0
4791903,0
4622677,0
3671217,0
2775679,0
4460721,0
4397577,0
2483927,0
3083685,0
3682733,0
883704,6
3686551,6
4100768,6
4276794,6
4297496,6
3545838,6
4096737,6
3200674,6
3076625,6
2699561,13
4100782,6
3829994,6
3557147,7
3305274,6
4016170,6
4796283,7
3671195,6
4554131,6
3980178,6
3382072,6
4227307,7
4198567,7
4704747,6
3748250,12
617931,20
1879764,13
4322402,13
3073125,12
2402631,19
2405723,12
3193499,12
4448053,12
3489578,12
2356328,10
4410169,20
2592221,12
2250106,13
2999955,12
2091037,12
2525067,12
0,19
2102605,18
2647238,18
3732765,26
2455641,18
3236541,18
2436838,18
3583603,17
3806545,18
3045165,18
3279858,18
2190522,25
3232948,24
4116994,25
2859594,37
474752,30
2304438,31
1343371,31
2569740,37
1026251,42
