@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1-21,23-34,36'

@attribute 'd(RFC, Ca)' numeric
@attribute #Risk numeric

@data
195.133288,0
158.003164,0
202.180612,0
206.235302,0
210.705956,0
205.42882,0
197.367677,0
182.428068,0
196.725697,0
196.596033,0
161.895028,0
164.757397,0
195.616973,0
193.27959,0
207.537948,0
194.494216,0
195.358644,0
190.192008,0
192.421413,0
180.560239,0
192.421413,0
169.026625,0
195.862197,0
191.56461,0
175.011428,0
187.62729,0
201.697794,0
205.42882,0
189.855208,0
183.076487,0
189.002645,0
201.062179,0
185.607112,0
191.908832,0
176.400113,0
194.177754,0
205.275425,0
172.539851,0
195,0
204.948774,0
188.480768,0
202.805325,0
195.358644,0
182.236111,0
195.133288,0
201.35789,0
154.236831,0
177.248413,0
193.651749,0
191.760267,0
200.084982,0
201.35789,0
204.071066,0
205.827598,0
204.882893,0
195.862197,0
199.323857,0
205.302216,0
202.319055,0
185.431928,0
157.267288,0
202.319055,0
194.494216,0
179.471446,0
178.339564,0
197.959592,0
143.586211,6
180.560239,6
173.925271,6
196.224361,6
193.631092,6
178.891028,6
186.432293,6
182.236111,6
147.24809,6
144.941368,13
185.607112,6
175.573347,6
180.560239,7
179.72479,6
183.076487,6
207.588535,7
170.073513,6
195.880065,6
180.623919,6
180.013888,6
196.596033,7
193.27959,7
210.23796,6
180.944743,12
156.416112,20
146.184814,13
186.432293,13
151.855194,12
164.201096,19
156.486421,12
160.424437,12
198.456544,12
183.076487,12
141.484982,10
192.898937,20
156.339374,12
132.200605,13
161.235852,12
153.837577,12
175.840837,12
0,19
141.598023,18
140.719579,18
172.284648,26
181.397354,18
171.467198,18
151.980262,18
181.471761,17
174.748391,18
159.777971,18
169.026625,18
152.800524,25
173.623155,24
181.694799,25
142.003521,37
98.030607,30
150.332964,31
133.056379,31
163.600122,37
127.015747,42
