@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1-13,15-34,36'

@attribute 'd( WMC,CBO)' numeric
@attribute #Risk numeric

@data
113.207774,0
57.140179,0
116.211015,0
120.370262,0
125.09996,0
123.975804,0
114.738834,0
84.023806,0
120.370262,0
121.757957,0
99.644368,0
57.697487,0
117.889779,0
116.498927,0
120.673112,0
116.828935,0
117.413798,0
116.606175,0
118.713942,0
115.663304,0
118.431415,0
108.78419,0
120.370262,0
115.377641,0
115.433964,0
115.935327,0
114.039467,0
121.757957,0
118.431415,0
119.540788,0
118.431415,0
122.03688,0
119.854078,0
116.107709,0
118.190524,0
114.546934,0
117.200683,0
103.469802,0
118.983192,0
123.146254,0
113.991228,0
122.588743,0
119.28118,0
114.280357,0
113.441615,0
119.28118,0
96.260064,0
109.836242,0
109.201648,0
111.77209,0
119.268604,0
111.21151,0
121.20231,0
121.20231,0
119.540788,0
116.498927,0
118.983192,0
118.713942,0
120.929732,0
116.01724,0
109.252002,0
121.49074,0
121.49074,0
112.698713,0
114.61239,0
119.887447,0
111.646764,6
112.160599,6
109.077954,6
116.828935,6
116.606175,6
108.452755,6
115.663304,6
112.507778,6
98.979796,6
88.865066,13
112.605506,6
117.345643,6
113.371072,7
110.113578,6
112.071406,6
122.588743,7
106.470653,6
112.414412,6
113.463651,6
121.49074,6
119.816526,7
118.983192,7
124.277914,6
110.788086,12
94.154129,20
97.416631,13
113.441615,13
112.058021,12
115.663304,19
105.815878,12
99.644368,12
120.929732,12
117.889779,12
101.98039,10
112.361025,20
110.679718,12
89.358827,13
107.54069,12
104.923782,12
114.127122,12
0,19
105.437185,18
92.649879,18
115.676272,26
114.825955,18
115.663304,18
108.300508,18
114.825955,17
116.249731,18
95.414884,18
112.058021,18
108.406642,25
107.335921,24
116.764721,25
99.859902,37
82.219219,30
99.849887,31
104.656581,31
112.160599,37
100.722391,42
