@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,34-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32-weka.filters.unsupervised.attribute.Remove-R30-31-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-10,12-29'

@attribute 'd(Qi,FANIN)' numeric
@attribute #Severity {0,2}

@data
0.999982,0
0.999982,0
0.999983,0
0.999989,0
0.999992,0
0.999991,0
1,0
0.999984,0
0.999983,0
0.999983,0
0.999983,0
0.985471,0
0.985472,0
0.985471,0
0.985471,0
0.985471,0
0.985471,0
0.985472,0
0.985471,0
0.985471,0
0.985471,0
0.985471,0
0.985471,0
0.985471,0
0.985471,0
0.970959,0
0.97096,0
0.970959,0
0.97096,0
0.97096,0
0.970959,0
0.97096,0
0.97096,0
0.970959,0
0.970959,0
0.971008,0
0.970959,0
0.970981,0
0.970963,0
0.956448,0
0.956448,0
0.956448,0
0.95645,0
0.956448,0
0.956453,0
0.956448,0
0.956448,0
0.956452,0
0.94194,0
0.927424,0
0.927424,0
0.912913,0
0.912928,0
0.912913,0
0.912918,0
0.912913,0
0.869378,0
0.869381,0
0.854868,0
0.825862,0
0.811331,0
0.811362,0
0.753311,0
0.70975,0
-0.49471,0
-1,0
0.999995,2
0.999983,2
0.999982,2
0.999986,2
0.985471,2
0.985471,2
0.985471,2
0.985472,2
0.970959,2
0.970966,2
0.970967,2
0.970964,2
0.970962,2
0.970959,2
0.970959,2
0.970965,2
0.970986,2
0.970978,2
0.97096,2
0.956451,2
0.956449,2
0.956464,2
0.956467,2
0.956468,2
0.956452,2
0.956448,2
0.956461,2
0.956454,2
0.956449,2
0.956458,2
0.956451,2
0.95648,2
0.956479,2
0.95647,2
0.941939,2
0.941939,2
0.94194,2
0.941944,2
0.941945,2
0.941982,2
0.941937,2
0.941938,2
0.941945,2
0.927438,2
0.927442,2
0.927425,2
0.927447,2
0.927446,2
0.898429,2
0.898402,2
0.883906,2
0.883904,2
0.854866,2
0.840392,2
0.840357,2
0.738781,2
0.651742,2
0.492085,2
0.419528,2
-0.305981,2
