@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,34-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32-weka.filters.unsupervised.attribute.Remove-R30-31-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-20,22-29'

@attribute 'd(RFC, Ca)' numeric
@attribute #Severity {0,2}

@data
0.919078,0
1,0
0.94991,0
0.834591,0
0.84612,0
0.854325,0
0.805284,0
0.826445,0
0.761764,0
0.937022,0
0.953695,0
0.957565,0
0.867301,0
0.96993,0
0.78094,0
0.914495,0
0.908462,0
0.82158,0
0.945353,0
0.925008,0
0.911269,0
0.859105,0
0.891962,0
0.948708,0
0.84612,0
0.873394,0
0.86607,0
0.71386,0
0.826445,0
0.818312,0
0.94991,0
0.737744,0
0.850921,0
0.854325,0
0.920392,0
0.492765,0
0.920392,0
0.692781,0
0.879013,0
0.859105,0
0.802087,0
0.793994,0
0.674372,0
0.789041,0
0.729767,0
0.911269,0
0.944728,0
0.703525,0
0.661191,0
0.731589,0
0.856777,0
0.852186,0
0.604384,0
0.852186,0
0.682424,0
0.838123,0
0.843116,0
0.760101,0
0.536692,0
0.820169,0
0.948454,0
0.464001,0
0.637731,0
0.899187,0
0.563861,0
0.49975,0
0.837927,2
0.666525,2
0.995558,2
0.604384,2
0.362906,2
0.97041,2
0.834591,2
0.737744,2
0.862542,2
0.698016,2
0.729767,2
0.761764,2
0.737744,2
0.55858,2
0.88373,2
0.483958,2
0.669064,2
0.721806,2
0.658694,2
0.71386,2
0.769597,2
0.71386,2
0.70593,2
0.714464,2
0.708674,2
0.86607,2
0.530435,2
0.635309,2
0.62755,2
0.442582,2
0.724629,2
-0.069503,2
0.426946,2
0.552876,2
0.71751,2
0.387572,2
0.441394,2
0.485354,2
0.342961,2
0.460211,2
0.722512,2
0.648014,2
0.262958,2
0.650881,2
0.375769,2
0.769597,2
0.344034,2
0.205621,2
0.614321,2
0.830978,2
0.522733,2
0.347883,2
0.859274,2
0.397664,2
0.450367,2
0.335696,2
0.484686,2
0.516597,2
0.254835,2
-1,2
