@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,34-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1-9,11-31'

@attribute 'd(LOC,FANIN)' numeric
@attribute #Severity {0,2}

@data
0.993499,0
1,0
0.958211,0
0.929425,0
0.877429,0
0.909926,0
0.810587,0
0.919211,0
0.83658,0
0.981427,0
0.985141,0
0.996227,0
0.945151,0
0.998084,0
0.828161,0
0.995298,0
0.936794,0
0.863441,0
0.963723,0
0.94608,0
0.997156,0
0.930293,0
0.939579,0
0.996227,0
0.910794,0
0.987811,0
0.907019,0
0.753834,0
0.873592,0
0.863379,0
0.972951,0
0.800248,0
0.900519,0
0.915376,0
0.95995,0
0.510737,0
0.924662,0
0.59422,0
0.74548,0
0.858675,0
0.857746,0
0.854032,0
0.748199,0
0.854032,0
0.848461,0
0.956177,0
0.977537,0
0.427204,0
0.665528,0
0.935629,0
0.923556,0
0.909567,0
0.462207,0
0.908639,0
0.735009,0
0.948573,0
0.914038,0
0.742246,0
0.745898,0
0.897149,0
0.98627,0
0.671437,0
0.846713,0
0.935735,0
0.879924,0
0.853594,0
0.888571,2
0.780883,2
0.977712,2
0.645391,2
0.645391,2
0.645391,2
-0.160736,2
0.997156,2
0.866226,2
0.698213,2
0.698213,2
0.883806,2
0.712067,2
0.624837,2
0.843881,2
0.824385,2
0.403181,2
0.403181,2
0.403181,2
0.403181,2
0.921876,2
0.921876,2
0.458806,2
0.458806,2
0.439336,2
0.439336,2
0.41894,2
0.41894,2
0.41894,2
0.775183,2
0.775183,2
0.775183,2
0.746343,2
0.842891,2
0.714784,2
0.651677,2
0.815966,2
0.671165,2
0.872602,2
0.571883,2
0.571883,2
0.757482,2
0.757482,2
0.757482,2
0.757482,2
0.757482,2
0.634046,2
0.634046,2
0.634046,2
0.413297,2
0.413297,2
0.413297,2
0.847533,2
0.847533,2
0.847533,2
0.847533,2
-0.391346,2
-0.391346,2
-0.391346,2
-0.391346,2
-0.391346,2
0.373438,2
0.373438,2
0.373438,2
0.373438,2
0.373438,2
0.452238,2
0.452238,2
0.452238,2
0.452238,2
0.452238,2
0.452238,2
0.76113,2
0.76113,2
0.237156,2
0.237156,2
0.591294,2
0.591294,2
0.403947,2
0.403947,2
0.389114,2
0.389114,2
0.306631,2
0.306631,2
0.721216,2
0.721216,2
0.721216,2
0.633049,2
0.633049,2
0.633049,2
0.633049,2
0.040991,2
0.040991,2
0.040991,2
0.040991,2
0.040991,2
0.843696,2
0.489179,2
0.489179,2
0.489179,2
0.893839,2
0.893839,2
0.310252,2
0.310252,2
0.310252,2
-0.093959,2
-0.093959,2
-0.093959,2
-0.093959,2
-0.093959,2
-0.093959,2
-0.093959,2
0.742372,2
0.913224,2
0.913224,2
0.913224,2
0.913224,2
0.622567,2
0.622567,2
0.533486,2
0.533486,2
0.533486,2
0.533486,2
0.533486,2
0.533486,2
0.533486,2
0.944632,2
0.591738,2
0.337565,2
0.337565,2
0.337565,2
0.337565,2
0.473402,2
0.473402,2
0.473402,2
-0.305624,2
-0.305624,2
-0.305624,2
-0.305624,2
0.581917,2
0.581917,2
0.581917,2
0.35409,2
0.35409,2
-1,2
-1,2
-1,2
