@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,34-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1-27,29-31'

@attribute 'd(LOC, RFC)' numeric
@attribute #Severity {0,2}

@data
0.98725,0
1,0
0.918763,0
0.863776,0
0.766482,0
0.826986,0
0.645218,0
0.844458,0
0.69186,0
0.963685,0
0.970922,0
0.992709,0
0.89383,0
0.996353,0
0.676797,0
0.990889,0
0.877892,0
0.740862,0
0.929497,0
0.895608,0
0.994531,0
0.865538,0
0.883197,0
0.992709,0
0.828729,0
0.976354,0
0.821761,0
0.545851,0
0.75963,0
0.740861,0
0.947454,0
0.627068,0
0.809595,0
0.83746,0
0.922337,0
0.154264,0
0.854988,0
0.282348,0
0.531462,0
0.732366,0
0.730666,0
0.723885,0
0.536243,0
0.723885,0
0.713737,0
0.915191,0
0.956463,0
0.032939,0
0.397268,0
0.876126,0
0.853229,0
0.826987,0
0.083343,0
0.825244,0
0.513946,0
0.900938,0
0.835713,0
0.526673,0
0.533045,0
0.804393,0
0.974545,0
0.407953,0
0.712047,0
0.877892,0
0.778499,0
0.730664,0
0.787111,2
0.5927,2
0.956466,2
0.363927,2
0.363927,2
0.363927,2
-0.632512,2
0.994531,2
0.745971,2
0.451138,2
0.451138,2
0.778502,2
0.474534,2
0.330998,2
0.705307,2
0.670121,2
-0.000868,2
-0.000868,2
-0.000868,2
-0.000868,2
0.84972,2
0.84972,2
0.077973,2
0.077973,2
0.050047,2
0.050047,2
0.021176,2
0.021176,2
0.021176,2
0.582949,2
0.582949,2
0.582949,2
0.53305,2
0.703625,2
0.479237,2
0.374496,2
0.655154,2
0.406432,2
0.757923,2
0.247529,2
0.247529,2
0.552268,2
0.552268,2
0.552268,2
0.552268,2
0.552268,2
0.345913,2
0.345913,2
0.345913,2
0.013357,2
0.013357,2
0.013357,2
0.712049,2
0.712049,2
0.712049,2
0.712049,2
-0.802575,2
-0.802575,2
-0.802575,2
-0.802575,2
-0.802575,2
-0.041701,2
-0.041701,2
-0.041701,2
-0.041701,2
-0.041701,2
0.068624,2
0.068624,2
0.068624,2
0.068624,2
0.068624,2
0.068624,2
0.558707,2
0.558707,2
-0.218302,2
-0.218302,2
0.277957,2
0.277957,2
0.000418,2
0.000418,2
-0.020123,2
-0.020123,2
-0.130444,2
-0.130444,2
0.490239,2
0.490239,2
0.490239,2
0.344419,2
0.344419,2
0.344419,2
0.344419,2
-0.44136,2
-0.44136,2
-0.44136,2
-0.44136,2
-0.44136,2
0.705301,2
0.12261,2
0.12261,2
0.12261,2
0.797468,2
0.797468,2
-0.125633,2
-0.125633,2
-0.125633,2
-0.573234,2
-0.573234,2
-0.573234,2
-0.573234,2
-0.573234,2
-0.573234,2
-0.573234,2
0.526664,2
0.833966,2
0.833966,2
0.833966,2
0.833966,2
0.328014,2
0.328014,2
0.18916,2
0.18916,2
0.18916,2
0.18916,2
0.18916,2
0.18916,2
0.18916,2
0.893832,2
0.279412,2
-0.089073,2
-0.089073,2
-0.089073,2
-0.089073,2
0.100852,2
0.100852,2
0.100852,2
-0.743034,2
-0.743034,2
-0.743034,2
-0.743034,2
0.26633,2
0.26633,2
0.26633,2
-0.064295,2
-0.064295,2
-1,2
-1,2
-1,2
