@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,34-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1-12,14-31'

@attribute 'd( WMC,CBO)' numeric
@attribute #Severity {0,2}

@data
0.857891,0
1,0
0.982028,0
0.862493,0
0.867769,0
0.87712,0
0.864208,0
0.897905,0
0.916133,0
0.937687,0
0.937687,0
0.924385,0
0.924385,0
0.929227,0
0.853483,0
0.823174,0
0.95103,0
0.856239,0
0.968766,0
0.959853,0
0.777962,0
0.862493,0
0.90221,0
0.897905,0
0.942299,0
0.834354,0
0.946571,0
0.849134,0
0.893389,0
0.844567,0
0.946571,0
0.911124,0
0.90221,0
0.906974,0
0.93333,0
0.746635,0
0.942299,0
0.832333,0
0.916666,0
0.924385,0
0.893389,0
0.893389,0
0.889537,0
0.822402,0
0.827025,0
0.906974,0
0.911124,0
0.801739,0
0.845468,0
0.343307,0
0.884729,0
0.809877,0
0.739156,0
0.813616,0
0.755976,0
0.74583,0
0.831287,0
0.854793,0
0.593036,0
0.786924,0
0.873713,0
0.53893,0
0.654194,0
0.906773,0
-0.077578,0
-0.086488,0
0.864208,2
0.87603,2
0.986858,2
0.791496,2
0.791496,2
0.791496,2
0.784921,2
0.959853,2
0.90221,2
0.884729,2
0.884729,2
0.867769,2
0.733858,2
0.798686,2
0.800248,2
0.79171,2
0.849134,2
0.849134,2
0.849134,2
0.849134,2
0.93333,2
0.93333,2
0.76946,2
0.76946,2
0.824575,2
0.824575,2
0.835747,2
0.835747,2
0.835747,2
0.858509,2
0.858509,2
0.858509,2
0.793136,2
0.849134,2
0.812488,2
0.760409,2
0.813968,2
0.942299,2
0.915533,2
0.719276,2
0.719276,2
0.849341,2
0.849341,2
0.849341,2
0.849341,2
0.849341,2
0.849134,2
0.849134,2
0.849134,2
0.731424,2
0.731424,2
0.731424,2
0.866743,2
0.866743,2
0.866743,2
0.866743,2
0.314456,2
0.314456,2
0.314456,2
0.314456,2
0.314456,2
0.596322,2
0.596322,2
0.596322,2
0.596322,2
0.596322,2
0.793136,2
0.793136,2
0.793136,2
0.793136,2
0.793136,2
0.793136,2
0.771193,2
0.771193,2
0.557421,2
0.557421,2
0.791496,2
0.791496,2
0.691701,2
0.691701,2
0.630382,2
0.630382,2
0.677439,2
0.677439,2
0.835747,2
0.835747,2
0.835747,2
0.716002,2
0.716002,2
0.716002,2
0.716002,2
0.673167,2
0.673167,2
0.673167,2
0.673167,2
0.673167,2
0.743853,2
0.420705,2
0.420705,2
0.420705,2
0.813616,2
0.813616,2
0.685647,2
0.685647,2
0.685647,2
0.610271,2
0.610271,2
0.610271,2
0.610271,2
0.610271,2
0.610271,2
0.610271,2
0.702169,2
0.79634,2
0.79634,2
0.79634,2
0.79634,2
0.593036,2
0.593036,2
0.596482,2
0.596482,2
0.596482,2
0.596482,2
0.596482,2
0.596482,2
0.596482,2
0.797193,2
0.582411,2
0.73312,2
0.73312,2
0.73312,2
0.73312,2
0.481214,2
0.481214,2
0.481214,2
0.505262,2
0.505262,2
0.505262,2
0.505262,2
0.525418,2
0.525418,2
0.525418,2
0.428599,2
0.428599,2
-1,2
-1,2
-1,2
