Class Name;HasTC;#Bugs;#Blocker;#Critical;Critique;#Major;#Normal;#Minor;#Trivial;WMC;CBO;RFC;Ca;Ce;LOC;Qi;Si;FANIN;d(LOC,FANIN);d(Qi,FANIN);d(WMC,FANIN);d( WMC,CBO);d(Qi,CBO);d(LOC, CBO);d(LOC, Ce);d(LOC, Ca);d(WMC, Ce);d(WMC, Ca);Risk1;TLOC
org.apache.tools.ant.AntClassLoader;0;4;0;0;4;1;3;0;0;17;9;64;7;2;713;0,77033327;0,331622672;11;127,0002077;127,6092684;158,0031645;154,0129865;122,6341119;122,0002162;1480,000018;19,00138802;1482,982131;95,90099061;13;
org.apache.tools.ant.BuildEvent;0;0;0;0;0;0;0;0;0;11;7;15;5;3;97;0,881918529;4,993814739;6;132,0000528;132,2298258;163,2176461;196,1045639;171,1774717;171,0000408;2096,000003;18,00038731;2098,197322;97,67292358;0;
org.apache.tools.ant.BuildException;0;0;0;0;0;0;0;0;0;14;99;28;98;1;153;0,819040354;10,61602267;138;0,180959646;2,17053438;4;158,0506248;158,0149082;158,0001036;2040,000008;20,00081864;2040,003922;20,39607805;0;
org.apache.tools.ant.BuildListener;0;0;0;0;0;0;0;0;0;7;6;7;5;1;7;1;0;0;138;138,591111;168,6801707;203,5927307;179,4561117;179;2186;20;2188,151046;99,0403958;0;
org.apache.tools.ant.BuildLogger;0;0;0;0;0;0;0;0;0;4;3;4;2;1;4;1;0;1;137;137,595407;169,6142683;207,6631888;182,4486121;182;2189;20;2191,282958;101,9803903;0;
org.apache.tools.ant.Constants;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;138;138,591111;172,2004646;212,6146749;186,4389874;186;2193;21;2195,4175;105,1189802;0;
org.apache.tools.ant.DefaultLogger;0;2;0;0;2;0;2;0;0;14;8;32;4;4;257;0,776190958;0,336734694;4;134,0001869;134,5771083;164,2589419;180,9447429;154,5024209;154,0001626;1936,000013;17,00147319;1938,329435;96,50906693;6;
org.apache.tools.ant.DesirableFilter;0;0;0;0;0;0;0;0;0;2;0;6;0;0;45;0,916666667;0,081632653;0;138,0000252;138,5836033;172,2004646;207,3861133;180,4478182;180,0000193;2148,000002;21,00016534;2150,468089;105,1189802;0;
org.apache.tools.ant.DirectoryScanner;0;2;1;0;3;0;1;0;0;23;22;51;20;2;1407;0,218062635;2,479598646;24;114,0026817;114,4649876;139,8463442;157,4357012;135,3928853;135,0022645;786,0003889;19,01608335;790,1626415;83,19855768;9;
org.apache.tools.ant.FileScanner;0;0;0;0;0;0;0;0;0;13;4;13;4;0;13;1;0;2;136;136,5997659;168,2171216;199,3238571;173,4718883;173;2180;21;2182,246778;101,2027668;0;
org.apache.tools.ant.IntrospectionHelper;1;2;0;0;2;1;1;0;0;14;24;63;20;20;822;0,753316678;2,227392636;4;134,0002271;134,4153858;155,5538492;146,1848145;123,4524036;123,0002474;1371,000022;1,02997702;1373,27419;79,00632886;7;330
org.apache.tools.ant.Location;0;0;0;0;0;0;0;0;0;5;51;10;51;0;69;0,948672824;0,190306122;5;133,0000099;133,5951554;142,8040616;183,521116;176,4501786;176,0000075;2124,000001;21,00006273;2124,636439;56,08029957;0;
org.apache.tools.ant.Main;0;1;0;0;1;0;1;0;0;14;7;82;0;7;1253;0,923298003;0,362749236;1;137,0000215;137,5621714;167,2871782;141,5344481;104,7394434;104,0000283;940,0000031;14,00021011;944,8894115;97,01546269;3;
org.apache.tools.ant.NoBannerLogger;0;0;0;0;0;0;0;0;0;4;3;16;0;3;59;0,873710659;0,010204082;1;137,0000582;137,5944592;169,6142683;197,2308292;170,4794275;170,0000469;2134,000004;18,00044302;2136,341733;101,6070864;0;
org.apache.tools.ant.PathTokenizer;0;0;0;0;0;0;0;0;0;3;2;15;2;0;100;0,888219763;0,75748055;2;136,0000459;136,530944;169,401889;198,6001007;171,4225734;171,0000365;2093,000003;21,00029749;2095,435516;103,1600698;0;
org.apache.tools.ant.Project;1;3;0;0;3;1;2;0;0;71;103;186;99;7;2193;0,248779012;4,02243774;90;48,00587811;48,79354248;48;0;8,764119311;0,751220988;0,751220988;14,02014026;0;14;10;20
org.apache.tools.ant.ProjectHelper;0;5;0;1;6;1;2;1;0;17;19;73;13;7;502;0,490038769;0,224489796;8;130,0010002;130,6055341;154,7772593;140,8012784;113,6961105;113,0011507;1691,000077;14,00928479;1693,085054;85,15867542;17;
