Class Name,Tested,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC
org.apache.tools.ant.AntClassLoader,0,3,1,0,0,0,3,0,0,39,15,103,10,6,1377,0.46066448,15,687,180.001,183.967,126.827,121.001,673.951,663.365,674.681,43.909,130.648,9,
org.apache.tools.ant.BuildEvent,0,0,0,0,0,0,0,0,0,11,12,15,9,4,97,0.881918529,9,1951.882,186,197.363,140.471,124,1946.953,1943.148,1947.081,70.228,142.239,0,
org.apache.tools.ant.BuildException,0,0,0,0,0,0,0,0,0,14,136,26,135,1,153,0.819040354,195,1887,0.181,63,63,0.181,1887,1887.193,1887,68.542,63,0,
org.apache.tools.ant.BuildListener,0,0,0,0,0,0,0,0,0,7,11,7,10,1,7,1,0,2042.331,195,207.183,143.265,125,2036.839,2033.179,2036.839,75.027,143.265,0,
org.apache.tools.ant.BuildLogger,0,0,0,0,0,0,0,0,0,4,4,4,3,1,4,1,1,2045.222,194,207.28,150.841,132,2040.274,2036.179,2040.274,77.833,150.841,0,
org.apache.tools.ant.Constants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2049.299,195,209.652,156.285,136,2044.528,2040.192,2044.462,81.933,155.416,0,
org.apache.tools.ant.DefaultLogger,0,0,0,0,0,0,0,0,0,14,9,34,4,5,279,0.776854135,4,1771.328,191,201.122,141.767,127,1765.574,1761.15,1765.866,67.067,145.362,0,
org.apache.tools.ant.DemuxOutputStream,0,0,0,0,0,0,0,0,0,7,2,18,1,1,118,0.824365749,2,1931.666,193,205.302,151.182,134,1926.666,1922.19,1926.666,75.027,151.182,0,
org.apache.tools.ant.DesirableFilter,0,0,0,0,0,0,0,0,0,2,0,6,0,0,63,0.885416667,0,1986.594,195,208.926,155.309,136,1981.672,1977.198,1981.604,80.056,154.434,0,
org.apache.tools.ant.DirectoryScanner,1,0,0,0,0,0,0,0,0,23,25,52,23,2,1489,0.049170261,24,576.925,171.003,179.324,123.438,111.004,562.069,551.613,562.268,59.933,124.338,0,37
org.apache.tools.ant.ExitException,0,0,0,0,0,0,0,0,0,2,1,7,1,0,20,0.979275174,1,2029.294,194,207.993,154.434,135,2024.506,2020.194,2024.44,80.056,153.561,0,
org.apache.tools.ant.FileScanner,0,0,0,0,0,0,0,0,0,13,5,13,5,0,13,1,2,2036.167,193,203.335,145.798,131,2031.229,2027.193,2031.164,69.857,144.9,0,
org.apache.tools.ant.IntrospectionHelper,1,3,1,0,1,0,2,0,0,23,31,82,22,27,1093,0.609966975,4,966.069,191,198.487,118.072,105.001,952.803,947.001,953.718,54.009,125.24,11,335
org.apache.tools.ant.Launcher,0,0,0,0,0,0,0,0,0,7,2,52,0,2,412,0.874711414,1,1639.518,194,206.243,151.182,134,1633.505,1628.208,1633.588,74.673,152.069,0,
org.apache.tools.ant.listener.Log4jListener,0,0,0,0,0,0,0,0,0,9,7,34,0,7,298,0.874354287,0,1752.88,195,206.516,145.825,129,1746.77,1742.127,1747.223,71.169,151.159,0,
org.apache.tools.ant.Location,0,0,0,0,0,0,0,0,0,5,58,10,58,0,69,0.948672824,5,1980.137,190,203.185,106.151,78,1972.543,1971.199,1972.503,77.253,105.418,0,
org.apache.tools.ant.Main,0,0,0,0,0,0,0,0,0,18,8,91,0,8,1400,0.871213427,1,668.757,194,202.773,140.943,128,652.674,640.312,654.083,62.298,147.33,0,
org.apache.tools.ant.NoBannerLogger,0,0,0,0,0,0,0,0,0,4,3,16,0,3,59,0.874457156,1,1990.477,194,207.28,151.717,133,1985.46,1981.158,1985.595,77.162,153.473,0,
org.apache.tools.ant.PathTokenizer,0,0,0,0,0,0,0,0,0,3,2,15,2,0,100,0.888219763,3,1949.478,192,205.767,153.075,134,1944.622,1940.202,1944.554,79.12,152.201,0,
org.apache.tools.ant.Project,1,2,1,0,0,0,2,0,0,76,120,177,114,12,1776,0.182132775,114,276.147,81.004,81.006,16.031,16.021,264.484,264.484,264.834,16.031,21.024,6,62
org.apache.tools.ant.ProjectComponent,0,0,0,0,0,0,0,0,0,5,59,7,59,1,33,0.94912084,36,2013.288,159,174.542,105.418,77,2008.477,2007.182,2008.438,76.896,104.69,0,
