"Class Name","Tested","#Bugs","#Blocker","#Critical","#Major","#Normal","#Minor","#Trivial","WMC","CBO","RFC","Ca","Ce","LOC","Qi","FANIN","d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)","Risk1","TLOC"
"org.apache.tools.ant.AntClassLoader","0","3","0","0","0","3","0","0","39","15","103","10","6","1377","0.460664479908796","15","687","180.00081","183.96739","126.82665","121.0012","673.95104","663.36491","674.68067","43.909","130.64838","9",""
"org.apache.tools.ant.BuildEvent","0","0","0","0","0","0","0","0","11","12","15","9","4","97","0.881918528631835","9","1951.88242","186.00004","197.36261","140.47064","124.00006","1946.95275","1943.14822","1947.08115","70.2282","142.23924","0",""
"org.apache.tools.ant.BuildException","0","0","0","0","0","0","0","0","14","136","26","135","1","153","0.819040353572954","195","1887","0.18096","63","63","0.18096","1887","1887.19315","1887","68.54196","63","0",""
"org.apache.tools.ant.BuildListener","0","0","0","0","0","0","0","0","7","11","7","10","1","7","1","0","2042.33053","195","207.18349","143.26549","125","2036.83922","2033.17928","2036.83922","75.02666000000001","143.26549","0",""
"org.apache.tools.ant.BuildLogger","0","0","0","0","0","0","0","0","4","4","4","3","1","4","1","1","2045.22175","194","207.28","150.84098","132","2040.27449","2036.17902","2040.27449","77.83315","150.84098","0",""
"org.apache.tools.ant.Constants","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2049.29866","195","209.65209","156.285","136","2044.52831","2040.19215","2044.46203","81.9329","155.41557","0",""
"org.apache.tools.ant.DefaultLogger","0","0","0","0","0","0","0","0","14","9","34","4","5","279","0.776854135332314","4","1771.32775","191.00013","201.12185","141.76742","127.0002","1765.57356","1761.15019","1765.86579","67.06713000000001","145.36162","0",""
"org.apache.tools.ant.DemuxOutputStream","0","0","0","0","0","0","0","0","7","2","18","1","1","118","0.824365748797755","2","1931.66586","193.00008","205.30222","151.18201","134.00012","1926.66551","1922.18964","1926.66551","75.02666000000001","151.18201","0",""
"org.apache.tools.ant.DesirableFilter","0","0","0","0","0","0","0","0","2","0","6","0","0","63","0.885416666666666","0","1986.59357","195.00003","208.92582","155.30937","136.00005","1981.67227","1977.19827","1981.6039","80.05623","154.43445","0",""
"org.apache.tools.ant.DirectoryScanner","1","0","0","0","0","0","0","0","23","25","52","23","2","1489","0.0491702614212233","24","576.92461","171.00264","179.32373","123.43824","111.00407","562.06939","551.6130900000001","562.26773","59.9333","124.33825","0","37"
"org.apache.tools.ant.ExitException","0","0","0","0","0","0","0","0","2","1","7","1","0","20","0.979275173611111","1","2029.29446","194","207.99279","154.43445","135","2024.50611","2020.19405","2024.43968","80.05623","153.56106","0",""
"org.apache.tools.ant.FileScanner","0","0","0","0","0","0","0","0","13","5","13","5","0","13","1","2","2036.16748","193","203.3347","145.79781","131","2031.22869","2027.19338","2031.16444","69.857","144.89997","0",""
"org.apache.tools.ant.IntrospectionHelper","1","3","0","1","0","2","0","0","23","31","82","22","27","1093","0.60996697539369","4","966.06936","191.0004","198.48678","118.07201","105.00072","952.80323","947.00053","953.71799","54.00926","125.23977","11","335"
"org.apache.tools.ant.Launcher","0","0","0","0","0","0","0","0","7","2","52","0","2","412","0.874711414378166","1","1639.51822","194.00004","206.24258","151.18201","134.00006","1633.50543","1628.2076","1633.58777","74.67261999999999","152.06906","0",""
"org.apache.tools.ant.listener.Log4jListener","0","0","0","0","0","0","0","0","9","7","34","0","7","298","0.874354286939514","0","1752.8802","195.00004","206.51634","145.82524","129.00006","1746.76988","1742.12657","1747.22323","71.16880999999999","151.15886","0",""
"org.apache.tools.ant.Location","0","0","0","0","0","0","0","0","5","58","10","58","0","69","0.948672824435764","5","1980.13661","190.00001","203.18465","106.15084","78.00002000000001","1972.54278","1971.19887","1972.50349","77.25283","105.41821","0",""
"org.apache.tools.ant.Main","0","0","0","0","0","0","0","0","18","8","91","0","8","1400","0.871213426898983","1","668.75706","194.00004","202.77327","140.94325","128.00006","652.6745","640.31242","654.08333","62.29767","147.32956","0",""
"org.apache.tools.ant.NoBannerLogger","0","0","0","0","0","0","0","0","4","3","16","0","3","59","0.874457156172738","1","1990.47658","194.00004","207.28","151.71684","133.00006","1985.45964","1981.15774","1985.59462","77.16217","153.47312","0",""
"org.apache.tools.ant.PathTokenizer","0","0","0","0","0","0","0","0","3","2","15","2","0","100","0.888219762731481","3","1949.47788","192.00003","205.76686","153.07514","134.00005","1944.62233","1940.20205","1944.55368","79.12016","152.20053","0",""
"org.apache.tools.ant.Project","1","2","0","0","0","2","0","0","76","120","177","114","12","1776","0.182132774627126","114","276.1467","81.00413","81.00617","16.03122","16.02089","264.4844","264.4844","264.83391","16.03122","21.0238","6","62"
"org.apache.tools.ant.ProjectComponent","0","0","0","0","0","0","0","0","5","59","7","59","1","33","0.94912084014444","36","2013.28835","159.00001","174.54226","105.41821","77.00002000000001","2008.47654","2007.18161","2008.43845","76.89603","104.69002","0",""
