@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-5,7-10'

@attribute 'd(LOC, CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.899226,0
0.837309,0
0.992059,0
0.995607,0
1,0
0.711902,0
0.878274,0
0.935084,0
-0.531048,0
0.979322,0
0.986264,0
0.575505,0
0.692482,0
0.925655,0
-0.437473,0
0.938995,0
0.89682,0
0.962767,0
0.826305,0
0.998371,0
0.229441,0
0.867548,0
0.997668,0
0.829145,0
0.867479,0
0.844878,0
0.931509,0
0.961463,0
0.770623,0
0.875723,0
0.810735,0
0.965585,0
0.909935,0
0.976093,0
0.998371,0
0.918875,0
0.964757,0
0.965788,0
0.976093,0
0.89984,0
0.944079,0
0.726472,0
0.859515,0
0.588877,0
-0.294173,0
0.279513,0
0.843173,0
0.843848,0
0.847969,0
0.628711,0
0.82125,0
0.994184,0
0.825443,0
0.950194,0
0.690271,0
0.901691,0
0.583326,0
0.593622,0
0.778126,0
0.844204,0
0.452172,0
0.469102,0
0.929861,0
0.818303,0
0.848325,0
0.726854,0
0.904714,0
0.967384,0
0.591726,0
0.994576,0
0.81934,0
0.913235,0
0.84847,0
0.84612,0
0.826261,0
0.602809,0
0.336921,0
0.792259,0
0.62982,0
0.895648,0
0.302424,0
0.252954,0
0.350027,0
0.900592,0
0.995474,0
0.884104,0
0.842817,0
0.901623,0
0.756494,0
0.966818,0
0.511181,0
0.86076,0
0.959743,0
0.940165,0
0.696302,0
0.995809,0
0.905813,0
0.714993,0
0.776453,0
0.831483,0
0.995741,0
0.24015,0
0.848592,0
0.970941,0
0.937834,0
0.951157,0
0.817273,0
0.589803,0
0.51925,0
0.928553,0
0.703513,0
0.425585,0
0.929721,0
0.613675,0
0.995812,0
0.979253,0
0.983375,0
0.974995,0
0.922234,0
0.932743,0
0.99554,0
0.466667,0
0.457076,0
0.916467,0
0.901012,0
0.364602,0
0.9752,0
0.230572,0
0.377874,0
0.549689,0
0.717664,0
0.612398,0
0.611369,0
0.992718,0
0.921478,0
0.523787,0
0.993479,0
0.848397,0
-0.191962,0
0.907874,0
-0.415499,1
-0.415499,1
-0.415499,1
-0.127507,1
-0.127507,1
-0.127507,1
-0.838387,1
-0.838387,1
0.421339,1
0.421339,1
0.421339,1
0.845839,1
0.845839,1
0.666536,1
0.843918,1
0.482191,1
0.590294,1
0.715731,1
0.085057,1
0.257346,1
0.257346,1
0.62214,1
0.491624,1
0.491624,1
0.469181,1
0.31916,1
0.246874,1
-0.308783,1
0.332789,1
-1,1
0.503808,1
0.885066,1
-0.190053,1
0.372841,1
0.988393,1
0.98846,1
-0.463343,1
0.53628,1
0.549188,1
0.256898,1
0.942079,1
0.887955,1
0.748772,1
0.748772,1
0.748772,1
0.232524,1
0.858699,1
0.95033,1
0.851343,1
0.713962,1
