"Class Name","Tested","#Bugs","#Blocker","#Critical","#Major","#Normal","#Minor","#Trivial","WMC","CBO","RFC","Ca","Ce","LOC","Qi","FANIN","d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)","Risk1","TLOC"
"org.apache.tools.ant.AntClassLoader","0","3","0","0","0","3","0","0","39","15","103","10","6","1377","0.460664479908796","15","687","180.0008080059732","183.96738841436","126.8266533501535","121.0012019890845","673.9510367971845","663.3649071212616","674.6806652039171","43.9089968002003","130.6483830745716","9",""
"org.apache.tools.ant.BuildEvent","0","0","0","0","0","0","0","0","11","12","15","9","4","97","0.881918528631835","9","1951.88242473772","186.0000374818077","197.3626104407823","140.470637501223","124.0000562227045","1946.952747243754","1943.148218741947","1947.081148796834","70.22819946431775","142.2392350935564","0",""
"org.apache.tools.ant.BuildException","0","0","0","0","0","0","0","0","14","136","26","135","1","153","0.819040353572954","195","1887","0.180959646427046","63","63","0.180959646427046","1887","1887.193153866344","1887","68.54195795277518","63","0",""
"org.apache.tools.ant.BuildListener","0","0","0","0","0","0","0","0","7","11","7","10","1","7","1","0","2042.330531525198","195","207.1834935510066","143.265487818944","125","2036.83921800421","2033.17928378193","2036.83921800421","75.02666192761077","143.265487818944","0",""
"org.apache.tools.ant.BuildLogger","0","0","0","0","0","0","0","0","4","4","4","3","1","4","1","1","2045.221748368621","194","207.2800038595137","150.8409758653132","132","2040.274491336889","2036.17901963457","2040.274491336889","77.83315488916018","150.8409758653132","0",""
"org.apache.tools.ant.Constants","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2049.298660517788","195","209.6520927632252","156.2849960808778","136","2044.528307458716","2040.192147813534","2044.462031929182","81.93289937503738","155.4155719353759","0",""
"org.apache.tools.ant.DefaultLogger","0","0","0","0","0","0","0","0","14","9","34","4","5","279","0.776854135332314","4","1771.327750587113","191.0001303509422","201.1218536111877","141.7674151559518","127.0001960395216","1765.573561197607","1761.1501923459","1765.865793314996","67.06713054842886","145.3616180427282","0",""
"org.apache.tools.ant.DemuxOutputStream","0","0","0","0","0","0","0","0","7","2","18","1","1","118","0.824365748797755","2","1931.665861374581","193.0000799155021","205.3022162569123","151.1820095117141","134.0001151021528","1926.665513263784","1922.189636846479","1926.665513263784","75.02666192761077","151.1820095117141","0",""
"org.apache.tools.ant.DesirableFilter","0","0","0","0","0","0","0","0","2","0","6","0","0","63","0.885416666666666","0","1986.593566887802","195.0000336649722","208.9258241577618","155.3093686807077","136.0000482696248","1981.672273611356","1977.198270280449","1981.603895837914","80.05623023850174","154.434452114805","0",""
"org.apache.tools.ant.DirectoryScanner","1","0","0","0","0","0","0","0","23","25","52","23","2","1489","0.0491702614212233","24","576.9246051261811","171.002643480128","179.3237296065415","123.4382436686459","111.00407234508","562.0693907339199","551.6130890397725","562.2677298227243","59.93329625508679","124.3382483389564","0","37"
"org.apache.tools.ant.ExitException","0","0","0","0","0","0","0","0","2","1","7","1","0","20","0.979275173611111","1","2029.294458672767","194.0000011070063","207.992788336519","154.434452114805","135.000001590809","2024.506112611172","2020.194050085288","2024.439675564575","80.05623023850174","153.5610627730871","0",""
"org.apache.tools.ant.FileScanner","0","0","0","0","0","0","0","0","13","5","13","5","0","13","1","2","2036.167478376963","193","203.3346994489627","145.7978051961003","131","2031.228692195933","2027.193380020762","2031.164444352057","69.85699678629192","144.8999654934397","0",""
"org.apache.tools.ant.IntrospectionHelper","1","3","0","1","0","2","0","0","23","31","82","22","27","1093","0.60996697539369","4","966.0693556882964","191.0003982345594","198.4867753781093","118.0720119249266","105.0007244058834","952.8032325721822","947.0005279829574","953.7179876672139","54.00925846556311","125.2397700413092","11","335"
"org.apache.tools.ant.Launcher","0","0","0","0","0","0","0","0","7","2","52","0","2","412","0.874711414378166","1","1639.518221917646","194.0000404567733","206.2425756239482","151.1820095117141","134.0000585717398","1633.505433110034","1628.207603470761","1633.587769297995","74.67261881037788","152.0690632574555","0",""
"org.apache.tools.ant.listener.Log4jListener","0","0","0","0","0","0","0","0","9","7","34","0","7","298","0.874354286939514","0","1752.880201268757","195.0000404790861","206.5163431789358","145.8252378705415","129.000061189308","1746.769876085571","1742.126574046788","1747.223225578232","71.16881339463234","151.1588568361113","0",""
"org.apache.tools.ant.Location","0","0","0","0","0","0","0","0","5","58","10","58","0","69","0.948672824435764","5","1980.136611448816","190.0000069328392","203.1846450891405","106.1508360777248","78.00001688768376","1972.542775201592","1971.198873782146","1972.503485421509","77.25283166331187","105.4182147448912","0",""
"org.apache.tools.ant.Main","0","0","0","0","0","0","0","0","18","8","91","0","8","1400","0.871213426898983","1","668.7570560375419","194.0000427473701","202.7732724004818","140.9432509913121","128.0000647889735","652.6744977398764","640.3124237432849","654.0833280248014","62.29767250869008","147.3295625460145","0",""
"org.apache.tools.ant.NoBannerLogger","0","0","0","0","0","0","0","0","4","3","16","0","3","59","0.874457156172738","1","1990.476576099302","194.0000406211443","207.2800038595137","151.7168415173477","133.0000592518877","1985.459644515597","1981.157742331488","1985.594621265882","77.1621668954417","153.4731246831184","0",""
"org.apache.tools.ant.PathTokenizer","0","0","0","0","0","0","0","0","3","2","15","2","0","100","0.888219762731481","3","1949.477878817813","192.0000325385948","205.7668583615933","153.0751449452196","134.00004662246","1944.622328371245","1940.20205133383","1944.553676296954","79.12016177940993","152.2005256232711","0",""
