Class Name,Tested,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC,"d(RFC,d(LOC, Ca))","d(RFC, Ca)","d(LOC,d(RFC, Ca))","d(LOC, RFC, Ca)","d(d(LOC,Ce),d(RFC, Ca))","d(LOC, WMC)","d(d(LOC,WMC),d(RFC, Ca))","D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))","d(LOC, RFC)","d(WMC, RFC)",#Hbugs,#Mbugs,#Lbugs,#Nbugs,#Severity,#Score,#Risk
org.apache.tools.ant.AntClassLoader,0,3,1,0,0,0,3,0,0,39,15,103,10,6,1377,0.46066448,15,687,180.000808,183.9673884,126.8266534,121.001202,673.9510368,663.3649071,674.6806652,43.9089968,130.6483831,9,,1372.93481,155.8011553,668.0753056,681.0602029,1379.278385,664.0880966,1379.814763,3722134.253,439662,1537,0,3,0,3,1,3,9
org.apache.tools.ant.BuildEvent,0,0,0,0,0,0,0,0,0,11,12,15,9,4,97,0.881918529,9,1951.882425,186.0000375,197.3626104,140.4706375,124.0000562,1946.952747,1943.148219,1947.081149,70.22819946,142.2392351,0,,205.5335408,220.5379786,1943.078409,1955.475901,98.60135034,1944.120624,98.88492882,386366.0127,3775430,4537,0,0,0,0,0,0,0
org.apache.tools.ant.BuildException,0,0,0,0,0,0,0,0,0,14,136,26,135,1,153,0.819040354,195,1887,0.180959646,63,63,0.180959646,1887,1887.193154,1887,68.54195795,63,0,,231.7202872,170,1888.224601,1894.642183,167.4271036,1888.051376,167.7948136,600857.0245,3560939,4139,0,0,0,0,0,0,0
org.apache.tools.ant.BuildListener,0,0,0,0,0,0,0,0,0,7,11,7,10,1,7,1,0,2042.330532,195,207.1834936,143.2654878,125,2036.839218,2033.179284,2036.839218,75.02666193,143.2654878,0,,189.1536605,226.5965578,2033.031946,2045.589157,13.38189274,2034.204759,13.50655385,28518.0033,4133278,5089,0,0,0,0,0,0,0
org.apache.tools.ant.BuildLogger,0,0,0,0,0,0,0,0,0,4,4,4,3,1,4,1,1,2045.221748,194,207.2800039,150.8409759,132,2040.274491,2036.17902,2040.274491,77.83315489,150.8409759,0,,192.0456599,232.9978541,2036.006129,2049.288657,6.40809241,2037.308273,6.491106815,16308.0013,4145488,5521,0,0,0,0,0,0,0
org.apache.tools.ant.Constants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2049.298661,195,209.6520928,156.2849961,136,2044.528307,2040.192148,2044.462032,81.93289938,155.4155719,0,,196,237.9936974,2040,2053.83568,0,2041.452669,0,0,4161796,6125,0,0,0,0,0,0,0
org.apache.tools.ant.DefaultLogger,0,0,0,0,0,0,0,0,0,14,9,34,4,5,279,0.776854135,4,1771.327751,191.0001304,201.1218536,141.7674152,127.000196,1765.573561,1761.150192,1765.865793,67.06713055,145.361618,0,,322.2729653,208.3386666,1761.249676,1773.28114,280.6133172,1762.126556,280.895885,1060513.037,3101283,4131,0,0,0,0,0,0,0
org.apache.tools.ant.DemuxOutputStream,0,0,0,0,0,0,0,0,0,7,2,18,1,1,118,0.824365749,2,1931.665861,193.0000799,205.3022163,151.1820095,134.0001151,1926.665513,1922.189637,1926.665513,75.02666193,151.1820095,0,,213.4479323,222.8003591,1922.06005,1934.870538,118.9765949,1923.274291,119.1510238,467534.0151,3694262,5078,0,0,0,0,0,0,0
org.apache.tools.ant.DesirableFilter,0,0,0,0,0,0,0,0,0,2,0,6,0,0,63,0.885416667,0,1986.593567,195.0000337,208.9258242,155.3093687,136.0000483,1981.672274,1977.19827,1981.603896,80.05623024,154.4344521,0,,200.1278223,233.0772404,1977.006113,1990.69184,63.18544259,1978.422099,63.2220244,253077.0079,3908719,5815,0,0,0,0,0,0,0
org.apache.tools.ant.DirectoryScanner,1,0,0,0,0,0,0,0,0,23,25,52,23,2,1489,0.049170261,24,576.9246051,171.0026435,179.3237296,123.4382437,111.0040723,562.0693907,551.613089,562.2677298,59.93329626,124.3382483,0,37,1489.172908,182.428068,553.7946724,580.4145071,1489.615774,553.6397746,1488.850143,3858051.285,303745,3060,0,0,0,0,0,0,0
