Class Name,Tested,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC
org.apache.tools.ant.AntClassLoader,0,3,1,0,0,0,3,0,0,39,15,103,10,6,1377,0.46066448,15,687,180.000808,183.9673884,126.8266534,121.001202,673.9510368,663.3649071,674.6806652,43.9089968,130.6483831,9,
org.apache.tools.ant.BuildEvent,0,0,0,0,0,0,0,0,0,11,12,15,9,4,97,0.881918529,9,1951.882425,186.0000375,197.3626104,140.4706375,124.0000562,1946.952747,1943.148219,1947.081149,70.22819946,142.2392351,0,
org.apache.tools.ant.BuildException,0,0,0,0,0,0,0,0,0,14,136,26,135,1,153,0.819040354,195,1887,0.180959646,63,63,0.180959646,1887,1887.193154,1887,68.54195795,63,0,
org.apache.tools.ant.BuildListener,0,0,0,0,0,0,0,0,0,7,11,7,10,1,7,1,0,2042.330532,195,207.1834936,143.2654878,125,2036.839218,2033.179284,2036.839218,75.02666193,143.2654878,0,
org.apache.tools.ant.BuildLogger,0,0,0,0,0,0,0,0,0,4,4,4,3,1,4,1,1,2045.221748,194,207.2800039,150.8409759,132,2040.274491,2036.17902,2040.274491,77.83315489,150.8409759,0,
org.apache.tools.ant.Constants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2049.298661,195,209.6520928,156.2849961,136,2044.528307,2040.192148,2044.462032,81.93289938,155.4155719,0,
org.apache.tools.ant.DefaultLogger,0,0,0,0,0,0,0,0,0,14,9,34,4,5,279,0.776854135,4,1771.327751,191.0001304,201.1218536,141.7674152,127.000196,1765.573561,1761.150192,1765.865793,67.06713055,145.361618,0,
org.apache.tools.ant.DemuxOutputStream,0,0,0,0,0,0,0,0,0,7,2,18,1,1,118,0.824365749,2,1931.665861,193.0000799,205.3022163,151.1820095,134.0001151,1926.665513,1922.189637,1926.665513,75.02666193,151.1820095,0,
org.apache.tools.ant.DesirableFilter,0,0,0,0,0,0,0,0,0,2,0,6,0,0,63,0.885416667,0,1986.593567,195.0000337,208.9258242,155.3093687,136.0000483,1981.672274,1977.19827,1981.603896,80.05623024,154.4344521,0,
org.apache.tools.ant.DirectoryScanner,1,0,0,0,0,0,0,0,0,23,25,52,23,2,1489,0.049170261,24,576.9246051,171.0026435,179.3237296,123.4382437,111.0040723,562.0693907,551.613089,562.2677298,59.93329626,124.3382483,0,37
