@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1-3,5-10'

@attribute 'd( WMC,CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.774489,0
-0.330232,0
0.814344,0
0.922369,0
1,0
0.792981,0
0.927232,0
0.986088,0
0.53161,0
0.973611,0
0.850454,0
0.927232,0
0.850845,0
0.285094,0
0.781229,0
0.934859,0
0.954228,0
0.274647,0
-0.267251,0
0.881905,0
0.844234,0
0.84497,0
0.936315,0
0.830553,0
0.867403,0
0.879736,0
0.899225,0
0.911565,0
0.874618,0
0.874618,0
0.84791,0
0.911565,0
0.897456,0
0.948725,0
0.881905,0
0.773931,0
0.934859,0
0.948725,0
0.948725,0
0.941756,0
0.922369,0
0.857533,0
0.896165,0
0.710162,0
0.933872,0
0.749359,0
0.934859,0
0.851774,0
0.851774,0
0.856899,0
0.871135,0
0.840798,0
0.870118,0
0.909901,0
0.846195,0
0.883639,0
0.818569,0
0.857533,0
0.909901,0
0.921282,0
0.754749,0
0.591416,0
0.959903,0
0.923928,0
0.882339,0
0.920667,0
0.864296,0
0.862352,0
0.876116,0
0.943395,0
0.653753,0
0.941756,0
0.953156,0
0.916879,0
0.825659,0
0.805766,0
0.683336,0
0.832429,0
0.826055,0
0.915504,0
0.782493,0
0.504895,0
0.697324,0
0.892094,0
0.897456,0
0.892094,0
0.879736,0
0.878048,0
0.882724,0
0.941756,0
0.781229,0
0.907761,0
0.973611,0
0.966722,0
0.807414,0
0.980572,0
0.904475,0
0.853191,0
0.756184,0
0.838241,0
0.954228,0
0.69859,0
0.756184,0
0.948725,0
0.706172,0
0.904475,0
0.882724,0
0.488867,0
0.755364,0
0.902996,0
0.787088,0
0.743439,0
0.921282,0
0.953156,0
0.769662,0
0.94737,0
0.94737,0
0.922369,0
0.878048,0
0.915504,0
0.909901,0
0.787088,0
0.797553,0
0.953156,0
0.953156,0
0.842369,0
0.987602,0
0.737811,0
0.857923,0
0.863908,0
0.933354,0
0.821696,0
0.895351,0
0.987602,0
0.895016,0
0.791925,0
0.896165,0
0.927232,0
0.80016,0
0.876841,0
0.579928,1
0.455088,1
-1,1
0.56995,1
0.818967,1
0.557015,1
0.878048,1
0.786634,1
0.755364,1
0.72921,1
0.649806,1
0.665814,1
0.767473,1
0.858654,1
0.621886,1
0.518856,1
0.672189,1
0.761453,1
0.414255,1
0.311462,1
0.840798,1
0.812103,1
0.643843,1
0.782493,1
0.936315,1
0.948725,1
0.553937,1
0.494423,1
0.722968,1
0.410351,1
0.730404,1
0.800561,1
0.794942,1
0.806215,1
0.940585,1
0.941756,1
0.915504,1
0.867403,1
