@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P269.0-S1-weka.filters.unsupervised.attribute.Remove-R1-7,9-10'

@attribute 'd(LOC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.898321,0
0.835588,0
0.992041,0
0.995628,0
1,0
0.709108,0
0.877005,0
0.934368,0
-0.54761,0
0.979094,0
0.986116,0
0.570992,0
0.689643,0
0.924866,0
-0.451742,0
0.938535,0
0.895682,0
0.962387,0
0.824526,0
0.998423,0
0.221673,0
0.866662,0
0.997712,0
0.828052,0
0.866589,0
0.843675,0
0.931172,0
0.961383,0
0.768693,0
0.874921,0
0.809306,0
0.96555,0
0.909367,0
0.975968,0
0.998423,0
0.918391,0
0.964508,0
0.96555,0
0.975968,0
0.898879,0
0.943743,0
0.723998,0
0.85833,0
0.58556,0
-0.30816,0
0.272568,0
0.841666,0
0.842707,0
0.846873,0
0.625024,0
0.81972,0
0.994125,0
0.823592,0
0.949994,0
0.687561,0
0.901034,0
0.579317,0
0.589723,0
0.776059,0
0.842707,0
0.447014,0
0.464879,0
0.929159,0
0.816671,0
0.846799,0
0.723998,0
0.903736,0
0.967293,0
0.587556,0
0.994518,0
0.817821,0
0.912492,0
0.846873,0
0.844716,0
0.825002,0
0.599004,0
0.330558,0
0.790637,0
0.626065,0
0.894785,0
0.295221,0
0.245973,0
0.343877,0
0.899921,0
0.995628,0
0.883254,0
0.841592,0
0.900962,0
0.754192,0
0.966662,0
0.506486,0
0.859371,0
0.959299,0
0.939576,0
0.693568,0
0.995833,0
0.905129,0
0.712546,0
0.77494,0
0.83021,0
0.995695,0
0.232989,0
0.8472,0
0.970829,0
0.937219,0
0.950757,0
0.815555,0
0.585843,0
0.514285,0
0.927836,0
0.700856,0
0.419696,0
0.929018,0
0.609412,0
0.995774,0
0.979094,0
0.983261,0
0.974789,0
0.921867,0
0.932284,0
0.99556,0
0.461759,0
0.451266,0
0.915546,0
0.899921,0
0.357586,0
0.974927,0
0.222284,0
0.371198,0
0.544892,0
0.714549,0
0.608455,0
0.60733,0
0.992638,0
0.920754,0
0.518793,0
0.993476,0
0.846726,0
-0.204697,0
0.906861,0
-0.430236,1
-0.138883,1
-0.858171,1
0.41553,1
0.844354,1
0.663144,1
0.842414,1
0.477269,1
0.586516,1
0.713587,1
0.076475,1
0.250648,1
0.618613,1
0.486721,1
0.464516,1
0.313057,1
0.240154,1
-0.321712,1
0.326577,1
-1,1
0.499204,1
0.883941,1
-0.201134,1
0.367137,1
0.988471,1
0.98854,1
-0.475884,1
0.531249,1
0.544892,1
0.249296,1
0.941573,1
0.887206,1
0.746672,1
0.224257,1
0.857215,1
0.949923,1
0.849998,1
0.710961,1
-0.452226,1
-0.364258,1
-0.359427,1
-0.253772,1
-0.310145,1
-0.044681,1
-0.347063,1
-0.750798,1
-0.441976,1
0.444759,1
0.315391,1
0.341214,1
0.845244,1
0.863053,1
0.873987,1
0.634203,1
0.704996,1
0.84859,1
0.844521,1
0.84296,1
0.549251,1
0.601567,1
0.477375,1
0.601722,1
0.609513,1
0.510091,1
0.669451,1
0.627774,1
0.787174,1
0.265458,1
0.126999,1
0.241579,1
0.372084,1
0.235636,1
0.54524,1
0.578377,1
0.581716,1
0.52002,1
0.481809,1
0.466144,1
0.420448,1
0.441813,1
0.299911,1
0.264812,1
0.271644,1
0.247747,1
0.35926,1
-0.314871,1
0.038855,1
-0.315499,1
0.463936,1
0.413319,1
-0.815423,1
-0.695216,1
0.436129,1
0.48984,1
0.48919,1
0.888521,1
0.941271,1
0.855836,1
-0.259182,1
-0.205326,1
0.36194,1
0.2515,1
0.444228,1
0.961733,1
0.865051,1
0.971413,1
0.979819,1
0.988501,1
-0.28613,1
-0.465322,1
-0.469029,1
0.355867,1
0.483416,1
0.47736,1
0.540817,1
0.706313,1
0.493511,1
0.270825,1
0.278968,1
0.906845,1
0.848809,1
0.862676,1
0.857612,1
0.850357,1
0.720593,1
0.850374,1
0.830031,1
0.343004,1
0.232572,1
0.302237,1
0.853241,1
0.902642,1
0.854328,1
0.967151,1
0.988062,1
0.903337,1
0.851124,1
0.714109,1
0.772255,1
0.786813,1
