@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P269.0-S1-weka.filters.unsupervised.attribute.Remove-R1-2,4-10'

@attribute 'd(WMC,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.832399,0
-1,0
0.966334,0
0.96765,0
1,0
0.883667,0
0.940678,0
0.990095,0
0.58639,0
0.977371,0
0.913845,0
0.953502,0
0.957236,0
0.911799,0
0.906189,0
0.96765,0
0.947014,0
0.521182,0
-0.806949,0
0.982317,0
0.901241,0
0.897566,0
0.977371,0
0.959744,0
0.972482,0
0.985228,0
0.990095,0
0.990095,0
0.990095,0
0.990095,0
0.96765,0
0.990095,0
0.980418,0
0.990095,0
0.969623,0
0.900904,0
0.980418,0
0.990095,0
0.990095,0
0.985228,0
0.980418,0
0.923219,0
0.932562,0
0.8924,0
0.95816,0
0.823956,0
0.929395,0
0.915052,0
0.927861,0
0.888376,0
0.95816,0
0.950094,0
0.923219,0
0.942139,0
0.919775,0
0.919775,0
0.896622,0
0.910389,0
0.942139,0
0.919775,0
0.883667,0
0.639803,0
0.96765,0
0.990095,0
0.931096,0
0.910389,0
0.851129,0
0.71232,0
0.931496,0
0.969623,0
0.703046,0
0.934293,0
0.962876,0
0.947014,0
0.918637,0
0.883667,0
0.823713,0
0.910389,0
0.897162,0
0.937321,0
0.859146,0
0.757347,0
0.85812,0
0.985228,0
0.96765,0
0.959744,0
0.985228,0
0.975666,0
0.961755,0
0.947014,0
0.867072,0
0.901241,0
0.977371,0
0.972482,0
0.897566,0
0.995019,0
0.947014,0
0.937321,0
0.901241,0
0.905785,0
0.972482,0
0.855278,0
0.849825,0
0.990095,0
0.721526,0
0.934293,0
0.948903,0
0.724119,0
0.854044,0
0.950094,0
0.870991,0
0.872217,0
0.716367,0
0.924556,0
0.959744,0
0.980418,0
0.980418,0
0.942139,0
0.962876,0
0.962876,0
0.95489,0
0.935458,0
0.859796,0
0.950094,0
0.962876,0
0.868367,0
1,0
0.820106,0
0.901241,0
0.905381,0
0.936057,0
0.898376,0
0.948903,0
1,0
0.926993,0
0.860856,0
0.945357,0
0.927861,0
0.897162,0
0.915052,0
0.649719,1
0.847731,1
-0.754437,1
0.771879,1
0.875518,1
0.737726,1
0.89905,1
0.836301,1
0.867072,1
0.81037,1
0.819551,1
0.833021,1
0.883667,1
0.932562,1
0.769085,1
0.555894,1
0.8924,1
0.871128,1
0.731021,1
0.745628,1
0.962876,1
0.836301,1
0.823713,1
0.923219,1
0.990095,1
0.990095,1
0.79037,1
0.207467,1
0.757916,1
-0.168429,1
0.873579,1
0.777704,1
0.668221,1
0.836301,1
0.950094,1
0.934293,1
0.962876,1
0.870821,1
0.762975,1
0.64994,1
0.846753,1
0.831054,1
0.657161,1
0.842817,1
0.378367,1
-0.65642,1
-0.403634,1
0.770933,1
0.827352,1
0.74357,1
0.952445,1
0.84424,1
0.825367,1
0.878675,1
0.790302,1
0.858391,1
0.903796,1
0.920619,1
0.857423,1
0.878518,1
0.881539,1
0.87083,1
0.88066,1
0.849624,1
0.826983,1
0.863008,1
0.832784,1
0.682651,1
0.831026,1
0.834024,1
0.775884,1
0.8349,1
0.858419,1
0.785536,1
0.786988,1
0.912651,1
0.841396,1
0.780822,1
0.770325,1
0.79544,1
0.879738,1
0.716661,1
0.686337,1
0.885233,1
0.814091,1
0.857949,1
0.841576,1
0.865334,1
0.766755,1
0.764279,1
0.739976,1
0.692334,1
0.936298,1
0.94089,1
0.935294,1
0.852656,1
0.86859,1
0.853463,1
0.678631,1
0.793892,1
0.860708,1
0.901106,1
0.92921,1
0.951416,1
0.926912,1
0.983497,1
0.952748,1
0.990095,1
0.80692,1
0.725674,1
0.660749,1
-0.065127,1
0.057137,1
0.020661,1
0.799879,1
0.759795,1
0.095405,1
0.022677,1
0.683738,1
0.873511,1
0.873842,1
0.752337,1
0.675114,1
0.836965,1
0.727424,1
0.74288,1
0.672983,1
0.912935,1
0.83355,1
0.836301,1
0.950139,1
0.947575,1
0.949897,1
0.972007,1
0.942129,1
0.966185,1
0.962694,1
0.873705,1
0.932677,1
0.949755,1
