@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.attribute.Remove-R1-6,8-10'

@attribute 'd(LOC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.904868,0
0.850015,0
0.993125,0
0.996066,0
1,0
0.726455,0
0.884322,0
0.938247,0
-0.459254,0
0.980396,0
0.987257,0
0.596132,0
0.707806,0
0.932366,0
-0.372302,0
0.942129,0
0.90198,0
0.96764,0
0.839169,0
0.999007,0
0.266715,0
0.874436,0
0.998014,0
0.838138,0
0.874436,0
0.852881,0
0.935232,0
0.96367,0
0.782293,0
0.882278,0
0.820512,0
0.967591,0
0.914647,0
0.977417,0
0.999007,0
0.923429,0
0.966647,0
0.967614,0
0.977417,0
0.904893,0
0.947018,0
0.740154,0
0.866627,0
0.609703,0
-0.234941,0
0.3147,0
0.850968,0
0.85189,0
0.855811,0
0.647045,0
0.830347,0
0.995099,0
0.834332,0
0.952887,0
0.705823,0
0.906805,0
0.603903,0
0.613705,0
0.789189,0
0.851949,0
0.479378,0
0.495964,0
0.933332,0
0.827418,0
0.855883,0
0.740219,0
0.909807,0
0.969563,0
0.611785,0
0.995099,0
0.829355,0
0.917623,0
0.855896,0
0.853884,0
0.835216,0
0.622515,0
0.369593,0
0.802868,0
0.648052,0
0.900947,0
0.336307,0
0.290148,0
0.382312,0
0.905825,0
0.996029,0
0.890141,0
0.850921,0
0.906805,0
0.768605,0
0.968595,0
0.535275,0
0.867645,0
0.961772,0
0.943135,0
0.711716,0
0.996066,0
0.910726,0
0.729349,0
0.788127,0
0.840127,0
0.996079,0
0.277415,0
0.856837,0
0.972515,0
0.942154,0
0.953904,0
0.82645,0
0.611732,0
0.543157,0
0.932352,0
0.718577,0
0.453945,0
0.933332,0
0.63243,0
0.997059,0
0.980383,0
0.984303,0
0.976462,0
0.926399,0
0.936235,0
0.996066,0
0.49309,0
0.483413,0
0.920604,0
0.905901,0
0.395237,0
0.976475,0
0.267784,0
0.407941,0
0.571627,0
0.731427,0
0.631389,0
0.630423,0
0.993139,0
0.925478,0
0.547107,0
0.994106,0
0.855911,0
-0.136008,0
0.912762,0
-0.349703,1
-0.071656,1
-0.740726,1
0.450976,1
0.853909,1
0.684281,1
0.851936,1
0.507816,1
0.61074,1
0.730292,1
0.130369,1
0.294059,1
0.641139,1
0.516651,1
0.496,1
0.353837,1
0.284247,1
-0.247903,1
0.366607,1
-1,1
0.528389,1
0.89117,1
-0.133321,1
0.403866,1
0.989179,1
0.989179,1
-0.395076,1
0.56083,1
0.571543,1
0.295124,1
0.946062,1
0.894051,1
0.761687,1
0.269725,1
0.865698,1
0.952924,1
0.858797,1
0.728457,1
-0.356944,1
-0.099282,1
-0.108245,1
0.473401,1
0.889762,1
0.59175,1
0.859185,1
0.507893,1
0.671638,1
0.775338,1
0.323279,1
0.293452,1
0.579973,1
0.510961,1
0.470561,1
0.302079,1
0.278821,1
-0.306156,1
0.404654,1
-0.707638,1
0.510716,1
0.92858,1
-0.10059,1
0.418492,1
0.989179,1
0.966109,1
-0.300668,1
0.541761,1
0.586156,1
0.422952,1
0.890119,1
0.892526,1
0.846943,1
0.401198,1
0.860026,1
0.855235,1
0.862293,1
0.767645,1
