@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.attribute.Remove-R2-10'

@attribute 'd(LOC,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.895155,0
0.825326,0
0.992501,0
0.995612,0
1,0
0.700833,0
0.873397,0
0.932513,0
-0.584647,0
0.97847,0
0.985868,0
0.558972,0
0.680979,0
0.925564,0
-0.485812,0
0.936693,0
0.892568,0
0.961244,0
0.814262,0
0.998826,0
0.200067,0
0.862367,0
0.997755,0
0.823073,0
0.862797,0
0.839352,0
0.9293,0
0.960363,0
0.762287,0
0.871472,0
0.803915,0
0.964647,0
0.90681,0
0.97536,0
0.998725,0
0.916131,0
0.963576,0
0.964647,0
0.97536,0
0.896101,0
0.942153,0
0.715929,0
0.854014,0
0.573684,0
-0.340511,0
0.251805,0
0.836773,0
0.837844,0
0.842236,0
0.614068,0
0.814619,0
0.994439,0
0.81868,0
0.948268,0
0.678365,0
0.897817,0
0.56727,0
0.577835,0
0.769438,0
0.837844,0
0.43146,0
0.447685,0
0.927053,0
0.811519,0
0.842454,0
0.715813,0
0.900512,0
0.96463,0
0.575947,0
0.994439,0
0.811739,0
0.9096,0
0.842454,0
0.840094,0
0.819751,0
0.587457,0
0.311803,0
0.784312,0
0.615503,0
0.891497,0
0.275702,0
0.225317,0
0.325668,0
0.897171,0
0.995612,0
0.879823,0
0.837211,0
0.898242,0
0.747306,0
0.965409,0
0.492338,0
0.854978,0
0.958116,0
0.937764,0
0.684667,0
0.995715,0
0.902207,0
0.704159,0
0.768255,0
0.824995,0
0.995612,0
0.21178,0
0.842771,0
0.970004,0
0.934796,0
0.949236,0
0.810337,0
0.57437,0
0.500756,0
0.925876,0
0.692041,0
0.40384,0
0.925148,0
0.598149,0
0.996582,0
0.978574,0
0.982859,0
0.97398,0
0.919555,0
0.930266,0
0.99551,0
0.446814,0
0.436002,0
0.913023,0
0.897064,0
0.339822,0
0.974289,0
0.201132,0
0.353832,0
0.532129,0
0.706416,0
0.597451,0
0.596382,0
0.992501,0
0.918379,0
0.505288,0
0.993367,0
0.842236,0
-0.2349,0
0.904244,0
-0.466178,1
-0.165829,1
-0.908361,1
0.399553,1
0.839771,1
0.653785,1
0.837629,1
0.461903,1
0.574628,1
0.704541,1
0.051228,1
0.229578,1
0.607773,1
0.472174,1
0.448823,1
0.291699,1
0.21939,1
-0.354868,1
0.308315,1
-1,1
0.485256,1
0.880261,1
-0.232429,1
0.349422,1
0.988215,1
0.988215,1
-0.511374,1
0.514443,1
0.531121,1
0.221358,1
0.940257,1
0.882862,1
0.737302,1
0.202794,1
0.853052,1
0.948165,1
0.845666,1
0.702401,1
-0.470719,1
-0.231523,1
-0.902879,1
0.400219,1
0.855451,1
0.562943,1
0.837866,1
0.464214,1
0.679629,1
0.812986,1
0.109327,1
0.220791,1
0.53132,1
0.470354,1
0.430619,1
0.23659,1
0.206302,1
-0.465791,1
0.346317,1
-0.828126,1
0.47384,1
0.915936,1
-0.188554,1
0.416898,1
0.988215,1
0.983901,1
-0.36949,1
0.497775,1
0.571908,1
0.456799,1
0.890328,1
0.881873,1
0.78106,1
0.36651,1
0.848606,1
0.87423,1
0.848694,1
0.798679,1
