@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.unsupervised.attribute.Remove-R1-9'

@attribute 'd(WMC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.803912,0
-0.375316,0
0.819184,0
0.931921,0
1,0
0.850378,0
0.936997,0
0.985399,0
0.537512,0
0.972401,0
0.843508,0
0.950198,0
0.936652,0
0.255946,0
0.879665,0
0.971093,0
0.952154,0
0.245109,0
-0.285055,0
0.889693,0
0.929997,0
0.943386,0
0.946476,0
0.96517,0
0.96517,0
0.96517,0
0.972401,0
0.972401,0
0.972401,0
0.972401,0
0.958013,0
0.972401,0
0.971093,0
0.972401,0
0.889693,0
0.843508,0
0.958013,0
0.972401,0
0.972401,0
0.96517,0
0.971093,0
0.943386,0
0.957087,0
0.897923,0
0.957087,0
0.873748,0
0.971093,0
0.950198,0
0.950198,0
0.916676,0
0.943926,0
0.833884,0
0.877391,0
0.971093,0
0.957087,0
0.957087,0
0.904175,0
0.943386,0
0.971093,0
0.957087,0
0.87724,0
0.834761,0
0.971093,0
0.985399,0
0.903525,0
0.943386,0
0.871316,0
0.907768,0
0.923371,0
0.94098,0
0.730499,0
0.978209,0
0.964052,0
0.96517,0
0.936652,0
0.890698,0
0.806944,0
0.943386,0
0.872076,0
0.964052,0
0.840528,0
0.668707,0
0.831406,0
0.96517,0
0.931921,0
0.96517,0
0.96517,0
0.950932,0
0.943386,0
0.978209,0
0.879665,0
0.929997,0
0.972401,0
0.978209,0
0.903725,0
0.992663,0
0.96517,0
0.964052,0
0.916676,0
0.936652,0
0.952154,0
0.848432,0
0.79773,0
0.985399,0
0.706294,0
0.926192,0
0.930145,0
0.57102,0
0.798149,0
0.911704,0
0.883399,0
0.799565,0
0.930787,0
0.950932,0
0.75993,0
0.958013,0
0.958013,0
0.931921,0
0.964052,0
0.964052,0
0.91891,0
0.923421,0
0.815597,0
0.950932,0
0.950932,0
0.834709,0
0.987085,0
0.753349,0
0.8782,0
0.884407,0
0.930145,0
0.867916,0
0.930145,0
0.987085,0
0.916676,0
0.823335,0
0.904574,0
0.923817,0
0.831406,0
0.871316,0
0.631418,1
0.550928,1
-1,1
0.643851,1
0.850378,1
0.590668,1
0.911704,1
0.897071,1
0.866037,1
0.891753,1
0.817106,1
0.854214,1
0.8638,1
0.957087,1
0.795787,1
0.711935,1
0.87091,1
0.872076,1
0.575717,1
0.606887,1
0.964052,1
0.830167,1
0.820845,1
0.943386,1
0.972401,1
0.985399,1
0.782512,1
0.485309,1
0.820845,1
0.478028,1
0.744272,1
0.883651,1
0.903725,1
0.824164,1
0.950932,1
0.96517,1
0.964052,1
0.887429,1
0.705014,1
0.774109,1
-0.718876,1
0.702891,1
0.832624,1
0.737804,1
0.939148,1
0.949907,1
0.872875,1
0.869962,1
0.771206,1
0.865267,1
0.839027,1
0.938693,1
0.751373,1
0.763231,1
0.844971,1
0.650603,1
0.630016,1
0.784507,1
0.937614,1
0.748911,1
0.766672,1
0.944103,1
0.973667,1
0.965986,1
0.784821,1
0.480609,1
0.84261,1
0.484532,1
0.783766,1
0.870481,1
0.866017,1
0.892966,1
0.955813,1
0.919706,1
0.955608,1
0.903862,1
