@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P269.0-S1-weka.filters.unsupervised.attribute.Remove-R2-10'

@attribute 'd(LOC,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.895155,0
0.825326,0
0.992501,0
0.995612,0
1,0
0.700833,0
0.873397,0
0.932513,0
-0.584647,0
0.97847,0
0.985868,0
0.558972,0
0.680979,0
0.925564,0
-0.485812,0
0.936693,0
0.892568,0
0.961244,0
0.814262,0
0.998826,0
0.200067,0
0.862367,0
0.997755,0
0.823073,0
0.862797,0
0.839352,0
0.9293,0
0.960363,0
0.762287,0
0.871472,0
0.803915,0
0.964647,0
0.90681,0
0.97536,0
0.998725,0
0.916131,0
0.963576,0
0.964647,0
0.97536,0
0.896101,0
0.942153,0
0.715929,0
0.854014,0
0.573684,0
-0.340511,0
0.251805,0
0.836773,0
0.837844,0
0.842236,0
0.614068,0
0.814619,0
0.994439,0
0.81868,0
0.948268,0
0.678365,0
0.897817,0
0.56727,0
0.577835,0
0.769438,0
0.837844,0
0.43146,0
0.447685,0
0.927053,0
0.811519,0
0.842454,0
0.715813,0
0.900512,0
0.96463,0
0.575947,0
0.994439,0
0.811739,0
0.9096,0
0.842454,0
0.840094,0
0.819751,0
0.587457,0
0.311803,0
0.784312,0
0.615503,0
0.891497,0
0.275702,0
0.225317,0
0.325668,0
0.897171,0
0.995612,0
0.879823,0
0.837211,0
0.898242,0
0.747306,0
0.965409,0
0.492338,0
0.854978,0
0.958116,0
0.937764,0
0.684667,0
0.995715,0
0.902207,0
0.704159,0
0.768255,0
0.824995,0
0.995612,0
0.21178,0
0.842771,0
0.970004,0
0.934796,0
0.949236,0
0.810337,0
0.57437,0
0.500756,0
0.925876,0
0.692041,0
0.40384,0
0.925148,0
0.598149,0
0.996582,0
0.978574,0
0.982859,0
0.97398,0
0.919555,0
0.930266,0
0.99551,0
0.446814,0
0.436002,0
0.913023,0
0.897064,0
0.339822,0
0.974289,0
0.201132,0
0.353832,0
0.532129,0
0.706416,0
0.597451,0
0.596382,0
0.992501,0
0.918379,0
0.505288,0
0.993367,0
0.842236,0
-0.2349,0
0.904244,0
-0.466178,1
-0.165829,1
-0.908361,1
0.399553,1
0.839771,1
0.653785,1
0.837629,1
0.461903,1
0.574628,1
0.704541,1
0.051228,1
0.229578,1
0.607773,1
0.472174,1
0.448823,1
0.291699,1
0.21939,1
-0.354868,1
0.308315,1
-1,1
0.485256,1
0.880261,1
-0.232429,1
0.349422,1
0.988215,1
0.988215,1
-0.511374,1
0.514443,1
0.531121,1
0.221358,1
0.940257,1
0.882862,1
0.737302,1
0.202794,1
0.853052,1
0.948165,1
0.845666,1
0.702401,1
-0.472495,1
-0.324373,1
-0.418091,1
-0.291226,1
-0.258364,1
-0.069773,1
-0.753931,1
-0.627386,1
0.051494,1
0.441121,1
0.303127,1
0.370986,1
0.844337,1
0.876063,1
0.872682,1
0.618278,1
0.666489,1
0.858423,1
0.837889,1
0.83928,1
0.503583,1
0.529962,1
0.462773,1
0.586567,1
0.577739,1
0.472796,1
0.67562,1
0.678343,1
0.723663,1
0.110081,1
0.079949,1
0.223134,1
0.384762,1
0.228372,1
0.499691,1
0.538797,1
0.533435,1
0.518772,1
0.471209,1
0.454103,1
0.423398,1
0.252795,1
0.237659,1
0.228822,1
0.245516,1
0.226742,1
0.359289,1
-0.323883,1
-0.114291,1
-0.251165,1
0.407806,1
0.344077,1
-0.816358,1
-0.954555,1
0.468017,1
0.481505,1
0.37053,1
0.939539,1
0.890018,1
0.846746,1
-0.267334,1
-0.318212,1
0.285933,1
0.286737,1
0.453778,1
0.955554,1
0.844889,1
0.870211,1
0.954628,1
0.988215,1
-0.11388,1
-0.491016,1
-0.480935,1
0.459705,1
0.380521,1
0.328507,1
0.495318,1
0.668711,1
0.241429,1
0.302586,1
0.229799,1
0.903855,1
0.861108,1
0.75265,1
0.764467,1
0.840116,1
0.734369,1
0.79329,1
0.759833,1
0.234825,1
0.216843,1
0.39761,1
0.850921,1
0.915075,1
0.876947,1
0.955466,1
0.951531,1
0.987707,1
0.849902,1
0.799745,1
0.741948,1
0.726475,1
