@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P269.0-S1-weka.filters.unsupervised.attribute.Remove-R2,4-5,7,10'

@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.895155,0.832399,0.899226,0.898321,0.714286,0
0.825326,-1,0.837309,0.835588,0.673124,0
0.992501,0.966334,0.992059,0.992041,0.831417,0
0.995612,0.96765,0.995607,0.995628,0.899924,0
1,1,1,1,1,0
0.700833,0.883667,0.711902,0.709108,0.637123,0
0.873397,0.940678,0.878274,0.877005,0.831417,0
0.932513,0.990095,0.935084,0.934368,0.95419,0
-0.584647,0.58639,-0.531048,-0.54761,0.462985,0
0.97847,0.977371,0.979322,0.979094,0.95419,0
0.985868,0.913845,0.986264,0.986116,0.705225,0
0.558972,0.953502,0.575505,0.570992,0.822775,0
0.680979,0.957236,0.692482,0.689643,0.737246,0
0.925564,0.911799,0.925655,0.924866,0.885759,0
-0.485812,0.906189,-0.437473,-0.451742,0.5207,0
0.936693,0.96765,0.938995,0.938535,0.883545,0
0.892568,0.947014,0.89682,0.895682,0.93134,0
0.961244,0.521182,0.962767,0.962387,0.877049,0
0.814262,-0.806949,0.826305,0.824526,0.491422,0
0.998826,0.982317,0.998371,0.998423,0.968772,0
0.200067,0.901241,0.229441,0.221673,0.713938,0
0.862367,0.897566,0.867548,0.866662,0.753633,0
0.997755,0.977371,0.997668,0.997712,0.937655,0
0.823073,0.959744,0.829145,0.828052,0.853409,0
0.862797,0.972482,0.867479,0.866589,0.871167,0
0.839352,0.985228,0.844878,0.843675,0.877684,0
0.9293,0.990095,0.931509,0.931172,0.907905,0
0.960363,0.990095,0.961463,0.961383,0.914919,0
0.762287,0.990095,0.770623,0.768693,0.894743,0
0.871472,0.990095,0.875723,0.874921,0.894743,0
0.803915,0.96765,0.810735,0.809306,0.841314,0
0.964647,0.990095,0.965585,0.96555,0.914919,0
0.90681,0.980418,0.909935,0.909367,0.861109,0
0.97536,0.990095,0.976093,0.975968,0.929797,0
0.998725,0.969623,0.998371,0.998423,0.968772,0
0.916131,0.900904,0.918875,0.918391,0.622867,0
