@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P269.0-S1-weka.filters.unsupervised.attribute.Remove-R1-4,6-10'

@attribute 'd(Qi,CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.823294,0
-1,0
0.838019,0
0.941097,0
0.999999,0
0.867473,0
0.97055,0
1,0
0.631922,0
0.985274,0
0.926372,0
0.970549,0
0.896922,0
0.145922,0
0.882196,0
0.955824,0
0.970549,0
0.131197,0
-0.472534,0
0.86747,0
0.896922,0
0.882207,0
0.941097,0
0.823294,0
0.867493,0
0.882208,0
0.896934,0
0.911664,0
0.867491,0
0.867484,0
0.852765,0
0.911664,0
0.911648,0
0.955823,0
0.86747,0
0.83802,0
0.955823,0
0.955823,0
0.955823,0
0.955823,0
0.941098,0
0.896921,0
0.926373,0
0.779129,0
0.970549,0
0.852755,0
0.955823,0
0.882199,0
0.882197,0
0.911649,0
0.896922,0
0.852745,0
0.911648,0
0.926373,0
0.86748,0
0.911647,0
0.896931,0
0.896923,0
0.926372,0
0.955823,0
0.823303,0
0.720261,0
0.985274,0
0.926373,0
0.955825,0
0.97055,0
0.896922,0
0.852745,0
0.926378,0
0.941097,0
0.705529,0
0.955823,0
0.985274,0
0.926372,0
0.867475,0
0.882199,0
0.823314,0
0.867471,0
0.926383,0
0.941098,0
0.896935,0
0.720247,0
0.779163,0
0.896937,0
0.911646,0
0.896921,0
0.882212,0
0.896938,0
0.926372,0
0.955823,0
0.882205,0
0.970549,0
0.985274,0
0.985274,0
0.838022,0
0.985274,0
0.911646,0
0.867471,0
0.793848,0
0.882199,0
0.970548,0
0.808604,0
0.793844,0
0.955823,0
0.690764,0
0.911647,0
0.926375,0
0.543562,0
0.852764,0
0.926372,0
0.838025,0
0.852772,0
0.955824,0
0.985279,0
0.749666,0
0.970548,0
0.970548,0
0.941097,0
0.896921,0
0.941097,0
0.926372,0
0.838025,0
0.955873,0
0.985274,0
0.985274,0
0.970553,0
0.985274,0
0.911695,0
0.955851,0
0.955846,0
0.985278,0
0.941112,0
0.941099,0
0.985274,0
0.955823,0
0.926388,0
0.926372,0
0.970549,0
0.89696,0
0.911647,0
0.779135,1
0.54352,1
-0.76675,1
0.646622,1
0.867471,1
0.646592,1
0.896921,1
0.852751,1
0.85276,1
0.808591,1
0.67609,1
0.764402,1
0.838022,1
0.882196,1
0.734969,1
0.602424,1
0.734951,1
0.852776,1
0.646614,1
0.587724,1
0.852745,1
0.882197,1
0.779131,1
0.808576,1
0.941097,1
0.955823,1
0.690811,1
0.558245,1
0.867512,1
0.51407,1
0.720216,1
0.838048,1
0.823325,1
0.896924,1
0.970549,1
0.955823,1
0.941098,1
0.867475,1
0.73293,1
0.729028,1
0.822758,1
0.570554,1
0.584199,1
0.666674,1
-0.099177,1
-0.352789,1
0.355815,1
0.654065,1
0.675889,1
0.61019,1
0.935863,1
0.873621,1
0.863612,1
0.70728,1
0.68584,1
0.866225,1
0.904814,1
0.914073,1
0.852755,1
0.84176,1
0.881286,1
0.839043,1
0.840472,1
0.852752,1
0.832634,1
0.821103,1
0.834337,1
0.650606,1
0.754672,1
0.810277,1
0.744903,1
0.894163,1
0.849016,1
0.861086,1
0.850412,1
0.878291,1
0.872228,1
0.79249,1
0.650226,1
0.761802,1
0.625995,1
0.884046,1
0.722774,1
0.754281,1
0.64817,1
0.784279,1
0.81788,1
0.821176,1
0.657456,1
0.646618,1
0.639773,1
0.671543,1
0.810358,1
0.867786,1
0.824659,1
0.746857,1
0.850685,1
0.878668,1
0.779133,1
0.726318,1
0.854326,1
0.769185,1
0.865393,1
0.954057,1
0.910703,1
0.941098,1
0.969645,1
0.954268,1
0.678635,1
0.720877,1
0.778814,1
0.543826,1
0.537024,1
0.520152,1
0.857212,1
0.865783,1
0.537347,1
0.588422,1
0.568147,1
0.869376,1
0.817969,1
0.824575,1
0.834362,1
0.85873,1
0.821437,1
0.832354,1
0.847711,1
0.813525,1
0.775771,1
0.892179,1
0.951461,1
0.957392,1
0.945048,1
0.955823,1
0.953276,1
0.941097,1
0.961975,1
0.867471,1
0.895518,1
0.91925,1
