@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P269.0-S1-weka.filters.unsupervised.attribute.Remove-R1,3-10'

@attribute 'd(Qi,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.907598,0
-1,0
0.999991,0
0.989725,0
0.999991,0
0.958928,0
0.97946,0
0.999991,0
0.753636,0
0.989725,0
0.979459,0
0.989725,0
0.999991,0
0.948661,0
0.989725,0
0.989725,0
0.969193,0
0.630419,0
-0.468025,0
0.989725,0
0.958928,0
0.948666,0
0.989725,0
0.979459,0
0.989735,0
0.999996,0
0.999997,0
0.999999,0
1,0
0.999997,0
0.989734,0
0.999999,0
0.999992,0
0.999991,0
0.979459,0
0.969193,0
0.999991,0
0.999991,0
0.999991,0
0.999991,0
0.999991,0
0.969193,0
0.969193,0
0.969198,0
0.989725,0
0.928134,0
0.958927,0
0.958929,0
0.969193,0
0.948663,0
0.989725,0
0.979459,0
0.969194,0
0.969193,0
0.958932,0
0.958928,0
0.969197,0
0.958928,0
0.969193,0
0.958927,0
0.958931,0
0.80496,0
0.989725,0
0.999991,0
0.989726,0
0.958928,0
0.907598,0
0.774141,0
0.979462,0
0.979459,0
0.815223,0
0.958927,0
0.989725,0
0.969193,0
0.969195,0
0.958929,0
0.948671,0
0.958928,0
0.979464,0
0.969193,0
0.958934,0
0.938409,0
0.948681,0
0.999998,0
0.989725,0
0.979459,0
0.999998,0
0.999998,0
0.999991,0
0.969193,0
0.958931,0
0.958927,0
0.989725,0
0.989725,0
0.948662,0
0.999991,0
0.969193,0
0.969193,0
0.958929,0
0.958929,0
0.989725,0
0.958943,0
0.917864,0
0.999991,0
0.794673,0
0.958927,0
0.989726,0
0.846023,0
0.94867,0
0.979459,0
0.938398,0
0.969206,0
0.794673,0
0.958929,0
0.979459,0
0.999991,0
0.999991,0
0.969193,0
0.989725,0
0.989725,0
0.979459,0
0.989727,0
0.979483,0
0.979459,0
0.989725,0
0.969195,0
0.999991,0
0.95895,0
0.979472,0
0.97947,0
0.979461,0
0.989731,0
0.989725,0
0.999991,0
0.979459,0
0.969201,0
0.979459,0
0.969193,0
0.979477,0
0.958927,0
0.846011,1
0.958931,1
-0.170278,1
0.88708,1
0.938396,1
0.866536,1
0.938396,1
0.917867,1
0.958934,1
0.907608,1
0.897354,1
0.9384,1
0.958928,1
0.969193,1
0.897344,1
0.722817,1
0.969197,1
0.958942,1
0.92814,1
0.958942,1
0.989725,1
0.917864,1
0.948667,1
0.969197,1
0.999991,1
0.999991,1
0.928149,1
0.435372,1
0.897352,1
0.158195,1
0.917864,1
0.856282,1
0.763891,1
0.928131,1
0.979459,1
0.958927,1
0.989725,1
0.9076,1
0.903093,1
0.855777,1
0.872342,1
0.931891,1
0.877931,1
0.915852,1
0.823829,1
0.121797,1
-0.054057,1
0.89156,1
0.921055,1
0.792348,1
0.954127,1
0.932394,1
0.9119,1
0.917804,1
0.904334,1
0.872956,1
0.972775,1
0.958656,1
0.956716,1
0.926108,1
0.920552,1
0.958933,1
0.958928,1
0.956461,1
0.940737,1
0.932324,1
0.916769,1
0.832389,1
0.907462,1
0.933136,1
0.88997,1
0.93458,1
0.924012,1
0.919298,1
0.917243,1
0.967861,1
0.940186,1
0.898775,1
0.89583,1
0.927782,1
0.890792,1
0.777803,1
0.829721,1
0.945777,1
0.907158,1
0.954115,1
0.903841,1
0.95737,1
0.901161,1
0.926294,1
0.921746,1
0.910545,1
0.979365,1
0.982863,1
0.972,1
0.917864,1
0.917864,1
0.932087,1
0.85102,1
0.933153,1
0.928876,1
0.969197,1
0.969196,1
0.999221,1
0.948322,1
0.996695,1
0.987146,1
0.999991,1
0.904052,1
0.854072,1
0.876724,1
0.2216,1
0.415878,1
0.179121,1
0.906472,1
0.897409,1
0.245066,1
0.868036,1
0.864609,1
0.917864,1
0.930431,1
0.788078,1
0.817807,1
0.936347,1
0.764175,1
0.815911,1
0.913247,1
0.931468,1
0.928461,1
0.919392,1
0.985156,1
0.978276,1
0.961836,1
0.999098,1
0.994926,1
0.995065,1
0.984879,1
0.924087,1
0.981974,1
0.924758,1
