@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P269.0-S1-weka.filters.unsupervised.attribute.Remove-R1-9'

@attribute 'd(WMC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.803912,0
-0.375316,0
0.819184,0
0.931921,0
1,0
0.850378,0
0.936997,0
0.985399,0
0.537512,0
0.972401,0
0.843508,0
0.950198,0
0.936652,0
0.255946,0
0.879665,0
0.971093,0
0.952154,0
0.245109,0
-0.285055,0
0.889693,0
0.929997,0
0.943386,0
0.946476,0
0.96517,0
0.96517,0
0.96517,0
0.972401,0
0.972401,0
0.972401,0
0.972401,0
0.958013,0
0.972401,0
0.971093,0
0.972401,0
0.889693,0
0.843508,0
0.958013,0
0.972401,0
0.972401,0
0.96517,0
0.971093,0
0.943386,0
0.957087,0
0.897923,0
0.957087,0
0.873748,0
0.971093,0
0.950198,0
0.950198,0
0.916676,0
0.943926,0
0.833884,0
0.877391,0
0.971093,0
0.957087,0
0.957087,0
0.904175,0
0.943386,0
0.971093,0
0.957087,0
0.87724,0
0.834761,0
0.971093,0
0.985399,0
0.903525,0
0.943386,0
0.871316,0
0.907768,0
0.923371,0
0.94098,0
0.730499,0
0.978209,0
0.964052,0
0.96517,0
0.936652,0
0.890698,0
0.806944,0
0.943386,0
0.872076,0
0.964052,0
0.840528,0
0.668707,0
0.831406,0
0.96517,0
0.931921,0
0.96517,0
0.96517,0
0.950932,0
0.943386,0
0.978209,0
0.879665,0
0.929997,0
0.972401,0
0.978209,0
0.903725,0
0.992663,0
0.96517,0
0.964052,0
0.916676,0
0.936652,0
0.952154,0
0.848432,0
0.79773,0
0.985399,0
0.706294,0
0.926192,0
0.930145,0
0.57102,0
0.798149,0
0.911704,0
0.883399,0
0.799565,0
0.930787,0
0.950932,0
0.75993,0
0.958013,0
0.958013,0
0.931921,0
0.964052,0
0.964052,0
0.91891,0
0.923421,0
0.815597,0
0.950932,0
0.950932,0
0.834709,0
0.987085,0
0.753349,0
0.8782,0
0.884407,0
0.930145,0
0.867916,0
0.930145,0
0.987085,0
0.916676,0
0.823335,0
0.904574,0
0.923817,0
0.831406,0
0.871316,0
0.631418,1
0.550928,1
-1,1
0.643851,1
0.850378,1
0.590668,1
0.911704,1
0.897071,1
0.866037,1
0.891753,1
0.817106,1
0.854214,1
0.8638,1
0.957087,1
0.795787,1
0.711935,1
0.87091,1
0.872076,1
0.575717,1
0.606887,1
0.964052,1
0.830167,1
0.820845,1
0.943386,1
0.972401,1
0.985399,1
0.782512,1
0.485309,1
0.820845,1
0.478028,1
0.744272,1
0.883651,1
0.903725,1
0.824164,1
0.950932,1
0.96517,1
0.964052,1
0.887429,1
0.718614,1
0.788446,1
0.681171,1
0.577947,1
0.607191,1
0.725122,1
-0.808195,1
-0.370169,1
0.0787,1
0.739642,1
0.648999,1
0.64442,1
0.893418,1
0.839318,1
0.876263,1
0.836556,1
0.782744,1
0.908918,1
0.947888,1
0.946335,1
0.871754,1
0.874527,1
0.903095,1
0.864917,1
0.865005,1
0.891084,1
0.885342,1
0.876381,1
0.850514,1
0.762225,1
0.845734,1
0.85416,1
0.731786,1
0.826349,1
0.881421,1
0.827165,1
0.863497,1
0.908649,1
0.95448,1
0.840147,1
0.721059,1
0.839634,1
0.84273,1
0.730007,1
0.841974,1
0.854855,1
0.709344,1
0.844106,1
0.853481,1
0.85718,1
0.728663,1
0.591282,1
0.613481,1
0.608089,1
0.955834,1
0.963676,1
0.951486,1
0.797788,1
0.757394,1
0.840257,1
0.677465,1
0.79461,1
0.866801,1
0.935657,1
0.954205,1
0.96943,1
0.919565,1
0.971256,1
0.978445,1
0.980996,1
0.796417,1
0.66609,1
0.708482,1
0.478484,1
0.483542,1
0.480253,1
0.833057,1
0.87283,1
0.48294,1
0.48292,1
0.517267,1
0.769082,1
0.843069,1
0.891051,1
0.889468,1
0.888007,1
0.902006,1
0.899025,1
0.865526,1
0.924416,1
0.839681,1
0.825404,1
0.956158,1
0.964549,1
0.964148,1
0.979181,1
0.965598,1
0.971122,1
0.953055,1
0.860618,1
0.949945,1
0.899438,1
