@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P269.0-S1-weka.filters.unsupervised.attribute.Remove-R1-8,10'

@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.714286,0
0.673124,0
0.831417,0
0.899924,0
1,0
0.637123,0
0.831417,0
0.95419,0
0.462985,0
0.95419,0
0.705225,0
0.822775,0
0.737246,0
0.885759,0
0.5207,0
0.883545,0
0.93134,0
0.877049,0
0.491422,0
0.968772,0
0.713938,0
0.753633,0
0.937655,0
0.853409,0
0.871167,0
0.877684,0
0.907905,0
0.914919,0
0.894743,0
0.894743,0
0.841314,0
0.914919,0
0.861109,0
0.929797,0
0.968772,0
0.622867,0
0.891595,0
0.929797,0
0.929797,0
0.914608,0
0.875779,0
0.760584,0
0.821794,0
0.546344,0
0.845677,0
0.482406,0
0.883545,0
0.777091,0
0.777091,0
0.721396,0
0.81442,0
0.885759,0
0.808664,0
0.868299,0
0.79411,0
0.81442,0
0.62103,0
0.760584,0
0.868299,0
0.837426,0
0.599382,0
0.264157,0
0.899924,0
0.914919,0
0.70889,0
0.799912,0
0.831417,0
0.922218,0
0.760246,0
0.977077,0
0.62103,0
0.906655,0
0.877049,0
0.891595,0
0.723472,0
0.613477,0
0.320184,0
0.746994,0
0.577437,0
0.852605,0
0.482808,0
-0.124969,0
0.515794,0
0.884494,0
0.875779,0
0.884494,0
0.877684,0
0.837751,0
0.775413,0
0.906655,0
0.5207,0
0.754312,0
0.95419,0
0.922837,0
0.753633,0
0.968772,0
0.884494,0
0.817701,0
0.675971,0
0.730201,0
0.93134,0
0.415161,0
0.737246,0
0.929797,0
0.877049,0
0.914608,0
0.783283,0
0.5207,0
0.545766,0
0.877049,0
0.68342,0
0.491422,0
0.854213,0
0.885759,0
0.93134,0
0.899924,0
0.899924,0
0.899924,0
0.830766,0
0.852605,0
0.899924,0
0.66366,0
0.375663,0
0.885759,0
0.885759,0
0.528321,0
1,0
0.289821,0
0.618639,0
0.641122,0
0.817701,0
0.509689,0
0.791451,0
1,0
0.754312,0
0.452562,0
0.854213,0
0.840343,0
0.586664,0
0.840343,0
0.071828,1
0.318378,1
-0.608674,1
0.497602,1
0.745629,1
0.459927,1
0.852605,1
0.629645,1
0.51304,1
0.533381,1
0.646921,1
0.427111,1
0.613477,1
0.800574,1
0.361731,1
0.393094,1
0.54152,1
0.529101,1
-0.257592,1
-1,1
0.811626,1
0.68625,1
0.284729,1
0.723645,1
0.929797,1
0.929797,1
0.220755,1
0.541714,1
0.337226,1
0.337226,1
0.868618,1
0.737246,1
0.740673,1
0.609224,1
0.877049,1
0.914608,1
0.852605,1
0.914608,1
0.152927,1
0.190456,1
0.521932,1
0.292431,1
0.123803,1
0.423769,1
0.155199,1
-0.075863,1
-0.352058,1
0.366082,1
0.475368,1
0.430329,1
0.750141,1
0.741901,1
0.739601,1
0.486163,1
0.50414,1
0.846655,1
0.852605,1
0.852605,1
0.592807,1
0.623725,1
0.765367,1
0.604163,1
0.593569,1
0.529525,1
0.532572,1
0.593105,1
0.553234,1
0.499163,1
0.628978,1
0.431872,1
0.484844,1
0.606199,1
0.626594,1
0.527722,1
0.523374,1
0.614309,1
0.677398,1
0.494902,1
0.44554,1
0.387318,1
0.442591,1
0.484937,1
0.514494,1
0.5261,1
0.531596,1
0.340563,1
0.560747,1
0.349496,1
0.125946,1
0.366562,1
-0.855063,1
-0.301053,1
0.725092,1
0.806086,1
0.785504,1
0.744997,1
0.730036,1
0.710292,1
0.208516,1
0.265494,1
0.722032,1
0.579532,1
0.74952,1
0.927275,1
0.919823,1
0.925859,1
0.92907,1
0.929797,1
0.520571,1
0.160247,1
0.097149,1
0.416269,1
0.338314,1
0.364998,1
0.348951,1
0.497955,1
0.466589,1
-0.209674,1
0.259819,1
0.831848,1
0.832111,1
0.737854,1
0.740539,1
0.748384,1
0.563649,1
0.7406,1
0.741005,1
0.713369,1
0.476869,1
0.625355,1
0.876742,1
0.903245,1
0.854997,1
0.915981,1
0.926332,1
0.90488,1
0.862026,1
0.76521,1
0.910615,1
0.906679,1
