@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R2,4-5,8,10'

@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.895155,0.832399,0.899226,0.904868,0.714286,0
0.825326,-1,0.837309,0.850015,0.673124,0
0.992501,0.966334,0.992059,0.993125,0.831417,0
0.995612,0.96765,0.995607,0.996066,0.899924,0
1,1,1,1,1,0
0.700833,0.883667,0.711902,0.726455,0.637123,0
0.873397,0.940678,0.878274,0.884322,0.831417,0
0.932513,0.990095,0.935084,0.938247,0.95419,0
-0.584647,0.58639,-0.531048,-0.459254,0.462985,0
0.97847,0.977371,0.979322,0.980396,0.95419,0
0.985868,0.913845,0.986264,0.987257,0.705225,0
0.558972,0.953502,0.575505,0.596132,0.822775,0
0.680979,0.957236,0.692482,0.707806,0.737246,0
0.925564,0.911799,0.925655,0.932366,0.885759,0
-0.485812,0.906189,-0.437473,-0.372302,0.5207,0
0.936693,0.96765,0.938995,0.942129,0.883545,0
0.892568,0.947014,0.89682,0.90198,0.93134,0
0.961244,0.521182,0.962767,0.96764,0.877049,0
0.814262,-0.806949,0.826305,0.839169,0.491422,0
0.998826,0.982317,0.998371,0.999007,0.968772,0
0.200067,0.901241,0.229441,0.266715,0.713938,0
0.862367,0.897566,0.867548,0.874436,0.753633,0
0.997755,0.977371,0.997668,0.998014,0.937655,0
0.823073,0.959744,0.829145,0.838138,0.853409,0
0.862797,0.972482,0.867479,0.874436,0.871167,0
0.839352,0.985228,0.844878,0.852881,0.877684,0
0.9293,0.990095,0.931509,0.935232,0.907905,0
0.960363,0.990095,0.961463,0.96367,0.914919,0
0.762287,0.990095,0.770623,0.782293,0.894743,0
0.871472,0.990095,0.875723,0.882278,0.894743,0
0.803915,0.96765,0.810735,0.820512,0.841314,0
0.964647,0.990095,0.965585,0.967591,0.914919,0
0.90681,0.980418,0.909935,0.914647,0.861109,0
0.97536,0.990095,0.976093,0.977417,0.929797,0
0.998725,0.969623,0.998371,0.999007,0.968772,0
0.916131,0.900904,0.918875,0.923429,0.622867,0
0.963576,0.980418,0.964757,0.966647,0.891595,0
0.964647,0.990095,0.965788,0.967614,0.929797,0
0.97536,0.990095,0.976093,0.977417,0.929797,0
0.896101,0.985228,0.89984,0.904893,0.914608,0
0.942153,0.980418,0.944079,0.947018,0.875779,0
0.715929,0.923219,0.726472,0.740154,0.760584,0
0.854014,0.932562,0.859515,0.866627,0.821794,0
0.573684,0.8924,0.588877,0.609703,0.546345,0
-0.340511,0.95816,-0.294173,-0.234941,0.845677,0
0.251805,0.823956,0.279513,0.3147,0.482406,0
0.836773,0.929395,0.843173,0.850968,0.883545,0
0.837844,0.915052,0.843848,0.85189,0.777091,0
0.842236,0.927861,0.847969,0.855811,0.777091,0
0.614068,0.888376,0.628711,0.647045,0.721396,0
0.814619,0.95816,0.82125,0.830347,0.81442,0
0.994439,0.950094,0.994184,0.995099,0.885759,0
