@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-4,6-10'

@attribute 'd(Qi,CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.823294,0
-1,0
0.838019,0
0.941097,0
0.999999,0
0.867473,0
0.97055,0
1,0
0.631922,0
0.985274,0
0.926372,0
0.970549,0
0.896922,0
0.145922,0
0.882196,0
0.955824,0
0.970549,0
0.131197,0
-0.472534,0
0.86747,0
0.896922,0
0.882207,0
0.941097,0
0.823294,0
0.867493,0
0.882208,0
0.896934,0
0.911664,0
0.867491,0
0.867484,0
0.852765,0
0.911664,0
0.911648,0
0.955823,0
0.86747,0
0.83802,0
0.955823,0
0.955823,0
0.955823,0
0.955823,0
0.941098,0
0.896921,0
0.926373,0
0.779129,0
0.97055,0
0.852755,0
0.955823,0
0.882199,0
0.882197,0
0.911649,0
0.896922,0
0.852745,0
0.911648,0
0.926373,0
0.86748,0
0.911647,0
0.896931,0
0.896923,0
0.926372,0
0.955823,0
0.823303,0
0.720261,0
0.985274,0
0.926373,0
0.955825,0
0.97055,0
0.896922,0
0.852745,0
0.926378,0
0.941097,0
0.70553,0
0.955823,0
0.985274,0
0.926372,0
0.867475,0
0.882199,0
0.823314,0
0.867471,0
0.926383,0
0.941098,0
0.896935,0
0.720247,0
0.779163,0
0.896937,0
0.911646,0
0.896921,0
0.882212,0
0.896938,0
0.926372,0
0.955823,0
0.882205,0
0.970549,0
0.985274,0
0.985274,0
0.838022,0
0.985274,0
0.911646,0
0.867471,0
0.793848,0
0.882199,0
0.970548,0
0.808604,0
0.793844,0
0.955823,0
0.690764,0
0.911647,0
0.926375,0
0.543562,0
0.852764,0
0.926372,0
0.838025,0
0.852772,0
0.955824,0
0.985279,0
0.749666,0
0.970548,0
0.970548,0
0.941097,0
0.896921,0
0.941097,0
0.926372,0
0.838025,0
0.955873,0
0.985274,0
0.985274,0
0.970553,0
0.985274,0
0.911695,0
0.955851,0
0.955846,0
0.985278,0
0.941112,0
0.941099,0
0.985274,0
0.955823,0
0.926388,0
0.926372,0
0.970549,0
0.89696,0
0.911647,0
0.779135,1
0.779135,1
0.779135,1
0.54352,1
0.54352,1
0.54352,1
-0.76675,1
-0.76675,1
0.646622,1
0.646622,1
0.646622,1
0.867471,1
0.867471,1
0.646592,1
0.896921,1
0.852751,1
0.85276,1
0.808591,1
0.67609,1
0.764402,1
0.764402,1
0.838022,1
0.882196,1
0.882196,1
0.734969,1
0.602424,1
0.734951,1
0.852776,1
0.646614,1
0.587724,1
0.852745,1
0.882197,1
0.779131,1
0.808576,1
0.941097,1
0.955823,1
0.690811,1
0.558245,1
0.867512,1
0.51407,1
0.720216,1
0.838048,1
0.823325,1
0.823325,1
0.823325,1
0.896924,1
0.970549,1
0.955823,1
0.941098,1
0.867475,1
