@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-8,10'

@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.714286,0
0.673124,0
0.831417,0
0.899924,0
1,0
0.637123,0
0.831417,0
0.95419,0
0.462985,0
0.95419,0
0.705225,0
0.822775,0
0.737246,0
0.885759,0
0.5207,0
0.883545,0
0.93134,0
0.877049,0
0.491422,0
0.968772,0
0.713938,0
0.753633,0
0.937655,0
0.853409,0
0.871167,0
0.877684,0
0.907905,0
0.914919,0
0.894743,0
0.894743,0
0.841314,0
0.914919,0
0.861109,0
0.929797,0
0.968772,0
0.622867,0
0.891595,0
0.929797,0
0.929797,0
0.914608,0
0.875779,0
0.760584,0
0.821794,0
0.546345,0
0.845677,0
0.482406,0
0.883545,0
0.777091,0
0.777091,0
0.721396,0
0.81442,0
0.885759,0
0.808664,0
0.868299,0
0.79411,0
0.81442,0
0.62103,0
0.760584,0
0.868299,0
0.837426,0
0.599382,0
0.264157,0
0.899924,0
0.914919,0
0.70889,0
0.799912,0
0.831417,0
0.922218,0
0.760246,0
0.977077,0
0.62103,0
0.906655,0
0.877049,0
0.891595,0
0.723472,0
0.613477,0
0.320184,0
0.746994,0
0.577437,0
0.852605,0
0.482808,0
-0.124969,0
0.515794,0
0.884494,0
0.875779,0
0.884494,0
0.877684,0
0.837751,0
0.775413,0
0.906655,0
0.5207,0
0.754312,0
0.95419,0
0.922837,0
0.753633,0
0.968772,0
0.884494,0
0.817701,0
0.675971,0
0.730201,0
0.93134,0
0.415161,0
0.737246,0
0.929797,0
0.877049,0
0.914608,0
0.783283,0
0.5207,0
0.545766,0
0.877049,0
0.68342,0
0.491422,0
0.854213,0
0.885759,0
0.93134,0
0.899924,0
0.899924,0
0.899924,0
0.830766,0
0.852605,0
0.899924,0
0.66366,0
0.375663,0
0.885759,0
0.885759,0
0.528321,0
1,0
0.289821,0
0.618639,0
0.641122,0
0.817701,0
0.509689,0
0.791451,0
1,0
0.754312,0
0.452562,0
0.854213,0
0.840343,0
0.586664,0
0.840343,0
0.071828,1
0.071828,1
0.071828,1
0.318378,1
0.318378,1
0.318378,1
-0.608674,1
-0.608674,1
0.497602,1
0.497602,1
0.497602,1
0.745629,1
0.745629,1
0.459927,1
0.852605,1
0.629645,1
0.51304,1
0.533381,1
0.646921,1
0.427111,1
0.427111,1
0.613477,1
0.800574,1
0.800574,1
0.361731,1
0.393094,1
0.54152,1
0.529101,1
-0.257592,1
-1,1
0.811626,1
0.68625,1
0.284729,1
0.723645,1
0.929797,1
0.929797,1
0.220755,1
0.541714,1
0.337226,1
0.337226,1
0.868618,1
0.737246,1
0.740673,1
0.740673,1
0.740673,1
0.609224,1
0.877049,1
0.914608,1
0.852605,1
0.914608,1
