@relation 'Ant14AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Remove-R1-8,38-39,42-43-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31-weka.filters.unsupervised.attribute.Remove-R30-31-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute 'd(WMC, RFC)' numeric
@attribute #Hbugs numeric

@data
39,15,103,10,6,1377,0.460664,15,687,180.000808,183.967388,126.826653,121.001202,673.951037,663.364907,674.680665,43.908997,130.648383,1372.93481,155.801155,668.075306,681.060203,1379.278385,664.088097,1379.814763,3722134.253,439662,1537,0
11,12,15,9,4,97,0.881919,9,1951.882425,186.000037,197.36261,140.470638,124.000056,1946.952747,1943.148219,1947.081149,70.228199,142.239235,205.533541,220.537979,1943.078409,1955.475901,98.60135,1944.120624,98.884929,386366.0127,3775430,4537,0
14,136,26,135,1,153,0.81904,195,1887,0.18096,63,63,0.18096,1887,1887.193154,1887,68.541958,63,231.720287,170,1888.224601,1894.642183,167.427104,1888.051376,167.794814,600857.0245,3560939,4139,0
7,11,7,10,1,7,1,0,2042.330532,195,207.183494,143.265488,125,2036.839218,2033.179284,2036.839218,75.026662,143.265488,189.153661,226.596558,2033.031946,2045.589157,13.381893,2034.204759,13.506554,28518.0033,4133278,5089,0
4,4,4,3,1,4,1,1,2045.221748,194,207.280004,150.840976,132,2040.274491,2036.17902,2040.274491,77.833155,150.840976,192.04566,232.997854,2036.006129,2049.288657,6.408092,2037.308273,6.491107,16308.0013,4145488,5521,0
0,0,0,0,0,0,1,0,2049.298661,195,209.652093,156.284996,136,2044.528307,2040.192148,2044.462032,81.932899,155.415572,196,237.993697,2040,2053.83568,0,2041.452669,0,0,4161796,6125,0
14,9,34,4,5,279,0.776854,4,1771.327751,191.00013,201.121854,141.767415,127.000196,1765.573561,1761.150192,1765.865793,67.067131,145.361618,322.272965,208.338667,1761.249676,1773.28114,280.613317,1762.126556,280.895885,1060513.037,3101283,4131,0
7,2,18,1,1,118,0.824366,2,1931.665861,193.00008,205.302216,151.182009,134.000115,1926.665513,1922.189637,1926.665513,75.026662,151.182009,213.447932,222.800359,1922.06005,1934.870538,118.976595,1923.274291,119.151024,467534.0151,3694262,5078,0
2,0,6,0,0,63,0.885417,0,1986.593567,195.000034,208.925824,155.309369,136.000048,1981.672274,1977.19827,1981.603896,80.05623,154.434452,200.127822,233.07724,1977.006113,1990.69184,63.185443,1978.422099,63.222024,253077.0079,3908719,5815,0
23,25,52,23,2,1489,0.04917,24,576.924605,171.002644,179.32373,123.438244,111.004072,562.069391,551.613089,562.26773,59.933296,124.338248,1489.172908,182.428068,553.794672,580.414507,1489.615774,553.639775,1488.850143,3858051.285,303745,3060,0
2,1,7,1,0,20,0.979275,1,2029.294459,194.000001,207.992788,154.434452,135.000002,2024.506113,2020.19405,2024.439676,80.05623,153.561063,190.057609,231.682973,2020.009858,2033.242976,20.970197,2021.391847,21.030022,81207.00271,4080589,5814,0
13,5,13,5,0,13,1,2,2036.167478,193,203.334699,145.797805,131,2031.228692,2027.19338,2031.164444,69.856997,144.899966,183.482495,224.474943,2027.04508,2039.391576,18.754324,2028.010108,19.064605,52884.0034,4108912,4279,0
23,31,82,22,27,1093,0.609967,4,966.069356,191.000398,198.486775,118.072012,105.000724,952.803233,947.000528,953.717988,54.009258,125.23977,1096.685265,160.514797,950.164186,960.507158,1095.933802,948.538349,1095.657196,3264873.183,896923,3030,1
7,2,52,0,2,412,0.874711,1,1639.518222,194.000041,206.242576,151.182009,134.000059,1633.505433,1628.207603,1633.587769,74.672619,152.069063,435.377606,197.38541,1628.506381,1639.922254,413.981036,1629.504219,413.945115,1511268.056,2650528,5044,0
9,7,34,0,7,298,0.874354,0,1752.880201,195.000041,206.516343,145.825238,129.000061,1746.769876,1742.126574,1747.223226,71.168813,151.158857,338.518697,210.876741,1742.211046,1754.717356,299.296535,1743.326705,299.356677,1127070.04,3034726,4786,0
5,58,10,58,0,69,0.948673,5,1980.136611,190.000007,203.184645,106.150836,78.000017,1972.542775,1971.198874,1972.503485,77.252832,105.418215,199.434281,201.308221,1971.341377,1981.253644,78.140233,1972.31463,78.268082,276769.0118,3885027,5370,0
18,8,91,0,8,1400,0.871213,1,668.757056,194.000043,202.773272,140.943251,128.000065,652.674498,640.312424,654.083328,62.297673,147.329563,1394.337814,171.026314,643.49408,662.457546,1401.4806,642.713778,1400.341072,3752091.258,409705,3586,0
4,3,16,0,3,59,0.874457,1,1990.476576,194.000041,207.280004,151.716841,133.000059,1985.459645,1981.157742,1985.594621,77.162167,153.473125,189.381552,225,1981.042613,1993.736693,60.447475,1982.344571,60.519446,237255.0077,3924541,5509,0
3,2,15,2,0,100,0.88822,3,1949.477879,192.000033,205.766858,153.075145,134.000047,1944.622328,1940.202051,1944.553676,79.120162,152.200526,206.743028,224.610774,1940.04616,1952.959293,100.881723,1941.410827,100.933011,398015.0128,3763781,5657,0
76,120,177,114,12,1776,0.182133,114,276.1467,81.004129,81.006173,16.03122,16.02089,264.484404,264.484404,264.83391,16.03122,21.023796,1779.729545,28.319605,337.133839,265.514595,1788.043964,264.001894,1789.774981,4092081.392,69715,20,0
5,59,7,59,1,33,0.949121,36,2013.288355,159.000008,174.542259,105.418215,77.000017,2008.476537,2007.181606,2008.438448,76.896034,104.690019,192.402439,203.708124,2007.292829,2017.311577,47.594079,2008.291065,47.698978,133558.0093,4028238,5373,0
19,24,81,17,8,560,0.284519,11,1491.393979,184.001391,192.924856,126.12692,112.002285,1484.231788,1480.135129,1484.696602,61.351447,131.483839,571.45633,164.769536,1481.810304,1489.143714,564.82355,1481.13605,565.08096,1971281.081,2190515,3479,1
10,9,30,6,3,149,0.900583,6,1900.421532,189.000026,200.524313,143.589693,127.000039,1895.259877,1891.165249,1895.394946,71.512237,145.361618,223.107589,210.230826,1891.20379,1902.650257,151.590876,1892.186566,151.826041,585749.0196,3576047,4655,1
21,24,48,20,7,322,0.752755,13,1727.613383,182.000168,190.420587,125.219807,112.000273,1721.646886,1718.128342,1721.84465,59.808026,127.910125,354.945031,187.427319,1718.744006,1728.193566,326.009284,1718.912447,326.479943,1210124.044,2951672,3284,0
20,100,28,96,6,164,0.738699,143,1876.720544,52.000657,77.155687,67.416615,36.000948,1876.345384,1876.128993,1876.40534,61.098281,69.065187,237.627969,172.467388,1877.144027,1883.911091,176.664699,1876.865738,177.15122,642252.0253,3519544,3417,0
5,7,19,4,4,151,0.90811,6,1898.431458,189.000022,202.249845,147.732867,129.000033,1893.399588,1889.152455,1893.536902,75.894664,149.48244,232.609963,220.204451,1889.083761,1901.791524,152.083681,1890.371657,152.124717,593298.0195,3568498,5361,0
1,9,1,8,1,1,1,1,2048.208241,194,208.355466,148.003378,127,2042.951297,2039.178756,2042.951297,80.65358,148.003378,195.005852,232.71012,2039.006846,2052.236585,5.379884,2040.415889,5.384339,4080.003701,4157716,5971,0
13,10,78,1,9,502,0.668436,8,1549.326628,187.000294,197.648678,141.322327,126.000436,1543.152617,1538.117356,1543.826415,66.760767,148.499158,514.353984,178.549713,1539.148332,1548.329422,505.581531,1539.331024,505.628059,1796234.071,2365562,4214,0
10,7,60,0,7,748,0.875816,4,1306.04173,191.00004,202.410474,145.361618,129.00006,1298.424045,1292.170654,1299.033872,70.213959,150.711645,757.732896,191.627242,1292.831717,1306.133607,749.457139,1293.736063,749.152836,2492396.112,1669400,4625,0
18,10,49,1,9,397,0.490029,4,1654.06469,191.000681,199.904977,139.129436,126.001032,1647.824323,1643.109856,1648.455338,61.983869,146.413797,422.410111,198.909527,1643.464807,1654.996677,399.001151,1644.059001,399.311031,1462200.054,2699596,3628,0
8,8,28,0,8,128,0.561365,5,1921.417185,190.000506,202.14104,145.413204,128.000752,1916.279729,1912.1046,1916.760027,71.8401,151.611345,211.025596,215.520301,1912.13207,1924.108365,130.044122,1913.244626,130.162805,505884.0166,3655912,4929,0
16,13,55,0,13,275,0.378397,9,1774.773507,186.001039,195.747286,137.295302,123.001571,1769.280645,1765.063738,1770.15536,62.817195,148.141824,308.423654,195.207582,1765.518522,1775.76209,278.435439,1766.053793,278.702696,1046430.037,3115366,3862,0
2,4,2,3,2,2,1,1,2047.212739,194,207.992788,151.818971,132,2042.270305,2038.165842,2042.270305,79.378838,151.818971,194.01238,234.648674,2038.002745,2051.463868,3.910895,2039.379563,3.935347,8158.00098,4153638,5819,0
3,12,20,1,11,165,0.957539,2,1884.906894,193.000005,206.700266,144.402216,124.000007,1879.095793,1875.077065,1879.782168,75.927597,153.075145,241.029993,221.205786,1875.075154,1888.003443,165.966335,1876.459698,165.84485,645995.0212,3515801,5652,0
11,22,86,8,14,887,0.110553,10,1167.747404,185.002138,196.420467,131.72699,114.00347,1158.622026,1153.084993,1159.973276,67.468511,143.125819,891.30262,168.01488,1155.121654,1165.17724,889.862989,1154.88744,889.322742,2832277.139,1329519,4466,1
3,9,22,1,8,128,0.376001,1,1921.816849,194.001003,207.634294,146.986394,127.001533,1916.213193,1912.1046,1916.689855,76.655072,153.075145,215.874337,219.61785,1912.088301,1924.571641,129.398964,1913.431473,129.333285,505878.0165,3655918,5650,0
