@relation 'Ant14AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Remove-R1-8,38-39,42-43-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31-weka.filters.unsupervised.attribute.Remove-R30-31-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-26,28'

@attribute 'd(LOC, RFC)' numeric
@attribute #Hbugs_binarized {0,1}

@data
-0.788715,0
0.814327,0
0.711251,0
0.986295,0
0.992163,0
1,0
0.490358,0
0.775321,0
0.878381,0
-0.854032,0
0.960975,0
0.974586,0
-0.568973,1
0.273742,0
0.458373,0
0.866995,0
-0.803111,0
0.885984,0
0.808729,0
-0.966498,0
0.935817,0
0.052678,1
0.718511,1
0.418461,0
0.691358,0
0.714884,0
0.998039,0
0.136799,0
-0.19775,0
0.297323,0
0.756891,0
0.497126,0
0.99608,0
0.68956,0
-0.361084,1
0.756894,0
0.716699,0
0.872681,0
0.928107,0
0.588399,0
0.771628,0
0.657275,0
0.935816,0
0.833047,0
0.955155,0
0.998039,0
0.849981,0
0.933889,0
0.935817,0
0.955155,0
0.814328,0
0.895518,0
-0.162611,0
0.514147,0
0.742224,0
0.295742,0
-0.707546,0
0.346741,0
-0.135746,0
0.71307,0
0.150163,1
0.714878,0
0.722152,0
0.356412,0
0.119134,0
-0.083435,1
0.67517,0
-0.17524,0
0.990206,0
0.682356,0
0.906988,0
0.45502,0
0.818064,0
-0.717237,0
0.2863,0
0.302066,0
0.60065,0
0.714881,0
0.094341,0
0.119125,0
-0.0661,1
0.86889,0
-1,1
0.66979,0
0.722153,0
0.514145,0
0.823677,0
0.939676,0
0.2989,0
0.990208,0
0.673369,0
0.838686,0
0.16807,0
0.722151,0
0.718515,0
0.684153,0
0.316345,0
-0.062073,0
0.788275,0
0.625301,0
0.358028,0
0.806864,0
-0.107167,0
-0.167686,0
-0.044533,0
0.816193,0
0.992163,0
0.786423,0
0.713067,0
0.818063,0
0.564022,0
0.937745,0
0.178576,0
0.744055,0
-0.62442,1
0.924261,0
-0.014486,0
0.978489,0
0.887892,0
0.465076,0
0.992164,0
0.825548,0
0.978489,0
0.495436,0
0.598895,0
0.693159,0
0.992163,0
-0.184039,0
-0.81702,0
0.218039,0
0.23492,1
0.723971,0
0.945474,0
0.885987,0
0.908905,0
0.667999,0
0.298896,0
0.190646,0
0.866994,0
0.476847,0
-0.161344,0
0.05696,0
0.89361,0
0.793841,1
0.86889,0
0.55191,0
0.332302,0
0.994121,0
-0.194029,0
0.960975,0
0.740398,0
0.96875,0
0.953218,0
0.855643,0
0.874579,0
0.992163,0
0.90699,0
0.727616,0
0.493749,1
0.114742,0
0.100151,0
0.844333,0
0.816194,0
-0.026819,0
0.95322,0
-0.19651,0
-0.008961,0
0.234932,0
0.498842,0
0.3307,0
0.329102,0
0.986299,0
0.853757,0
0.196701,0
0.98825,0
0.722159,0
-0.626951,0
0.829301,0
