@relation 'Ant14AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Remove-R1-8,37-39,41-43-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-8,10-28'

@attribute 'd(LOC,FANIN)' numeric
@attribute #Nbugs_binarized {0,1}

@data
-0.466178,1
-0.466178,1
-0.466178,1
0.895155,0
0.825326,0
0.992501,0
0.995612,0
1,0
0.700833,0
0.873397,0
0.932513,0
-0.584647,0
0.97847,0
0.985868,0
-0.165829,1
-0.165829,1
0.558972,0
0.680979,0
0.925564,0
-0.485812,0
0.936693,0
0.892568,0
-0.908361,1
-0.908361,1
0.961244,0
0.399553,1
0.399553,1
0.839771,1
0.653785,1
0.814262,0
0.837629,1
0.998826,0
0.461903,1
0.200067,0
0.574628,1
0.862367,0
0.704541,1
0.997755,0
0.823073,0
0.051228,0
0.862797,0
0.839352,0
0.9293,0
0.960363,0
0.762287,0
0.871472,0
0.803915,0
0.964647,0
0.90681,0
0.97536,0
0.998725,0
0.916131,0
0.963576,0
0.964647,0
0.97536,0
0.896101,0
0.942153,0
0.229578,1
0.229578,1
0.715929,0
0.854014,0
0.573684,0
-0.340511,0
0.607773,1
0.251805,0
0.836773,0
0.472174,0
0.837844,0
0.842236,0
0.614068,0
0.448823,1
0.291699,0
0.814619,0
0.21939,1
0.994439,0
0.81868,0
0.948268,0
0.678365,0
0.897817,0
-0.354868,1
0.56727,0
0.577835,0
0.769438,0
0.837844,0
0.43146,0
0.447685,0
0.308315,0
0.927053,0
-1,0
0.811519,0
0.842454,0
0.715813,0
0.900512,0
0.96463,0
0.575947,0
0.994439,0
0.811739,0
0.9096,0
0.485256,1
0.842454,0
0.840094,0
0.819751,0
0.587457,0
0.311803,0
0.880261,1
0.784312,0
0.615503,0
0.891497,0
0.275702,0
0.225317,0
0.325668,0
0.897171,0
0.995612,0
0.879823,0
0.837211,0
0.898242,0
0.747306,0
0.965409,0
0.492338,0
0.854978,0
-0.232429,0
0.958116,0
0.349422,1
0.988215,1
0.937764,0
0.684667,0
0.995715,0
0.902207,0
0.988215,1
0.704159,0
0.768255,0
0.824995,0
0.995612,0
0.21178,0
-0.511374,1
0.514443,1
0.531121,0
0.842771,0
0.970004,0
0.934796,0
0.949236,0
0.810337,0
0.57437,0
0.500756,0
0.925876,0
0.692041,0
0.221358,1
0.40384,0
0.940257,1
0.882862,0
0.925148,0
0.737302,1
0.737302,1
0.737302,1
0.598149,0
0.996582,0
0.202794,1
0.978574,0
0.853052,1
0.982859,0
0.97398,0
0.919555,0
0.930266,0
0.99551,0
0.948165,1
0.845666,1
0.702401,0
0.446814,0
0.436002,0
0.913023,0
0.897064,0
0.339822,0
0.974289,0
0.201132,0
0.353832,0
0.532129,0
0.706416,0
0.597451,0
0.596382,0
0.992501,0
0.918379,0
0.505288,0
0.993367,0
0.842236,0
-0.2349,0
0.904244,0
