@relation 'Ant14AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Remove-R1-8,37-39,41-43-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-9,11-28'

@attribute 'd(Qi,FANIN)' numeric
@attribute #Nbugs_binarized {0,1}

@data
0.846011,1
0.846011,1
0.846011,1
0.907598,0
-1,0
0.999991,0
0.989725,0
0.999991,0
0.958928,0
0.97946,0
0.999991,0
0.753636,0
0.989725,0
0.979459,0
0.958931,1
0.958931,1
0.989725,0
0.999991,0
0.948661,0
0.989725,0
0.989725,0
0.969193,0
-0.170278,1
-0.170278,1
0.630419,0
0.88708,1
0.88708,1
0.938396,1
0.866536,1
-0.468025,0
0.938396,1
0.989725,0
0.917867,1
0.958928,0
0.958934,1
0.948666,0
0.907608,1
0.989725,0
0.979459,0
0.897354,0
0.989735,0
0.999996,0
0.999997,0
0.999999,0
1,0
0.999997,0
0.989734,0
0.999999,0
0.999992,0
0.999991,0
0.979459,0
0.969193,0
0.999991,0
0.999991,0
0.999991,0
0.999991,0
0.999991,0
0.9384,1
0.9384,1
0.969193,0
0.969193,0
0.969198,0
0.989725,0
0.958928,1
0.928134,0
0.958927,0
0.969193,0
0.958929,0
0.969193,0
0.948663,0
0.897344,1
0.722817,0
0.989725,0
0.969197,1
0.979459,0
0.969194,0
0.969193,0
0.958932,0
0.958928,0
0.958942,1
0.969197,0
0.958928,0
0.969193,0
0.958927,0
0.958931,0
0.80496,0
0.92814,0
0.989725,0
0.958942,0
0.999991,0
0.989726,0
0.958928,0
0.907598,0
0.774141,0
0.979462,0
0.979459,0
0.815223,0
0.958927,0
0.989725,1
0.989725,0
0.969193,0
0.969195,0
0.958929,0
0.948671,0
0.917864,1
0.958928,0
0.979464,0
0.969193,0
0.958934,0
0.938409,0
0.948681,0
0.999998,0
0.989725,0
0.979459,0
0.999998,0
0.999998,0
0.999991,0
0.969193,0
0.958931,0
0.958927,0
0.948667,0
0.989725,0
0.969197,1
0.999991,1
0.989725,0
0.948662,0
0.999991,0
0.969193,0
0.999991,1
0.969193,0
0.958929,0
0.958929,0
0.989725,0
0.958943,0
0.928149,1
0.435372,1
0.897352,0
0.917864,0
0.999991,0
0.794673,0
0.958927,0
0.989726,0
0.846023,0
0.94867,0
0.979459,0
0.938398,0
0.158195,1
0.969206,0
0.917864,1
0.856282,0
0.794673,0
0.763891,1
0.763891,1
0.763891,1
0.958929,0
0.979459,0
0.928131,1
0.999991,0
0.979459,1
0.999991,0
0.969193,0
0.989725,0
0.989725,0
0.979459,0
0.958927,1
0.989725,1
0.9076,0
0.989727,0
0.979483,0
0.979459,0
0.989725,0
0.969195,0
0.999991,0
0.95895,0
0.979472,0
0.97947,0
0.979461,0
0.989731,0
0.989725,0
0.999991,0
0.979459,0
0.969201,0
0.979459,0
0.969193,0
0.979477,0
0.958927,0
