@relation 'Ant14AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Remove-R1-8,37-39,41-43-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-19,21-28'

@attribute 'd(RFC, Ca)' numeric
@attribute #Nbugs_binarized {0,1}

@data
0.215997,1
0.215997,1
0.215997,1
0.833497,0
0.351434,0
0.891287,0
0.952347,0
1,0
0.717132,0
0.855077,0
0.953104,0
0.469981,0
0.939804,0
0.87105,0
0.260959,1
0.260959,1
0.612653,0
0.741342,0
0.650071,0
0.361224,0
0.876058,0
0.872345,0
-1,1
-1,1
0.672963,0
0.301543,1
0.301543,1
0.735181,1
0.517667,1
0.37497,0
0.830315,1
0.949602,0
0.432987,1
0.557728,0
0.627191,1
0.785635,0
0.59188,1
0.968093,0
0.839867,0
0.332499,0
0.82472,0
0.839867,0
0.89337,0
0.908791,0
0.809638,0
0.847464,0
0.802122,0
0.92427,0
0.838098,0
0.939804,0
0.949602,0
0.83235,0
0.939804,0
0.93203,0
0.939804,0
0.885681,0
0.906702,0
0.45844,1
0.45844,1
0.734023,0
0.838098,0
0.598781,0
0.778208,0
0.671839,1
0.612653,0
0.868435,0
0.741342,0
0.763408,0
0.830553,0
0.684262,0
0.470242,1
0.362618,0
0.779674,0
0.578738,1
0.907224,0
0.778808,0
0.906702,0
0.640667,0
0.876058,0
0.401851,1
0.748679,0
0.654804,0
0.756034,0
0.815514,0
0.51726,0
0.384923,0
0.336553,0
0.9144,0
-0.039649,0
0.778208,0
0.832285,0
0.704939,0
0.849976,0
0.896837,0
0.599171,0
0.962741,0
0.611396,0
0.89135,0
0.683331,1
0.815514,0
0.82472,0
0.778208,0
0.684262,0
0.451398,0
0.811321,1
0.756034,0
0.698733,0
0.868435,0
0.47087,0
0.316437,0
0.490281,0
0.847464,0
0.952347,0
0.878007,0
0.82472,0
0.855077,0
0.690514,0
0.922112,0
0.59188,0
0.838098,0
0.259026,0
0.947593,0
0.524195,1
0.96321,1
0.929839,0
0.686402,0
0.984315,0
0.862705,0
0.968682,1
0.676168,0
0.727908,0
0.748679,0
0.965612,0
0.464876,0
0.168684,1
0.481862,1
0.537481,0
0.758009,0
0.93758,0
0.807668,0
0.907726,0
0.772225,0
0.395717,0
0.524803,0
0.876588,0
0.693713,0
0.248189,1
0.524448,0
0.814881,1
0.822656,0
0.903209,0
0.693713,1
0.693713,1
0.693713,1
0.720586,0
0.887643,0
0.404542,1
0.939804,0
0.878007,1
0.955394,0
0.944493,0
0.868435,0
0.899019,0
0.946957,0
0.92427,1
0.845658,1
0.767319,0
0.550971,0
0.530749,0
0.92427,0
0.855077,0
0.721819,0
0.994603,0
0.497013,0
0.691488,0
0.713283,0
0.885681,0
0.683331,0
0.698733,0
0.994603,0
0.89337,0
0.490591,0
0.931224,0
0.926507,0
0.392601,0
0.904695,0
