@relation 'Ant14AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Remove-R1-22,24-42'

@attribute 'd(LOC, Ce)' numeric
@attribute #Risk numeric

@data
663.364907,9
1943.148219,0
1887.193154,0
2033.179284,0
2036.17902,0
2040.192148,0
1761.150192,0
1922.189637,0
1977.19827,0
551.613089,0
2020.19405,0
2027.19338,0
947.000528,11
1628.207603,0
1742.126574,0
1971.198874,0
640.312424,0
1981.157742,0
1940.202051,0
264.484404,6
2007.181606,0
1480.135129,11
1891.165249,8
1718.128342,3
1876.128993,0
1889.152455,3
2039.178756,0
1538.117356,3
1292.170654,0
1643.109856,3
1912.1046,0
1765.063738,3
2038.165842,0
1875.077065,0
1153.084993,4
1912.1046,0
1890.116663,0
1974.12259,0
2003.132048,0
1818.110008,0
1920.104164,0
1857.097197,0
2007.131784,0
1953.123908,0
2017.154927,0
2039.178756,0
1962.082567,0
2006.168487,0
2007.155699,0
2017.154927,0
1943.17395,0
1986.14501,0
1320.064014,5
1775.124221,0
1904.138913,0
1642.051461,0
780.433213,0
1674.11947,3
1341.1208,0
1888.165512,0
1547.129277,10
1889.105873,0
1893.105649,0
1680.144041,0
1526.064219,3
1381.043808,5
1867.129615,0
1310.054961,3
2035.19262,0
1871.194805,0
1992.132777,0
1740.103733,0
1945.124418,0
767.211183,3
1636.134774,0
1646.133956,0
1825.144926,0
1889.165424,0
1509.107352,0
1526.02654,0
1394.0703,4
1972.184829,0
0,5
1864.141894,0
1893.178544,0
1775.190412,0
1948.187106,0
2009.14335,0
1644.175173,0
2035.19262,0
1866.118163,0
1956.159758,0
1559.103909,3
1893.192542,0
1891.139868,0
1872.096418,0
1655.120842,0
1397.115958,0
1929.175212,3
1839.098149,0
1681.171318,0
1939.148524,0
1363.161766,0
1316.074466,0
1410.090777,0
1944.124482,0
2036.141449,0
1928.125515,0
1888.116787,0
1945.124418,0
1804.146613,0
2008.155621,0
1566.127709,0
1905.17742,0
884.095583,5
2001.195892,0
1432.078559,3
2029.154011,3
1982.183897,0
1746.114544,0
2036.17902,0
1949.124162,0
2029.154011,3
1764.102321,0
1824.061677,0
1877.10655,0
2036.192525,0
1303.086336,0
617.081032,3
1592.196282,3
1603.124761,5
1894.152053,0
2012.155312,0
1981.183989,0
1993.169586,0
1863.154583,0
1644.12165,0
1574.168034,0
1971.184923,0
1753.114086,0
1321.151392,3
1483.163174,0
1985.17027,3
1932.114127,5
1972.184829,0
1797.090148,9
1665.235419,0
2037.192431,0
1295.24129,3
2020.180437,0
1903.19153,3
2024.180081,0
2016.180795,0
1965.112211,0
1975.145817,0
2036.17902,0
1992.169671,3
1896.151893,3
1763.191708,5
1523.094876,0
1513.223381,0
1959.200092,0
1944.201636,0
1423.275448,0
2016.194435,0
1293.261381,0
1436.235357,0
1603.210841,0
1766.221957,0
1664.173068,0
1663.187903,0
2033.192809,0
1964.17209,0
1578.198023,0
2034.179196,0
1893.207067,0
881.354639,0
1951.200912,0
