@relation 'Ant14AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Remove-R1-16,18-42'

@attribute 'd(LOC,FANIN)' numeric
@attribute #Risk numeric

@data
687,9
1951.882425,0
1887,0
2042.330532,0
2045.221748,0
2049.298661,0
1771.327751,0
1931.665861,0
1986.593567,0
576.924605,0
2029.294459,0
2036.167478,0
966.069356,11
1639.518222,0
1752.880201,0
1980.136611,0
668.757056,0
1990.476576,0
1949.477879,0
276.1467,6
2013.288355,0
1491.393979,11
1900.421532,8
1727.613383,3
1876.720544,0
1898.431458,3
2048.208241,0
1549.326628,3
1306.04173,0
1654.06469,3
1921.417185,0
1774.773507,3
2047.212739,0
1884.906894,0
1167.747404,4
1921.816849,0
1900.032894,0
1983.608076,0
2012.469627,0
1828.428013,0
1929.876939,0
1867.106049,0
2016.450842,0
1962.71088,0
2026.404204,0
2048.113766,0
1971.372111,0
2015.455532,0
2016.450842,0
2026.404204,0
1952.76061,0
1995.5503,0
1333.462035,5
1785.354027,0
1913.656186,0
1653.187225,0
803.763647,0
1684.861122,3
1354.114102,0
1897.636688,0
1558.869141,10
1898.631613,0
1902.712012,0
1690.70991,0
1537.173055,3
1391.181153,5
1877.05221,0
1323.995468,3
2044.1316,0
1880.825617,0
2001.231621,0
1750.451656,0
1954.355648,0
790.423937,3
1647.227975,0
1657.044658,0
1835.071933,0
1898.631613,0
1521.039776,0
1536.115881,0
1406.620062,4
1981.519619,0
191,5
1874.172084,0
1902.914869,0
1785.246762,0
1956.859729,0
2016.434973,0
1655.290005,0
2044.1316,0
1874.375896,0
1965.303284,0
1571.024188,3
1902.914869,0
1900.722231,0
1881.820395,0
1665.984994,0
1409.861341,0
1938.042827,3
1848.892101,0
1692.043144,0
1948.482743,0
1376.317551,0
1329.502539,0
1422.743828,0
1953.755614,0
2045.221748,0
1937.635931,0
1898.043466,0
1954.750623,0
1814.508473,0
2017.158397,0
1577.60483,0
1914.551122,0
904.188033,5
2010.382302,0
1444.814175,3
2038.348842,3
1991.471818,0
1756.30749,0
2045.316846,0
1958.434324,0
2038.348842,3
1774.418215,0
1833.97301,0
1886.692874,0
2045.221748,0
1316.924447,0
645.006201,3
1598.143923,3
1613.639985,5
1903.209132,0
2021.427466,0
1988.71466,0
2002.131364,0
1873.073677,0
1653.824658,0
1585.426126,0
1980.426722,0
1763.159097,0
1325.824272,3
1495.37721,0
1993.788855,3
1940.459997,5
1979.749732,0
1805.21273,9
1675.919449,0
2046.122675,0
1308.575179,3
2029.390303,0
1912.761877,3
2033.37183,0
2025.122219,0
1974.553367,0
1984.505228,0
2045.127135,0
2001.135927,3
1905.899263,3
1772.784533,5
1535.306158,0
1525.259978,0
1968.484188,0
1953.65606,0
1435.894495,0
2025.408848,0
1307.030987,0
1448.911661,0
1614.576725,0
1776.514847,0
1675.270724,0
1674.277456,0
2042.330532,0
1973.460159,0
1589.637695,0
2043.13607,0
1902.712012,0
901.892455,0
1960.327014,0
