@relation 'Ant14AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Remove-R1-34,36-42'

@attribute 'd(LOC, RFC)' numeric
@attribute #Risk numeric

@data
439662,9
3775430,0
3560939,0
4133278,0
4145488,0
4161796,0
3101283,0
3694262,0
3908719,0
303745,0
4080589,0
4108912,0
896923,11
2650528,0
3034726,0
3885027,0
409705,0
3924541,0
3763781,0
69715,6
4028238,0
2190515,11
3576047,8
2951672,3
3519544,0
3568498,3
4157716,0
2365562,3
1669400,0
2699596,3
3655912,0
3115366,3
4153638,0
3515801,0
1329519,4
3655918,0
3572276,0
3896859,0
4012194,0
3305296,0
3686577,0
3448620,0
4028236,0
3814384,0
4068478,0
4157716,0
3849622,0
4024225,0
4028237,0
4068478,0
3775431,0
3944380,0
1742522,5
3150786,0
3625391,0
2696306,0
608567,0
2802431,3
1798425,0
3564723,0
2393371,10
3568486,0
3583623,0
2822555,0
2328803,3
1907279,5
3485857,0
1716241,3
4141416,0
3500812,0
3968248,0
3027748,0
3783205,0
588402,3
2676659,0
2709466,0
3330789,0
3568493,0
2277213,0
2328785,0
1943350,4
3888969,0
0,5
3474663,0
3583624,0
3150782,0
3794885,0
4036268,0
2702879,0
4141419,0
3482111,0
3826118,0
2430635,3
3583621,0
3576055,0
3504551,0
2739180,0
1951731,0
3721217,3
3382085,0
2825918,0
3759900,0
1857894,0
1731961,0
1988230,0
3779313,0
4145488,0
3717365,0
3564718,0
3783203,0
3254571,0
4032250,0
2452497,0
3629200,0
781544,5
4004191,0
2050755,3
4117033,3
3928511,0
3048673,0
4145490,0
3798780,0
4117033,3
3111849,0
3327137,0
3523292,0
4145489,0
1697932,0
380762,3
2534614,3
2569743,5
3587408,0
4048332,0
3924546,0
3972236,0
3470936,0
2702870,0
2477613,0
3885024,0
3073167,0
1745157,3
2199425,0
3940409,3
3732800,5
3888969,0
3229367,9
2772385,0
4149562,0
1677143,3
4080589,0
3621590,3
4096767,0
4064447,0
3861404,0
3900808,0
4145488,0
3968251,3
3594992,3
3108340,5
2319664,0
2289302,0
3837868,0
3779314,0
2025090,0
4064452,0
1671980,0
2062252,0
2569768,0
3118938,0
2769050,0
2765726,0
4133285,0
3857479,0
2490212,0
4137346,0
3583637,0
776276,0
3806589,0
