@relation 'Ant14AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Remove-R1-27,29-42'

@attribute 'd(RFC, Ca)' numeric
@attribute #Risk numeric

@data
155.801155,9
220.537979,0
170,0
226.596558,0
232.997854,0
237.993697,0
208.338667,0
222.800359,0
233.07724,0
182.428068,0
231.682973,0
224.474943,0
160.514797,11
197.38541,0
210.876741,0
201.308221,0
171.026314,0
225,0
224.610774,0
28.319605,6
203.708124,0
164.769536,11
210.230826,8
187.427319,3
172.467388,0
220.204451,3
232.71012,0
178.549713,3
191.627242,0
198.909527,3
215.520301,0
195.207582,3
234.648674,0
221.205786,0
168.01488,4
219.61785,0
221.205786,0
226.814902,0
228.431609,0
218.036694,0
222.002252,0
217.248705,0
230.054341,0
221.020361,0
231.682973,0
232.71012,0
220.417785,0
231.682973,0
230.867928,0
231.682973,0
226.008849,0
228.21262,0
181.218101,5
210.109495,0
221.020361,0
195.93111,0
214.741705,0
203.590275,3
197.38541,0
224.200803,0
210.876741,10
213.190056,0
220.229426,0
204.892655,0
182.455474,3
171.172428,5
214.895323,0
193.829822,3
228.267387,0
214.804562,0
228.21262,0
200.32224,0
225,0
175.285481,3
211.645931,0
201.804361,0
212.417043,0
218.652693,0
187.384631,0
173.510807,0
168.4399,4
229.01965,0
129,5
214.741705,0
220.41098,0
207.060378,0
222.265607,0
227.178344,0
195.971937,0
234.08759,0
197.253644,0
226.603177,0
204.795019,3
218.652693,0
219.61785,0
214.741705,0
204.892655,0
180.479916,0
218.213199,3
212.417043,0
206.409787,0
224.200803,0
182.521232,0
166.330995,0
184.556225,0
222.002252,0
232.997854,0
225.204352,0
219.61785,0
222.800359,0
205.548048,0
229.828197,0
195.207582,0
221.020361,0
160.312195,5
232.499462,0
188.111669,3
234.136712,3
230.638245,0
205.11704,0
236.349318,0
223.600089,0
234.71046,3
204.044113,0
209.468375,0
211.645931,0
234.388566,0
181.892826,0
150.840976,3
183.673624,3
189.504617,5
212.624081,0
231.449779,0
217.830209,0
228.319951,0
214.114455,0
174.642492,0
188.17545,0
225.055549,0
205.883462,0
159.176003,3
188.138247,0
218.586367,3
219.401458,5
227.84644,0
205.883462,9
208.700743,0
226.2145,0
175.567651,3
231.682973,0
225.204352,3
233.31738,0
232.174503,0
224.200803,0
227.407124,0
232.432786,0
230.054341,3
221.812984,3
213.600094,5
190.918831,0
188.798835,0
230.054341,0
222.800359,0
208.830074,0
237.427884,0
185.261977,0
205.650188,0
207.935086,0
226.008849,0
204.795019,0
206.409787,0
237.427884,0
226.814902,0
184.588732,0
230.783448,0
230.288949,0
174.315805,0
228.002193,0
